Name,Scores,Sift Ranks
,,,
,,,
Aaron_Peirsol_,53812,106
Aaron_Sorkin_,132487,1249
Abdel_Nasser_Assidi_,0,1
Abdoulaye_Wade_,133009,1263
Abdullah_,139324,1407
Abdullah_Gul_,137261,1367
Abdullah_al-Attiyah_,124474,1022
Abdullatif_Sener_,121911,932
Abel_Pacheco_,133610,1285
Abid_Hamid_Mahmud_Al-Tikriti_,115594,747
Adam_Sandler_,99852.8,372
Adam_Scott_,166724,1655
Adel_Al-Jubeir_,154226,1597
Adolfo_Aguilar_Zinser_,131403,1220
Adolfo_Rodriguez_Saa_,135433,1322
Adrian_McPherson_,108898,565
Adrian_Nastase_,85945,206
Adrien_Brody_,151700,1573
Ahmad_Masood_,93433,290
Ahmed_Chalabi_,129822,1185
Ahmet_Necdet_Sezer_,90696.8,251
Ai_Sugiyama_,157941,1621
Aicha_El_Ouafi_,38300,100
Aitor_Gonzalez_,0,2
Akbar_Hashemi_Rafsanjani_,103588,450
Akhmed_Zakayev_,139494,1413
Al_Davis_,90158.5,249
Al_Gore_,108781,562
Al_Pacino_,0,3
Al_Sharpton_,123799,995
Alan_Ball_,120800,898
Alan_Greenspan_,136960,1357
Alan_Mulally_,106183,499
Alastair_Campbell_,82552,182
Albert_Costa_,108156,544
Alberto_Fujimori_,0,4
Alberto_Ruiz_Gallardon_,122543,962
Albrecht_Mentz_,132384,1246
Aldo_Paredes_,0,5
Alec_Baldwin_,126392,1082
Alejandro_Atchugarry_,123044,973
Alejandro_Avila_,104723,472
Alejandro_Toledo_,112157,648
Aleksander_Kwasniewski_,153360,1590
Alex_Barros_,121818,929
Alex_Penelas_,119393,864
Alex_Sink_,131495,1222
Alexander_Downer_,94399,298
Alexander_Losyukov_,106784,511
Alexander_Rumyantsev_,129666,1180
Alexandra_Stevenson_,132808,1258
Alexandra_Vodjanikova_,0,6
Ali_Khamenei_,104795,473
Ali_Naimi_,115765,751
Alice_Fisher_,0,7
Alicia_Silverstone_,88879.8,236
Alimzhan_Tokhtakhounov_,104247,461
Alison_Lohman_,127710,1111
Allen_Iverson_,122002,934
Allison_Janney_,80755,169
Allyson_Felix_,124121,1005
Alvaro_Noboa_,105392,489
Alvaro_Silva_Calderon_,124167,1007
Alvaro_Uribe_,130112,1192
Amanda_Beard_,61955,114
Amanda_Bynes_,110704,609
Amanda_Coetzer_,0,8
Amber_Tamblyn_,96853,329
Amelia_Vega_,125599,1061
Amelie_Mauresmo_,134568,1301
Amer_al-Saadi_,137284,1368
Amram_Mitzna_,120333,890
Ana_Guevara_,114464,708
Ana_Palacio_,130865,1209
Anastasia_Myskina_,0,9
Anders_Ebbeson_,124336,1016
Anders_Fogh_Rasmussen_,143754,1475
Andre_Agassi_,97058,331
Andrei_Mikhnevich_,70354,133
Andrew_Bunner_,0,10
Andrew_Cuomo_,121175,911
Andrew_Niccol_,93134,282
Andrew_Weissmann_,120332,889
Andy_Hebb_,124453,1021
Andy_Roddick_,87451,222
Angela_Bassett_,114646,716
Angela_Lansbury_,113229,673
Angela_Merkel_,127900,1117
Angelina_Jolie_,119764,871
Angelo_Reyes_,116575,780
Anibal_Ibarra_,149329,1553
