Name,Scores,EMD Ranks
,,
,,
Aaron_Peirsol_,136.706,1116
Aaron_Sorkin_,117.386,520
Abdel_Nasser_Assidi_,158.804,1564
Abdoulaye_Wade_,186.113,1676
Abdullah_,160.613,1581
Abdullah_Gul_,106.026,289
Abdullah_al-Attiyah_,139.403,1183
Abdullatif_Sener_,124.882,729
Abel_Pacheco_,137.03,1123
Abid_Hamid_Mahmud_Al-Tikriti_,177.24,1663
Adam_Sandler_,154.73,1511
Adam_Scott_,160.236,1578
Adel_Al-Jubeir_,135.186,1073
Adolfo_Aguilar_Zinser_,135.525,1085
Adolfo_Rodriguez_Saa_,139.618,1189
Adrian_McPherson_,196.333,1680
Adrian_Nastase_,136.947,1121
Adrien_Brody_,118.381,538
Ahmad_Masood_,149.201,1412
Ahmed_Chalabi_,115.821,485
Ahmet_Necdet_Sezer_,135.102,1069
Ai_Sugiyama_,135.278,1077
Aicha_El_Ouafi_,151.229,1450
Aitor_Gonzalez_,170.288,1639
Akbar_Hashemi_Rafsanjani_,118.595,541
Akhmed_Zakayev_,128.854,870
Al_Davis_,140.226,1213
Al_Gore_,139.25,1181
Al_Pacino_,136.661,1114
Al_Sharpton_,164.899,1611
Alan_Ball_,123.617,686
Alan_Greenspan_,144.899,1321
Alan_Mulally_,128.878,872
Alastair_Campbell_,129.313,893
Albert_Costa_,168.742,1631
Alberto_Fujimori_,127.433,818
Alberto_Ruiz_Gallardon_,106.308,293
Albrecht_Mentz_,128.81,868
Aldo_Paredes_,113.553,430
Alec_Baldwin_,103.862,243
Alejandro_Atchugarry_,120.513,599
Alejandro_Avila_,144.156,1306
Alejandro_Toledo_,94.0891,107
Aleksander_Kwasniewski_,138.494,1164
Alex_Barros_,146.777,1367
Alex_Penelas_,93.9129,104
Alex_Sink_,138.294,1160
Alexander_Downer_,123.857,691
Alexander_Losyukov_,112.95,413
Alexander_Rumyantsev_,105.974,285
Alexandra_Stevenson_,160.33,1580
Alexandra_Vodjanikova_,155.272,1515
Ali_Abbas_,109.483,347
Ali_Khamenei_,138.261,1158
Ali_Naimi_,112.333,395
Alice_Fisher_,139.605,1187
Alicia_Silverstone_,129.927,920
Alimzhan_Tokhtakhounov_,129.624,906
Alison_Lohman_,106.473,298
Allen_Iverson_,142.216,1271
Allison_Janney_,131.446,961
Allyson_Felix_,173.747,1650
Alvaro_Noboa_,125.62,753
Alvaro_Silva_Calderon_,131.949,977
Alvaro_Uribe_,115.855,487
Amanda_Beard_,116.52,502
Amanda_Bynes_,141.623,1257
Amanda_Coetzer_,140.542,1223
Amber_Tamblyn_,131.553,965
Amelia_Vega_,104.662,257
Amelie_Mauresmo_,145.093,1325
Amer_al-Saadi_,114.076,447
Amram_Mitzna_,126.974,798
Ana_Guevara_,177.764,1665
Ana_Palacio_,101.29,205
Anastasia_Myskina_,121.9,641
Anders_Ebbeson_,151.767,1458
Anders_Fogh_Rasmussen_,166.943,1621
Andre_Agassi_,124.809,728
Andrei_Mikhnevich_,132.039,979
Andrew_Bunner_,111.808,385
Andrew_Cuomo_,98.6077,169
Andrew_Niccol_,128.968,875
Andrew_Weissmann_,160.893,1584
Andy_Hebb_,110.047,359
