Name,Scores,Corelation Ranks
,,,
,,,
Aaron_Peirsol_,0.809393,787
Aaron_Sorkin_,0.70954,478
Abdel_Nasser_Assidi_,0.77623,682
Abdoulaye_Wade_,1.00112,1289
Abdullah_,0.42219,16
Abdullah_Gul_,0.655878,331
Abdullah_al-Attiyah_,1.0021,1293
Abdullatif_Sener_,0.722554,525
Abel_Pacheco_,1.16093,1598
Abid_Hamid_Mahmud_Al-Tikriti_,1.13502,1555
Adam_Sandler_,1.07042,1442
Adam_Scott_,0.990556,1264
Adel_Al-Jubeir_,0.8393,885
Adolfo_Aguilar_Zinser_,0.727334,541
Adolfo_Rodriguez_Saa_,0.97814,1235
Adrian_McPherson_,0.957237,1180
Adrian_Nastase_,0.586889,184
Adrien_Brody_,1.01441,1327
Ahmad_Masood_,0.787286,716
Ahmed_Chalabi_,0.445433,24
Ahmet_Necdet_Sezer_,1.09474,1490
Ai_Sugiyama_,1.07173,1444
Aicha_El_Ouafi_,0.629876,271
Aitor_Gonzalez_,0.80819,784
Akbar_Hashemi_Rafsanjani_,0.600825,214
Akhmed_Zakayev_,0.717564,504
Al_Davis_,0.482358,52
Al_Gore_,0.974907,1225
Al_Pacino_,0.812215,792
Al_Sharpton_,0.726511,538
Alan_Ball_,0.984228,1248
Alan_Greenspan_,0.703244,456
Alan_Mulally_,0.595682,200
Alastair_Campbell_,0.822661,825
Albert_Costa_,1.10021,1502
Alberto_Fujimori_,0.859823,942
Alberto_Ruiz_Gallardon_,0.816603,810
Albrecht_Mentz_,0.965938,1204
Aldo_Paredes_,0.689685,418
Alec_Baldwin_,0.713303,493
Alejandro_Atchugarry_,0.727613,542
Alejandro_Avila_,0.76909,663
Alejandro_Toledo_,0.740376,579
Aleksander_Kwasniewski_,0.669983,367
Alex_Barros_,0.815846,805
Alex_Penelas_,0.820624,820
Alex_Sink_,0.815199,804
Alexander_Downer_,0.548586,122
Alexander_Losyukov_,0.450809,28
Alexander_Rumyantsev_,0.87019,958
Alexandra_Stevenson_,0.820652,821
Alexandra_Vodjanikova_,0.658619,337
Ali_Abbas_,1.11404,1527
Ali_Khamenei_,0.870213,959
Ali_Naimi_,0.979728,1238
Alice_Fisher_,0.732198,557
Alicia_Silverstone_,0.934326,1125
Alimzhan_Tokhtakhounov_,1.17074,1611
Alison_Lohman_,1.37558,1679
Allen_Iverson_,0.901627,1048
Allison_Janney_,0.991279,1265
Allyson_Felix_,0.596165,202
Alvaro_Noboa_,1.14441,1575
Alvaro_Silva_Calderon_,0.909481,1066
Alvaro_Uribe_,0.885284,1001
Amanda_Beard_,0.84322,894
Amanda_Bynes_,0.991704,1268
Amber_Tamblyn_,1.04664,1392
Amelia_Vega_,0.967253,1210
Amelie_Mauresmo_,0.883675,993
Amer_al-Saadi_,0.902327,1051
Amram_Mitzna_,0.827414,841
Ana_Guevara_,1.05445,1408
Ana_Palacio_,0.720877,519
Anastasia_Myskina_,0.900359,1044
Anders_Ebbeson_,0.849018,919
Anders_Fogh_Rasmussen_,0.576459,170
Andre_Agassi_,0.742809,586
Andrei_Mikhnevich_,0.873429,970
Andrew_Bunner_,0.781667,697
Andrew_Cuomo_,1.08206,1463
