Name,Scores,Corelation Ranks
,,,
,,,
Aaron_Peirsol_,0.458636,40
Aaron_Sorkin_,0.640679,452
Abdel_Nasser_Assidi_,0.72323,726
Abdoulaye_Wade_,0.717401,708
Abdullah_,0.807559,1024
Abdullah_Gul_,0.726912,738
Abdullah_al-Attiyah_,0.695243,641
Abdullatif_Sener_,0.707039,685
Abel_Pacheco_,0.764507,877
Abid_Hamid_Mahmud_Al-Tikriti_,0.953037,1420
Adam_Sandler_,0.817852,1064
Adam_Scott_,0.751195,833
Adel_Al-Jubeir_,0.653844,494
Adolfo_Aguilar_Zinser_,0.734295,769
Adolfo_Rodriguez_Saa_,1.18056,1663
Adrian_McPherson_,0.421161,17
Adrian_Nastase_,0.797459,988
Adrien_Brody_,1.02916,1542
Ahmad_Masood_,0.95266,1418
Ahmed_Chalabi_,0.888954,1274
Ahmet_Necdet_Sezer_,0.637917,442
Ai_Sugiyama_,1.02011,1532
Aicha_El_Ouafi_,0.539116,154
Aitor_Gonzalez_,0.933532,1374
Akbar_Hashemi_Rafsanjani_,0.785755,948
Akhmed_Zakayev_,0.734642,773
Al_Davis_,0.625821,394
Al_Gore_,0.587499,286
Al_Pacino_,0.592556,295
Al_Sharpton_,0.883302,1263
Alan_Ball_,0.673073,564
Alan_Greenspan_,1.08891,1608
Alan_Mulally_,0.572944,248
Alastair_Campbell_,0.543841,167
Albert_Costa_,0.558056,212
Alberto_Fujimori_,0.779122,935
Alberto_Ruiz_Gallardon_,1.08438,1601
Albrecht_Mentz_,0.599326,319
Aldo_Paredes_,0.952403,1417
Alec_Baldwin_,0.869696,1227
Alejandro_Atchugarry_,1.04563,1563
Alejandro_Avila_,0.361381,3
Alejandro_Toledo_,0.763955,872
Aleksander_Kwasniewski_,0.52884,128
Alex_Barros_,0.971556,1453
Alex_Penelas_,0.645359,463
Alex_Sink_,0.708842,690
Alexander_Downer_,1.0424,1552
Alexander_Losyukov_,0.628483,405
Alexander_Rumyantsev_,0.89758,1304
Alexandra_Stevenson_,0.608645,337
Alexandra_Vodjanikova_,1.10842,1622
Ali_Abbas_,0.710126,696
Ali_Khamenei_,0.724567,730
Ali_Naimi_,0.447431,30
Alice_Fisher_,0.974122,1457
Alicia_Silverstone_,0.693254,633
Alimzhan_Tokhtakhounov_,0.841228,1138
Alison_Lohman_,1.0203,1533
Allen_Iverson_,0.700223,662
Allison_Janney_,0.724992,733
Allyson_Felix_,0.693213,631
Alvaro_Noboa_,0.90838,1324
Alvaro_Silva_Calderon_,0.627814,402
Alvaro_Uribe_,0.975804,1459
Amanda_Beard_,0.472532,50
Amanda_Bynes_,0.866324,1218
Amanda_Coetzer_,0.581782,271
Amber_Tamblyn_,0.718712,711
Amelia_Vega_,1.11299,1629
Amelie_Mauresmo_,0.638833,443
Amer_al-Saadi_,0.607125,332
Amram_Mitzna_,0.54917,185
Ana_Guevara_,0.699265,658
Ana_Palacio_,0.551852,194
Anastasia_Myskina_,0.692976,629
Anders_Ebbeson_,1.13326,1645
Anders_Fogh_Rasmussen_,1.05554,1575
Andrei_Mikhnevich_,0.596106,310
Andrew_Bunner_,0.563869,229
Andrew_Cuomo_,0.583519,275
