Name,Scores,EMD Ranks
,,,
,,,
Aaron_Peirsol_,117.274,554
Aaron_Sorkin_,134.495,1088
Abdel_Nasser_Assidi_,173.087,1652
Abdoulaye_Wade_,177.809,1665
Abdullah_,139.138,1226
Abdullah_Gul_,128.514,909
Abdullah_al-Attiyah_,163.375,1605
Abdullatif_Sener_,131.02,994
Abel_Pacheco_,135.922,1132
Abid_Hamid_Mahmud_Al-Tikriti_,177.238,1661
Adam_Sandler_,115.314,503
Adam_Scott_,160.235,1585
Adel_Al-Jubeir_,148.604,1418
Adolfo_Aguilar_Zinser_,135.513,1118
Adolfo_Rodriguez_Saa_,90.6176,89
Adrian_McPherson_,196.33,1679
Adrian_Nastase_,136.945,1161
Adrien_Brody_,124.408,756
Ahmad_Masood_,126.405,829
Ahmed_Chalabi_,111.084,394
Ahmet_Necdet_Sezer_,129.48,942
Ai_Sugiyama_,130.55,979
Aicha_El_Ouafi_,130.812,986
Aitor_Gonzalez_,174.412,1654
Akbar_Hashemi_Rafsanjani_,103.61,251
Akhmed_Zakayev_,128.845,917
Al_Davis_,149.332,1431
Al_Gore_,139.247,1229
Al_Pacino_,136.66,1152
Al_Sharpton_,144.188,1338
Alan_Ball_,123.33,727
Alan_Greenspan_,127.079,855
Alan_Mulally_,110.249,378
Alastair_Campbell_,131.541,1003
Albert_Costa_,159.906,1581
Alberto_Fujimori_,127.422,867
Alberto_Ruiz_Gallardon_,129.842,960
Albrecht_Mentz_,117.684,569
Aldo_Paredes_,148.931,1423
Alec_Baldwin_,136.26,1142
Alejandro_Atchugarry_,120.509,647
Alejandro_Avila_,144.15,1335
Alejandro_Toledo_,130.812,987
Aleksander_Kwasniewski_,138.489,1209
Alex_Barros_,146.772,1383
Alex_Penelas_,106.843,315
Alex_Sink_,118.582,587
Alexander_Downer_,105.957,298
Alexander_Losyukov_,112.939,441
Alexander_Rumyantsev_,105.968,299
Alexandra_Stevenson_,103.026,238
Alexandra_Vodjanikova_,154.614,1524
Ali_Abbas_,109.475,368
Ali_Khamenei_,131.923,1014
Ali_Naimi_,112.32,422
Alice_Fisher_,141.138,1286
Alicia_Silverstone_,129.919,964
Alimzhan_Tokhtakhounov_,117.435,562
Alison_Lohman_,114.427,478
Allen_Iverson_,151.964,1478
Allison_Janney_,129.505,943
Allyson_Felix_,139.289,1231
Alvaro_Noboa_,154.812,1528
Alvaro_Silva_Calderon_,130.821,988
Alvaro_Uribe_,99.7819,184
Amanda_Beard_,116.512,538
Amanda_Bynes_,141.618,1293
Amanda_Coetzer_,140.536,1268
Amber_Tamblyn_,109.006,354
Amelia_Vega_,137.457,1177
Amelie_Mauresmo_,145.082,1346
Amer_al-Saadi_,114.065,470
Amram_Mitzna_,126.966,850
Ana_Guevara_,177.763,1664
Ana_Palacio_,63.4095,5
Anastasia_Myskina_,144.257,1339
Anders_Ebbeson_,151.759,1474
Anders_Fogh_Rasmussen_,129.793,956
Andre_Agassi_,138.757,1217
Andrei_Mikhnevich_,132.025,1018
Andrew_Bunner_,121.089,664
Andrew_Niccol_,128.955,921
Andrew_Weissmann_,160.888,1589
Andy_Hebb_,110.035,376
Andy_Roddick_,90.8392,91
