Name,Highest Rank,Fused Ranks
,,
,,
Aaron_Peirsol_,554,1149
Aaron_Sorkin_,575,1176
Abdel_Nasser_Assidi_,1,1
Abdoulaye_Wade_,677,1302
Abdullah_,1227,1645
Abdullah_Gul_,910,1502
Abdullah_al-Attiyah_,516,1094
Abdullatif_Sener_,721,1349
Abel_Pacheco_,360,860
Abid_Hamid_Mahmud_Al-Tikriti_,809,1421
Adam_Sandler_,307,761
Adam_Scott_,644,1261
Adel_Al-Jubeir_,570,1170
Adolfo_Aguilar_Zinser_,969,1529
Adolfo_Rodriguez_Saa_,2,4
Adrian_McPherson_,476,1038
Adrian_Nastase_,1162,1618
Adrien_Brody_,719,1346
Ahmad_Masood_,535,1122
Ahmed_Chalabi_,394,921
Ahmet_Necdet_Sezer_,42,124
Ai_Sugiyama_,669,1291
Aicha_El_Ouafi_,919,1507
Aitor_Gonzalez_,642,1259
Akbar_Hashemi_Rafsanjani_,251,643
Akhmed_Zakayev_,620,1235
Al_Davis_,590,1197
Al_Gore_,381,898
Al_Pacino_,41,121
Al_Sharpton_,1061,1575
Alan_Ball_,384,904
Alan_Greenspan_,856,1458
Alan_Mulally_,378,890
Alastair_Campbell_,625,1243
Albert_Costa_,182,498
Alberto_Fujimori_,868,1465
Alberto_Ruiz_Gallardon_,515,1092
Albrecht_Mentz_,569,1167
Aldo_Paredes_,3,7
Alec_Baldwin_,483,1053
Alejandro_Atchugarry_,648,1266
Alejandro_Avila_,296,738
Alejandro_Toledo_,630,1247
Aleksander_Kwasniewski_,224,587
Alex_Barros_,4,10
Alex_Penelas_,30,88
Alex_Sink_,587,1193
Alexander_Downer_,253,648
Alexander_Losyukov_,385,907
Alexander_Rumyantsev_,299,744
Alexandra_Stevenson_,238,614
Alexandra_Vodjanikova_,891,1486
Ali_Abbas_,368,874
Ali_Khamenei_,1015,1556
Ali_Naimi_,73,216
Alice_Fisher_,1287,1658
Alicia_Silverstone_,538,1124
Alimzhan_Tokhtakhounov_,400,928
Alison_Lohman_,478,1043
Allen_Iverson_,465,1020
Allison_Janney_,301,749
Allyson_Felix_,433,974
Alvaro_Noboa_,473,1033
Alvaro_Silva_Calderon_,221,581
Alvaro_Uribe_,184,502
Amanda_Beard_,528,1111
Amanda_Bynes_,1005,1548
Amanda_Coetzer_,1269,1655
Amber_Tamblyn_,26,76
Amelia_Vega_,141,397
Amelie_Mauresmo_,665,1286
Amer_al-Saadi_,470,1030
Amram_Mitzna_,140,394
Ana_Guevara_,187,510
Ana_Palacio_,5,13
Anastasia_Myskina_,208,554
Anders_Ebbeson_,438,982
Anders_Fogh_Rasmussen_,957,1523
Andre_Agassi_,362,863
Andrei_Mikhnevich_,1019,1558
Andrew_Bunner_,665,1287
Andrew_Cuomo_,618,1233
Andrew_Niccol_,224,588
Andrew_Weissmann_,517,1096
Andy_Hebb_,376,887
Andy_Roddick_,91,267
Angela_Bassett_,779,1399
Angela_Lansbury_,31,91
Angela_Merkel_,59,175
Angelina_Jolie_,800,1414
Angelo_Reyes_,62,184
Anibal_Ibarra_,528,1112
Ann_Veneman_,135,382
Anna_Kournikova_,1220,1642
Anna_Nicole_Smith_,480,1047
