Name,Scores,EMD Ranks
,,,
,,,
Aaron_Peirsol_,117.272,550
Aaron_Sorkin_,134.495,1072
Abdel_Nasser_Assidi_,158.8,1562
Abdoulaye_Wade_,177.807,1662
Abdullah_,139.137,1208
Abdullah_Gul_,106.01,285
Abdullah_al-Attiyah_,145.21,1348
Abdullatif_Sener_,131.02,965
Abel_Pacheco_,135.924,1121
Abid_Hamid_Mahmud_Al-Tikriti_,177.238,1659
Adam_Sandler_,115.314,492
Adam_Scott_,145.648,1355
Adel_Al-Jubeir_,148.604,1409
Adolfo_Aguilar_Zinser_,135.51,1107
Adolfo_Rodriguez_Saa_,139.605,1219
Adrian_McPherson_,196.329,1679
Adrian_Nastase_,136.945,1145
Adrien_Brody_,124.408,733
Ahmad_Masood_,149.197,1417
Ahmed_Chalabi_,111.087,383
Ahmet_Necdet_Sezer_,129.48,917
Ai_Sugiyama_,135.275,1099
Aicha_El_Ouafi_,151.22,1453
Aitor_Gonzalez_,170.283,1639
Akbar_Hashemi_Rafsanjani_,103.615,234
Akhmed_Zakayev_,128.844,888
Al_Davis_,149.328,1421
Al_Gore_,139.247,1209
Al_Pacino_,136.661,1138
Al_Sharpton_,144.186,1337
Alan_Ball_,123.332,699
Alan_Greenspan_,127.074,822
Alan_Mulally_,110.246,366
Alastair_Campbell_,103.831,237
Albert_Costa_,168.735,1634
Alberto_Fujimori_,136.557,1135
Alberto_Ruiz_Gallardon_,106.285,295
Albrecht_Mentz_,128.808,885
Aldo_Paredes_,113.545,444
Alec_Baldwin_,136.266,1127
Alejandro_Atchugarry_,120.332,632
Alejandro_Avila_,160.747,1585
Alejandro_Toledo_,130.811,958
Aleksander_Kwasniewski_,117.051,543
Alex_Barros_,109.272,348
Alex_Penelas_,93.8939,103
Alex_Sink_,149.193,1416
Alexander_Downer_,98.3852,156
Alexander_Losyukov_,112.936,430
Alexander_Rumyantsev_,105.969,283
Alexandra_Stevenson_,160.317,1583
Alexandra_Vodjanikova_,154.615,1509
Ali_Abbas_,109.473,356
Ali_Khamenei_,138.242,1186
Ali_Naimi_,112.316,412
Alice_Fisher_,141.135,1263
Alicia_Silverstone_,129.92,933
Alimzhan_Tokhtakhounov_,117.433,556
Alison_Lohman_,114.425,467
Allen_Iverson_,142.212,1288
Allison_Janney_,131.429,977
Allyson_Felix_,173.749,1649
Alvaro_Noboa_,125.616,773
Alvaro_Silva_Calderon_,126.792,809
Alvaro_Uribe_,115.838,510
Amanda_Beard_,116.511,527
Amanda_Bynes_,87.5015,50
Amanda_Coetzer_,140.535,1246
Amber_Tamblyn_,109.004,345
Amelia_Vega_,104.657,252
Amelie_Mauresmo_,133.209,1036
Amer_al-Saadi_,98.9393,161
Amram_Mitzna_,126.966,815
Ana_Guevara_,177.762,1661
Ana_Palacio_,63.4078,3
Anastasia_Myskina_,121.89,666
Anders_Ebbeson_,162.855,1599
Anders_Fogh_Rasmussen_,129.789,928
Andre_Agassi_,124.801,747
Andrei_Mikhnevich_,132.018,1000
Andrew_Bunner_,111.791,401
Andrew_Cuomo_,98.5986,159
Andrew_Niccol_,100.527,184
Andy_Hebb_,110.032,362
Andy_Roddick_,131.033,966
