Name,Scores,EMD Ranks
,,
,,
Aaron_Peirsol_,117.275,541
Aaron_Sorkin_,134.496,1083
Abdel_Nasser_Assidi_,158.801,1561
Abdoulaye_Wade_,186.109,1676
Abdullah_,139.138,1214
Abdullah_Gul_,106.015,277
Abdullah_al-Attiyah_,139.396,1220
Abdullatif_Sener_,124.876,767
Abel_Pacheco_,135.922,1129
Abid_Hamid_Mahmud_Al-Tikriti_,177.239,1662
Adam_Sandler_,115.314,490
Adam_Scott_,145.648,1357
Adel_Al-Jubeir_,148.604,1410
Adolfo_Aguilar_Zinser_,135.515,1115
Adolfo_Rodriguez_Saa_,139.608,1225
Adrian_McPherson_,196.33,1680
Adrian_Nastase_,136.946,1153
Adrien_Brody_,124.409,745
Ahmad_Masood_,126.407,819
Ahmed_Chalabi_,111.086,374
Ahmet_Necdet_Sezer_,135.095,1100
Ai_Sugiyama_,135.276,1106
Aicha_El_Ouafi_,151.221,1455
Aitor_Gonzalez_,174.412,1655
Akbar_Hashemi_Rafsanjani_,103.61,231
Akhmed_Zakayev_,128.846,917
Al_Davis_,149.334,1419
Al_Gore_,121.406,641
Al_Pacino_,136.66,1145
Al_Sharpton_,144.189,1330
Alan_Ball_,123.333,711
Alan_Greenspan_,127.082,842
Alan_Mulally_,110.251,355
Alastair_Campbell_,103.839,234
Albert_Costa_,168.823,1631
Alberto_Fujimori_,127.423,860
Alberto_Ruiz_Gallardon_,106.288,284
Albrecht_Mentz_,128.808,914
Aldo_Paredes_,148.932,1415
Alec_Baldwin_,136.262,1137
Alejandro_Atchugarry_,120.509,626
Alejandro_Avila_,160.748,1578
Alejandro_Toledo_,130.815,979
Aleksander_Kwasniewski_,138.489,1197
Alex_Barros_,109.284,337
Alex_Penelas_,106.845,292
Alex_Sink_,138.289,1191
Alexander_Downer_,98.3859,162
Alexander_Losyukov_,112.941,424
Alexander_Rumyantsev_,105.969,273
Alexandra_Stevenson_,103.028,219
Alexandra_Vodjanikova_,155.265,1516
Ali_Abbas_,91.1943,72
Ali_Khamenei_,138.249,1189
Ali_Naimi_,112.323,400
Alice_Fisher_,139.59,1224
Alicia_Silverstone_,129.92,962
Alimzhan_Tokhtakhounov_,129.609,949
Alison_Lohman_,114.429,462
Allen_Iverson_,142.213,1293
Allison_Janney_,129.506,944
Allyson_Felix_,173.746,1651
Alvaro_Noboa_,111.077,373
Alvaro_Silva_Calderon_,130.823,980
Alvaro_Uribe_,115.838,508
Amanda_Beard_,116.513,521
Amanda_Bynes_,87.5049,50
Amanda_Coetzer_,140.537,1251
Amber_Tamblyn_,109.006,334
Amelia_Vega_,104.658,247
Amelie_Mauresmo_,145.084,1345
Amer_al-Saadi_,114.066,454
Amram_Mitzna_,126.968,839
Ana_Guevara_,177.763,1663
Ana_Palacio_,63.412,3
Anastasia_Myskina_,121.893,660
Anders_Ebbeson_,162.857,1593
Anders_Fogh_Rasmussen_,166.939,1621
Andre_Agassi_,150.551,1441
Andrei_Mikhnevich_,144.294,1332
Andrew_Bunner_,111.796,388
Andrew_Cuomo_,119.444,600
Andrew_Niccol_,128.958,924
Andrew_Weissmann_,160.889,1581
Andy_Hebb_,81.6486,29
