Name,Scores,Sift Ranks
,,,
,,,
Aaron_Peirsol_,110629,543
Aaron_Sorkin_,132155,1225
Abdel_Nasser_Assidi_,103908,395
Abdoulaye_Wade_,99470,317
Abdullah_,123264,954
Abdullah_Gul_,128079,1098
Abdullah_al-Attiyah_,121148,887
Abdullatif_Sener_,129087,1142
Abel_Pacheco_,124970,1001
Abid_Hamid_Mahmud_Al-Tikriti_,112740,610
Adam_Sandler_,114071,654
Adam_Scott_,0,1
Adel_Al-Jubeir_,159546,1618
Adolfo_Aguilar_Zinser_,109885,519
Adolfo_Rodriguez_Saa_,166020,1648
Adrian_McPherson_,148583,1532
Adrian_Nastase_,115968,711
Adrien_Brody_,108576,489
Ahmad_Masood_,0,2
Ahmed_Chalabi_,150657,1546
Ahmet_Necdet_Sezer_,99903,325
Ai_Sugiyama_,142978,1441
Aicha_El_Ouafi_,115252,688
Aitor_Gonzalez_,107503,461
Akbar_Hashemi_Rafsanjani_,134940,1288
Akhmed_Zakayev_,103206,384
Al_Davis_,142929,1437
Al_Gore_,158326,1609
Al_Pacino_,119232,817
Al_Sharpton_,68645,75
Alan_Ball_,97373,273
Alan_Greenspan_,128044,1096
Alan_Mulally_,0,3
Alastair_Campbell_,126801,1052
Albert_Costa_,120198,848
Alberto_Fujimori_,110094,527
Alberto_Ruiz_Gallardon_,119061,809
Albrecht_Mentz_,140644,1403
Aldo_Paredes_,137928,1345
Alec_Baldwin_,160444,1625
Alejandro_Atchugarry_,166386,1651
Alejandro_Avila_,114420,663
Alejandro_Toledo_,109748,517
Aleksander_Kwasniewski_,144265,1469
Alex_Barros_,105033,409
Alex_Penelas_,91255.5,197
Alex_Sink_,124942,998
Alexander_Downer_,123092,947
Alexander_Losyukov_,118121,781
Alexander_Rumyantsev_,123245,953
Alexandra_Stevenson_,122109,918
Alexandra_Vodjanikova_,95590,243
Ali_Abbas_,98697,301
Ali_Khamenei_,109399,506
Ali_Naimi_,138324,1356
Alice_Fisher_,120018,844
Alicia_Silverstone_,113489,631
Alimzhan_Tokhtakhounov_,123826,967
Alison_Lohman_,127528,1079
Allen_Iverson_,110118,531
Allison_Janney_,113133,624
Allyson_Felix_,113617,638
Alvaro_Noboa_,135026,1292
Alvaro_Silva_Calderon_,0,4
Alvaro_Uribe_,107005,449
Amanda_Beard_,105696,418
Amanda_Bynes_,140527,1400
Amanda_Coetzer_,141249,1415
Amber_Tamblyn_,119004,807
Amelia_Vega_,167597,1654
Amelie_Mauresmo_,119418,827
Amer_al-Saadi_,137880,1343
Amram_Mitzna_,106590,434
Ana_Guevara_,114296,657
Ana_Palacio_,76077,90
Anastasia_Myskina_,153508,1577
Anders_Ebbeson_,114407,662
Anders_Fogh_Rasmussen_,141299,1417
Andre_Agassi_,150945,1549
Andrei_Mikhnevich_,155769,1590
Andrew_Bunner_,112546,599
Andrew_Cuomo_,115318,690
Andrew_Niccol_,158836,1611
Andrew_Weissmann_,116720,742
Andy_Hebb_,155583,1588
Andy_Roddick_,97701,282
Angela_Lansbury_,108426,486
Angela_Merkel_,105059,410
Angelina_Jolie_,103829,394
Angelo_Reyes_,100964,346
Anibal_Ibarra_,106656,438
Ann_Veneman_,124176,979
