Name,Scores,EMD Ranks
,,,
,,,
Aaron_Peirsol_,131.935,1006
Aaron_Sorkin_,134.501,1079
Abdel_Nasser_Assidi_,158.805,1569
Abdoulaye_Wade_,177.817,1663
Abdullah_,160.613,1586
Abdullah_Gul_,106.028,282
Abdullah_al-Attiyah_,139.404,1222
Abdullatif_Sener_,124.882,774
Abel_Pacheco_,135.926,1126
Abid_Hamid_Mahmud_Al-Tikriti_,156.625,1549
Adam_Sandler_,115.315,492
Adam_Scott_,145.652,1371
Adel_Al-Jubeir_,135.186,1103
Adolfo_Aguilar_Zinser_,135.527,1114
Adolfo_Rodriguez_Saa_,90.6261,81
Adrian_McPherson_,155.081,1531
Adrian_Nastase_,136.947,1151
Adrien_Brody_,116.099,513
Ahmad_Masood_,149.202,1439
Ahmed_Chalabi_,111.098,384
Ahmet_Necdet_Sezer_,129.486,936
Ai_Sugiyama_,135.279,1108
Aicha_El_Ouafi_,151.23,1478
Aitor_Gonzalez_,174.415,1652
Akbar_Hashemi_Rafsanjani_,103.615,234
Akhmed_Zakayev_,128.855,906
Al_Davis_,149.343,1445
Al_Gore_,139.251,1221
Al_Pacino_,136.661,1145
Al_Sharpton_,164.9,1618
Alan_Ball_,123.619,728
Alan_Greenspan_,139.926,1231
Alan_Mulally_,128.88,909
Alastair_Campbell_,129.315,927
Albert_Costa_,168.743,1635
Alberto_Fujimori_,136.573,1144
Alberto_Ruiz_Gallardon_,129.843,952
Albrecht_Mentz_,128.81,904
Aldo_Paredes_,113.555,447
Alec_Baldwin_,136.278,1138
Alejandro_Atchugarry_,120.514,634
Alejandro_Avila_,144.157,1346
Alejandro_Toledo_,130.833,977
Aleksander_Kwasniewski_,116.653,526
Alex_Barros_,109.309,349
Alex_Penelas_,106.856,299
Alex_Sink_,149.202,1440
Alexander_Downer_,98.39,163
Alexander_Losyukov_,140.571,1257
Alexander_Rumyantsev_,112.075,408
Alexandra_Stevenson_,103.044,225
Alexandra_Vodjanikova_,154.618,1524
Ali_Abbas_,91.2003,86
Ali_Khamenei_,138.264,1196
Ali_Naimi_,112.337,414
Alice_Fisher_,139.607,1227
Alicia_Silverstone_,129.928,954
Alimzhan_Tokhtakhounov_,129.628,941
Alison_Lohman_,114.439,466
Allen_Iverson_,151.966,1488
Allison_Janney_,131.448,992
Allyson_Felix_,155.03,1530
Alvaro_Noboa_,111.095,383
Alvaro_Silva_Calderon_,126.829,838
Alvaro_Uribe_,115.857,506
Amanda_Beard_,116.521,524
Amanda_Bynes_,87.5195,56
Amanda_Coetzer_,140.543,1256
Amber_Tamblyn_,109.01,341
Amelia_Vega_,104.663,251
Amelie_Mauresmo_,145.095,1362
Amer_al-Saadi_,114.077,458
Amram_Mitzna_,126.975,842
Ana_Guevara_,177.764,1662
Ana_Palacio_,118.323,568
Anastasia_Myskina_,144.265,1351
Anders_Ebbeson_,162.86,1605
Anders_Fogh_Rasmussen_,166.943,1624
Andre_Agassi_,150.555,1465
Andrei_Mikhnevich_,144.301,1352
Andrew_Bunner_,111.81,402
Andrew_Cuomo_,98.609,165
Andrew_Niccol_,100.539,187
Andrew_Weissmann_,160.893,1589
Andy_Hebb_,81.6624,32
