Name,Scores,Sift Ranks
,,,
,,,
Aaron_Peirsol_,107999,295
Aaron_Sorkin_,130713,860
Abdel_Nasser_Assidi_,0,1
Abdoulaye_Wade_,123013,604
Abdullah_,139438,1167
Abdullah_Gul_,125222,668
Abdullah_al-Attiyah_,0,2
Abdullatif_Sener_,146623,1353
Abel_Pacheco_,119252,508
Abid_Hamid_Mahmud_Al-Tikriti_,0,3
Adam_Sandler_,151688,1471
Adam_Scott_,122709,595
Adel_Al-Jubeir_,142752,1251
Adolfo_Aguilar_Zinser_,148494,1395
Adolfo_Rodriguez_Saa_,131122,872
Adrian_McPherson_,151942,1477
Adrian_Nastase_,136819,1069
Adrien_Brody_,130650,854
Ahmad_Masood_,0,4
Ahmed_Chalabi_,150903,1452
Ahmet_Necdet_Sezer_,112651,377
Ai_Sugiyama_,162651,1597
Aicha_El_Ouafi_,137854,1114
Aitor_Gonzalez_,125931,686
Akbar_Hashemi_Rafsanjani_,105265,258
Akhmed_Zakayev_,116843,458
Al_Davis_,133940,971
Al_Gore_,142078,1235
Al_Pacino_,195519,1679
Al_Sharpton_,116242,450
Alan_Ball_,120901,547
Alan_Greenspan_,143500,1276
Alan_Mulally_,91723,157
Alastair_Campbell_,142730,1250
Albert_Costa_,136256,1042
Alberto_Fujimori_,125628,675
Alberto_Ruiz_Gallardon_,157005,1550
Albrecht_Mentz_,155579,1536
Aldo_Paredes_,104745,250
Alec_Baldwin_,130699,859
Alejandro_Atchugarry_,121533,562
Alejandro_Avila_,102611,224
Alejandro_Toledo_,152856,1493
Aleksander_Kwasniewski_,170576,1645
Alex_Barros_,128058,776
Alex_Penelas_,135184,1009
Alex_Sink_,132729,926
Alexander_Downer_,134617,992
Alexander_Losyukov_,120354,534
Alexander_Rumyantsev_,141811,1227
Alexandra_Stevenson_,91106,154
Alexandra_Vodjanikova_,0,5
Ali_Abbas_,139893,1176
Ali_Khamenei_,112493,374
Ali_Naimi_,108884,309
Alice_Fisher_,117032,461
Alicia_Silverstone_,133902,969
Alimzhan_Tokhtakhounov_,122398,581
Alison_Lohman_,121250,553
Allen_Iverson_,0,6
Allison_Janney_,145537,1324
Allyson_Felix_,132180,902
Alvaro_Noboa_,169440,1642
Alvaro_Silva_Calderon_,110697,340
Alvaro_Uribe_,114507,415
Amanda_Beard_,148412,1391
Amanda_Bynes_,128085,777
Amanda_Coetzer_,125548,674
Amber_Tamblyn_,126258,701
Amelia_Vega_,115746,435
Amelie_Mauresmo_,100929,209
Amer_al-Saadi_,162975,1603
Amram_Mitzna_,133680,958
Ana_Guevara_,127152,735
Ana_Palacio_,139131,1155
Anastasia_Myskina_,60510,120
Anders_Ebbeson_,154949,1525
Anders_Fogh_Rasmussen_,136155,1038
Andre_Agassi_,115761,436
Andrei_Mikhnevich_,124133,625
Andrew_Bunner_,0,7
Andrew_Cuomo_,126468,712
Andrew_Niccol_,136956,1078
Andrew_Weissmann_,68486,123
Andy_Hebb_,140790,1205
Andy_Roddick_,133835,964
Angela_Bassett_,124176,628
Angela_Lansbury_,86519,145
Angela_Merkel_,115693,433
Angelina_Jolie_,128213,783
Angelo_Reyes_,141899,1231
Anibal_Ibarra_,124974,655
