Name,Scores,Fused Ranks
,,,
,,,
Aaron_Peirsol_,1774,309
Aaron_Sorkin_,1904,398
Abdel_Nasser_Assidi_,2230,629
Abdoulaye_Wade_,2771,1055
Abdullah_,2227,622
Abdullah_Gul_,2215,609
Abdullah_al-Attiyah_,4014,1618
Abdullatif_Sener_,2298,682
Abel_Pacheco_,3804,1570
Abid_Hamid_Mahmud_Al-Tikriti_,2939,1154
Adam_Sandler_,1753,294
Adam_Scott_,4260,1663
Adel_Al-Jubeir_,2959,1159
Adolfo_Aguilar_Zinser_,2382,738
Adolfo_Rodriguez_Saa_,1089,63
Adrian_McPherson_,3362,1408
Adrian_Nastase_,2280,667
Adrien_Brody_,2114,544
Ahmad_Masood_,1857,364
Ahmed_Chalabi_,1627,231
Ahmet_Necdet_Sezer_,2250,645
Ai_Sugiyama_,3891,1592
Aicha_El_Ouafi_,2187,589
Aitor_Gonzalez_,4181,1652
Akbar_Hashemi_Rafsanjani_,865,33
Akhmed_Zakayev_,1808,338
Al_Davis_,2276,662
Al_Gore_,3463,1450
Al_Pacino_,2699,994
Al_Sharpton_,3021,1188
Alan_Ball_,2270,658
Alan_Greenspan_,3053,1220
Alan_Mulally_,2902,1138
Alastair_Campbell_,3271,1357
Albert_Costa_,4148,1646
Alberto_Fujimori_,1902,396
Alberto_Ruiz_Gallardon_,2040,486
Albrecht_Mentz_,3410,1430
Aldo_Paredes_,2783,1070
Alec_Baldwin_,2312,691
Alejandro_Atchugarry_,1923,407
Alejandro_Avila_,2806,1085
Alejandro_Toledo_,1903,397
Aleksander_Kwasniewski_,3141,1293
Alex_Barros_,2397,748
Alex_Penelas_,2058,498
Alex_Sink_,2423,765
Alexander_Downer_,2110,540
Alexander_Losyukov_,1553,200
Alexander_Rumyantsev_,2707,1001
Alexandra_Stevenson_,2991,1174
Alexandra_Vodjanikova_,3342,1400
Ali_Abbas_,2990,1173
Ali_Khamenei_,2246,642
Ali_Naimi_,1882,384
Alice_Fisher_,2841,1100
Alicia_Silverstone_,2690,986
Alimzhan_Tokhtakhounov_,3104,1267
Alison_Lohman_,3299,1373
Allen_Iverson_,2658,961
Allison_Janney_,1981,446
Allyson_Felix_,3324,1391
Alvaro_Noboa_,2544,857
Alvaro_Silva_Calderon_,1769,306
Alvaro_Uribe_,2609,923
Amanda_Beard_,1666,255
Amanda_Bynes_,1358,136
Amanda_Coetzer_,2676,968
Amber_Tamblyn_,2170,579
Amelia_Vega_,2457,792
Amelie_Mauresmo_,3340,1398
Amer_al-Saadi_,2755,1040
Amram_Mitzna_,2655,958
Ana_Guevara_,4076,1632
Ana_Palacio_,1070,60
Anastasia_Myskina_,2639,942
Anders_Ebbeson_,2365,724
Anders_Fogh_Rasmussen_,3198,1323
Andre_Agassi_,2583,904
Andrei_Mikhnevich_,3697,1540
Andrew_Bunner_,2786,1073
Andrew_Cuomo_,2497,824
Andrew_Niccol_,3136,1288
Andrew_Weissmann_,3585,1506
Andy_Hebb_,1509,185
Andy_Roddick_,3443,1440
Angela_Bassett_,2530,849
Angela_Lansbury_,1884,386
Angela_Merkel_,1582,214
Angelina_Jolie_,897,37
Angelo_Reyes_,2790,1077
