Name,Scores,EMD Ranks
,,,
,,,
Aaron_Peirsol_,94.6369,124
Aaron_Sorkin_,134.511,1105
Abdel_Nasser_Assidi_,173.097,1648
Abdoulaye_Wade_,196.955,1679
Abdullah_,101.849,226
Abdullah_Gul_,106.049,305
Abdullah_al-Attiyah_,139.42,1227
Abdullatif_Sener_,124.901,790
Abel_Pacheco_,135.939,1140
Abid_Hamid_Mahmud_Al-Tikriti_,116.793,564
Adam_Sandler_,115.318,525
Adam_Scott_,145.663,1364
Adel_Al-Jubeir_,168.614,1628
Adolfo_Aguilar_Zinser_,135.545,1134
Adolfo_Rodriguez_Saa_,139.646,1233
Adrian_McPherson_,196.339,1678
Adrian_Nastase_,141.588,1283
Adrien_Brody_,124.433,769
Ahmad_Masood_,126.433,838
Ahmed_Chalabi_,111.131,418
Ahmet_Necdet_Sezer_,129.5,957
Ai_Sugiyama_,130.597,991
Aicha_El_Ouafi_,122.092,695
Aitor_Gonzalez_,170.297,1638
Akbar_Hashemi_Rafsanjani_,103.642,260
Akhmed_Zakayev_,125.174,798
Al_Davis_,149.354,1436
Al_Gore_,139.255,1223
Al_Pacino_,121.688,691
Al_Sharpton_,144.213,1341
Alan_Ball_,123.64,742
Alan_Greenspan_,139.935,1242
Alan_Mulally_,110.287,399
Alastair_Campbell_,110.622,406
Albert_Costa_,159.914,1581
Alberto_Fujimori_,127.457,876
Alberto_Ruiz_Gallardon_,106.364,314
Albrecht_Mentz_,128.813,927
Aldo_Paredes_,148.948,1433
Alec_Baldwin_,103.876,265
Alejandro_Atchugarry_,120.368,648
Alejandro_Avila_,148.39,1420
Alejandro_Toledo_,94.1055,118
Aleksander_Kwasniewski_,116.665,562
Alex_Barros_,109.347,375
Alex_Penelas_,106.871,326
Alex_Sink_,118.626,606
Alexander_Downer_,98.3992,177
Alexander_Losyukov_,140.581,1259
Alexander_Rumyantsev_,105.994,303
Alexandra_Stevenson_,160.342,1584
Alexandra_Vodjanikova_,154.627,1525
Ali_Abbas_,109.5,383
Ali_Khamenei_,122.218,699
Ali_Naimi_,112.359,447
Alice_Fisher_,141.162,1276
Alicia_Silverstone_,129.948,976
Alimzhan_Tokhtakhounov_,117.507,584
Alison_Lohman_,114.457,500
Allen_Iverson_,142.223,1299
Allison_Janney_,131.48,1012
Allyson_Felix_,173.769,1651
Alvaro_Noboa_,111.119,417
Alvaro_Silva_Calderon_,126.879,850
Alvaro_Uribe_,99.8015,190
Amanda_Beard_,116.538,559
Amanda_Bynes_,87.5537,64
Amanda_Coetzer_,140.554,1258
Amber_Tamblyn_,109.017,365
Amelia_Vega_,104.674,275
Amelie_Mauresmo_,145.112,1352
Amer_al-Saadi_,114.098,492
Amram_Mitzna_,126.992,852
Ana_Guevara_,177.767,1662
Ana_Palacio_,101.318,215
Anastasia_Myskina_,156.084,1539
Anders_Ebbeson_,162.864,1596
Anders_Fogh_Rasmussen_,124.892,787
Andre_Agassi_,150.564,1461
Andrei_Mikhnevich_,132.062,1033
Andrew_Bunner_,121.138,670
Andrew_Cuomo_,98.6318,180
Andrew_Niccol_,128.991,936
Andrew_Weissmann_,160.902,1587
Andy_Hebb_,110.068,394
