Name,Scores,EMD Ranks
,,,
,,,
Aaron_Peirsol_,131.929,1004
Aaron_Sorkin_,134.498,1076
Abdel_Nasser_Assidi_,158.803,1567
Abdoulaye_Wade_,177.813,1667
Abdullah_,139.14,1214
Abdullah_Gul_,106.02,297
Abdullah_al-Attiyah_,139.4,1220
Abdullatif_Sener_,131.026,975
Abel_Pacheco_,135.924,1127
Abid_Hamid_Mahmud_Al-Tikriti_,177.239,1662
Adam_Sandler_,115.315,511
Adam_Scott_,160.235,1585
Adel_Al-Jubeir_,168.609,1632
Adolfo_Aguilar_Zinser_,135.52,1114
Adolfo_Rodriguez_Saa_,90.6212,89
Adrian_McPherson_,196.331,1679
Adrian_Nastase_,136.946,1149
Adrien_Brody_,124.411,759
Ahmad_Masood_,149.2,1431
Ahmed_Chalabi_,111.09,405
Ahmet_Necdet_Sezer_,129.483,933
Ai_Sugiyama_,135.277,1106
Aicha_El_Ouafi_,130.813,966
Aitor_Gonzalez_,174.413,1651
Akbar_Hashemi_Rafsanjani_,103.612,249
Akhmed_Zakayev_,125.155,786
Al_Davis_,140.22,1246
Al_Gore_,139.249,1218
Al_Pacino_,136.661,1144
Al_Sharpton_,164.896,1616
Alan_Ball_,123.613,727
Alan_Greenspan_,147.619,1403
Alan_Mulally_,128.873,912
Alastair_Campbell_,103.845,253
Albert_Costa_,168.739,1633
Alberto_Fujimori_,127.428,858
Alberto_Ruiz_Gallardon_,106.296,302
Albrecht_Mentz_,128.809,909
Aldo_Paredes_,148.934,1428
Alec_Baldwin_,136.268,1136
Alejandro_Atchugarry_,120.511,643
Alejandro_Avila_,144.153,1342
Alejandro_Toledo_,130.821,967
Aleksander_Kwasniewski_,117.052,550
Alex_Barros_,109.292,364
Alex_Penelas_,106.849,311
Alex_Sink_,138.291,1190
Alexander_Downer_,123.855,732
Alexander_Losyukov_,140.567,1258
Alexander_Rumyantsev_,112.067,422
Alexandra_Stevenson_,160.326,1586
Alexandra_Vodjanikova_,154.616,1512
Ali_Abbas_,91.1966,97
Ali_Khamenei_,138.256,1188
Ali_Naimi_,112.327,429
Alice_Fisher_,139.597,1226
Alicia_Silverstone_,129.923,948
Alimzhan_Tokhtakhounov_,129.616,938
Alison_Lohman_,114.433,484
Allen_Iverson_,151.965,1468
Allison_Janney_,131.438,986
Allyson_Felix_,173.748,1647
Alvaro_Noboa_,111.085,404
Alvaro_Silva_Calderon_,130.829,968
Alvaro_Uribe_,149.567,1436
Amanda_Beard_,112.798,441
Amanda_Bynes_,87.5096,60
Amanda_Coetzer_,140.539,1257
Amber_Tamblyn_,109.008,356
Amelia_Vega_,104.66,267
Amelie_Mauresmo_,145.088,1354
Amer_al-Saadi_,114.071,478
Amram_Mitzna_,126.971,844
Ana_Guevara_,177.764,1666
Ana_Palacio_,63.4178,5
Anastasia_Myskina_,121.896,681
Anders_Ebbeson_,162.858,1603
Anders_Fogh_Rasmussen_,166.941,1626
Andre_Agassi_,124.805,777
Andrei_Mikhnevich_,132.034,1007
Andrew_Bunner_,111.801,416
Andrew_Cuomo_,98.6033,175
Andrew_Niccol_,100.53,199
Andrew_Weissmann_,160.891,1590
Andy_Hebb_,81.6555,35
