Name,Highest Rank,Fused Ranks
,,
,,
Aaron_Peirsol_,1004,1576
Aaron_Sorkin_,1018,1581
Abdel_Nasser_Assidi_,275,697
Abdoulaye_Wade_,855,1496
Abdullah_,74,211
Abdullah_Gul_,297,746
Abdullah_al-Attiyah_,1093,1606
Abdullatif_Sener_,746,1407
Abel_Pacheco_,666,1334
Abid_Hamid_Mahmud_Al-Tikriti_,709,1375
Adam_Sandler_,400,947
Adam_Scott_,962,1552
Adel_Al-Jubeir_,1021,1582
Adolfo_Aguilar_Zinser_,629,1298
Adolfo_Rodriguez_Saa_,1,1
Adrian_McPherson_,258,659
Adrian_Nastase_,266,676
Adrien_Brody_,690,1352
Ahmad_Masood_,520,1146
Ahmed_Chalabi_,405,956
Ahmet_Necdet_Sezer_,133,367
Ai_Sugiyama_,375,897
Aicha_El_Ouafi_,720,1386
Aitor_Gonzalez_,1393,1675
Akbar_Hashemi_Rafsanjani_,249,640
Akhmed_Zakayev_,665,1333
Al_Davis_,218,575
Al_Gore_,278,705
Al_Pacino_,325,806
Al_Sharpton_,190,516
Alan_Ball_,7,19
Alan_Greenspan_,1185,1634
Alan_Mulally_,512,1132
Alastair_Campbell_,253,649
Albert_Costa_,310,775
Alberto_Fujimori_,858,1500
Alberto_Ruiz_Gallardon_,300,753
Albrecht_Mentz_,909,1528
Aldo_Paredes_,486,1087
Alec_Baldwin_,56,163
Alejandro_Atchugarry_,48,139
Alejandro_Avila_,16,46
Alejandro_Toledo_,345,844
Aleksander_Kwasniewski_,281,709
Alex_Barros_,364,878
Alex_Penelas_,277,703
Alex_Sink_,2,4
Alexander_Downer_,732,1394
Alexander_Losyukov_,112,311
Alexander_Rumyantsev_,422,992
Alexandra_Stevenson_,1387,1674
Alexandra_Vodjanikova_,637,1303
Ali_Abbas_,97,275
Ali_Khamenei_,706,1368
Ali_Naimi_,429,1003
Alice_Fisher_,1073,1601
Alicia_Silverstone_,654,1323
Alimzhan_Tokhtakhounov_,3,7
Alison_Lohman_,484,1085
Allen_Iverson_,1191,1636
Allison_Janney_,640,1306
Allyson_Felix_,971,1554
Alvaro_Noboa_,404,953
Alvaro_Silva_Calderon_,4,10
Alvaro_Uribe_,234,611
Amanda_Beard_,105,296
Amanda_Bynes_,60,174
Amanda_Coetzer_,615,1279
Amber_Tamblyn_,356,864
Amelia_Vega_,267,678
Amelie_Mauresmo_,1354,1669
Amer_al-Saadi_,377,901
Amram_Mitzna_,311,778
Ana_Guevara_,337,833
Ana_Palacio_,5,13
Anastasia_Myskina_,455,1045
Anders_Ebbeson_,1265,1651
Anders_Fogh_Rasmussen_,992,1566
Andre_Agassi_,543,1176
Andrei_Mikhnevich_,241,627
Andrew_Bunner_,416,981
Andrew_Cuomo_,175,477
Andrew_Niccol_,199,535
Andrew_Weissmann_,303,758
Andy_Hebb_,35,103
Andy_Roddick_,976,1556
Angela_Bassett_,659,1329
Angela_Lansbury_,174,474
Angela_Merkel_,49,142
Angelina_Jolie_,258,660
Angelo_Reyes_,970,1553
Anibal_Ibarra_,122,338
Ann_Veneman_,215,567
Anna_Kournikova_,725,1392
Anna_Nicole_Smith_,390,930
Anne_Krueger_,341,837
