Name,Scores,Fused Ranks
,,,
,,,
Aaron_Peirsol_,1577,238
Aaron_Sorkin_,2483,798
Abdel_Nasser_Assidi_,2258,655
Abdoulaye_Wade_,3402,1420
Abdullah_,3585,1489
Abdullah_Gul_,3287,1363
Abdullah_al-Attiyah_,3279,1357
Abdullatif_Sener_,2358,723
Abel_Pacheco_,3235,1334
Abid_Hamid_Mahmud_Al-Tikriti_,2297,681
Adam_Sandler_,1488,200
Adam_Scott_,3362,1400
Adel_Al-Jubeir_,2586,870
Adolfo_Aguilar_Zinser_,3176,1306
Adolfo_Rodriguez_Saa_,2353,721
Adrian_McPherson_,3020,1181
Adrian_Nastase_,3630,1507
Adrien_Brody_,3062,1219
Ahmad_Masood_,3592,1494
Ahmed_Chalabi_,1508,207
Ahmet_Necdet_Sezer_,1770,337
Ai_Sugiyama_,2843,1073
Aicha_El_Ouafi_,3343,1391
Aitor_Gonzalez_,4373,1662
Akbar_Hashemi_Rafsanjani_,2223,626
Akhmed_Zakayev_,2540,840
Al_Davis_,3684,1526
Al_Gore_,3215,1324
Al_Pacino_,2025,494
Al_Sharpton_,3403,1421
Alan_Ball_,3061,1215
Alan_Greenspan_,2816,1055
Alan_Mulally_,2337,706
Alastair_Campbell_,3424,1426
Albert_Costa_,3670,1518
Alberto_Fujimori_,2650,933
Alberto_Ruiz_Gallardon_,2762,1012
Albrecht_Mentz_,1753,318
Aldo_Paredes_,1863,392
Alec_Baldwin_,1103,84
Alejandro_Atchugarry_,1378,159
Alejandro_Avila_,2277,668
Alejandro_Toledo_,3097,1249
Aleksander_Kwasniewski_,2372,734
Alex_Barros_,2340,709
Alex_Penelas_,1335,145
Alex_Sink_,3269,1352
Alexander_Downer_,1780,344
Alexander_Losyukov_,2473,790
Alexander_Rumyantsev_,2869,1098
Alexandra_Stevenson_,3077,1234
Alexandra_Vodjanikova_,4122,1626
Ali_Abbas_,1657,277
Ali_Khamenei_,3025,1186
Ali_Naimi_,948,56
Alice_Fisher_,2535,835
Alicia_Silverstone_,3095,1248
Alimzhan_Tokhtakhounov_,1812,366
Alison_Lohman_,1567,232
Allen_Iverson_,2636,921
Allison_Janney_,1654,276
Allyson_Felix_,3089,1240
Alvaro_Noboa_,2011,482
Alvaro_Silva_Calderon_,2418,758
Alvaro_Uribe_,1868,396
Amanda_Beard_,1925,426
Amanda_Bynes_,1530,218
Amanda_Coetzer_,3756,1548
Amber_Tamblyn_,1053,75
Amelia_Vega_,1730,303
Amelie_Mauresmo_,2987,1166
Amer_al-Saadi_,2166,584
Amram_Mitzna_,1610,252
Ana_Guevara_,2310,686
Ana_Palacio_,1704,294
Anastasia_Myskina_,2802,1044
Anders_Ebbeson_,3829,1577
Anders_Fogh_Rasmussen_,4606,1676
Andre_Agassi_,2031,498
Andrei_Mikhnevich_,2126,551
Andrew_Bunner_,1753,319
Andrew_Cuomo_,3273,1354
Andrew_Niccol_,2383,740
Andrew_Weissmann_,3165,1294
Andy_Hebb_,1879,404
Andy_Roddick_,3158,1291
Angela_Bassett_,3852,1582
Angela_Lansbury_,658,21
Angela_Merkel_,1247,125
Angelina_Jolie_,2513,816
Angelo_Reyes_,2753,1008
