Name,Scores,Sift Ranks
,,,
,,,
Aaron_Peirsol_,115587,661
Aaron_Sorkin_,106163,396
Abdel_Nasser_Assidi_,149621,1535
Abdoulaye_Wade_,121236,847
Abdullah_,127845,1062
Abdullah_Gul_,113696,601
Abdullah_al-Attiyah_,155400,1577
Abdullatif_Sener_,150593,1538
Abel_Pacheco_,161255,1616
Abid_Hamid_Mahmud_Al-Tikriti_,144668,1474
Adam_Sandler_,82513,87
Adam_Scott_,107839,432
Adel_Al-Jubeir_,130405,1135
Adolfo_Aguilar_Zinser_,136248,1302
Adolfo_Rodriguez_Saa_,158129,1598
Adrian_McPherson_,126775,1018
Adrian_Nastase_,126540,1011
Adrien_Brody_,146253,1501
Ahmad_Masood_,130808,1149
Ahmed_Chalabi_,130876,1152
Ahmet_Necdet_Sezer_,108170,436
Ai_Sugiyama_,132423,1208
Aicha_El_Ouafi_,93228,150
Aitor_Gonzalez_,155388,1576
Akbar_Hashemi_Rafsanjani_,137999,1350
Akhmed_Zakayev_,118434,750
Al_Davis_,112383,559
Al_Gore_,120730,831
Al_Pacino_,131977,1192
Al_Sharpton_,131592,1174
Alan_Ball_,94774,169
Alan_Greenspan_,158692,1602
Alan_Mulally_,78470.5,68
Alastair_Campbell_,110836,513
Albert_Costa_,116697,697
Alberto_Fujimori_,78658,69
Alberto_Ruiz_Gallardon_,124402,942
Albrecht_Mentz_,135177,1277
Aldo_Paredes_,135927,1294
Alec_Baldwin_,112202,551
Alejandro_Atchugarry_,96315,188
Alejandro_Avila_,90472.3,126
Alejandro_Toledo_,124998,959
Aleksander_Kwasniewski_,133229,1228
Alex_Barros_,129373,1096
Alex_Penelas_,113353,592
Alex_Sink_,119254,771
Alexander_Downer_,132129,1197
Alexander_Losyukov_,133996,1246
Alexander_Rumyantsev_,94709.5,168
Alexandra_Stevenson_,140816,1423
Alexandra_Vodjanikova_,179237,1668
Ali_Abbas_,0,1
Ali_Khamenei_,113565,600
Ali_Naimi_,109801,482
Alice_Fisher_,131806,1186
Alicia_Silverstone_,80616.4,76
Alimzhan_Tokhtakhounov_,0,2
Alison_Lohman_,173423,1660
Allen_Iverson_,117445,720
Allison_Janney_,132731,1213
Allyson_Felix_,122268,874
Alvaro_Noboa_,167488,1647
Alvaro_Silva_Calderon_,136368,1304
Alvaro_Uribe_,141313,1435
Amanda_Beard_,89828.8,123
Amanda_Bynes_,113201,586
Amanda_Coetzer_,131699,1181
Amber_Tamblyn_,102459,302
Amelia_Vega_,126401,1003
Amelie_Mauresmo_,120316,814
Amer_al-Saadi_,102506,304
Amram_Mitzna_,102702,309
Ana_Guevara_,145520,1489
Ana_Palacio_,105343,370
Anastasia_Myskina_,139333,1383
Anders_Ebbeson_,116806,702
Anders_Fogh_Rasmussen_,134293,1257
Andre_Agassi_,124990,958
Andrei_Mikhnevich_,95701.5,182
Andrew_Bunner_,110889,515
Andrew_Cuomo_,140196,1407
Andrew_Niccol_,126036,994
Andrew_Weissmann_,103159,319
Andy_Hebb_,127257,1038
Andy_Roddick_,118440,751
Angela_Bassett_,101276,276
Angela_Lansbury_,111401,530
Angela_Merkel_,93286,151
Angelina_Jolie_,106739,412
