Name,Scores,Sift Ranks
,,,
,,,
Aaron_Peirsol_,88505,337
Aaron_Sorkin_,135841,1239
Abdel_Nasser_Assidi_,110745,588
Abdoulaye_Wade_,123783,897
Abdullah_,147883,1483
Abdullah_Gul_,140787,1354
Abdullah_al-Attiyah_,99159,425
Abdullatif_Sener_,158760,1597
Abel_Pacheco_,111225,598
Abid_Hamid_Mahmud_Al-Tikriti_,108965,559
Adam_Sandler_,115216,683
Adam_Scott_,103308,480
Adel_Al-Jubeir_,158251,1594
Adolfo_Aguilar_Zinser_,127648,1012
Adolfo_Rodriguez_Saa_,115495,693
Adrian_McPherson_,151790,1539
Adrian_Nastase_,152591,1548
Adrien_Brody_,124454,921
Ahmad_Masood_,148864,1497
Ahmed_Chalabi_,125538,949
Ahmet_Necdet_Sezer_,152505,1546
Ai_Sugiyama_,157095,1588
Aicha_El_Ouafi_,128953,1051
Aitor_Gonzalez_,127342,1004
Akbar_Hashemi_Rafsanjani_,159993,1608
Akhmed_Zakayev_,83893,310
Al_Davis_,138686,1302
Al_Gore_,129653,1064
Al_Pacino_,129767,1069
Al_Sharpton_,135064,1223
Alan_Ball_,133962,1194
Alan_Greenspan_,0,1
Alan_Mulally_,0,2
Alastair_Campbell_,87793,332
Albert_Costa_,115996,707
Alberto_Fujimori_,133116,1167
Alberto_Ruiz_Gallardon_,0,3
Albrecht_Mentz_,126176,975
Aldo_Paredes_,120215,806
Alec_Baldwin_,139947,1333
Alejandro_Atchugarry_,112442,628
Alejandro_Avila_,120614,812
Alejandro_Toledo_,115638,699
Aleksander_Kwasniewski_,149071,1499
Alex_Barros_,118774,775
Alex_Penelas_,116500,721
Alex_Sink_,120093,805
Alexander_Downer_,123757,896
Alexander_Losyukov_,0,4
Alexander_Rumyantsev_,120830,820
Alexandra_Stevenson_,144110,1432
Alexandra_Vodjanikova_,107326,525
Ali_Abbas_,117136,733
Ali_Khamenei_,123314,883
Ali_Naimi_,111799,616
Alice_Fisher_,128216,1026
Alicia_Silverstone_,124202,915
Alimzhan_Tokhtakhounov_,0,5
Alison_Lohman_,125806,962
Allen_Iverson_,0,6
Allison_Janney_,113169,641
Allyson_Felix_,110399,584
Alvaro_Noboa_,103796,488
Alvaro_Silva_Calderon_,116000,708
Alvaro_Uribe_,126166,974
Amanda_Beard_,89607,344
Amanda_Bynes_,86573,325
Amanda_Coetzer_,0,7
Amber_Tamblyn_,134297,1201
Amelia_Vega_,122406,858
Amelie_Mauresmo_,135417,1233
Amer_al-Saadi_,144933,1438
Amram_Mitzna_,123739,893
Ana_Guevara_,139511,1316
Ana_Palacio_,91359,357
Anastasia_Myskina_,124029,908
Anders_Ebbeson_,126661,985
Anders_Fogh_Rasmussen_,68864,282
Andre_Agassi_,107494,531
Andrei_Mikhnevich_,0,8
Andrew_Bunner_,120665,816
Andrew_Cuomo_,0,9
Andrew_Niccol_,126032,968
Andrew_Weissmann_,0,10
Andy_Hebb_,110913,592
Andy_Roddick_,136687,1258
Angela_Bassett_,121582,841
Angela_Lansbury_,0,11
Angela_Merkel_,145856,1453
Angelina_Jolie_,130025,1079
Angelo_Reyes_,122349,854
Anibal_Ibarra_,89410.5,343
