Name,Highest Rank,Fused Ranks
,,
,,
Aaron_Peirsol_,821,1383
Aaron_Sorkin_,952,1482
Abdel_Nasser_Assidi_,782,1353
Abdoulaye_Wade_,509,1042
Abdullah_,216,542
Abdullah_Gul_,298,707
Abdullah_al-Attiyah_,1223,1622
Abdullatif_Sener_,842,1402
Abel_Pacheco_,353,812
Abid_Hamid_Mahmud_Al-Tikriti_,840,1400
Adam_Sandler_,52,147
Adam_Scott_,1,1
Adel_Al-Jubeir_,1345,1659
Adolfo_Aguilar_Zinser_,669,1237
Adolfo_Rodriguez_Saa_,946,1478
Adrian_McPherson_,1012,1518
Adrian_Nastase_,831,1394
Adrien_Brody_,92,251
Ahmad_Masood_,1296,1648
Ahmed_Chalabi_,399,886
Ahmet_Necdet_Sezer_,625,1185
Ai_Sugiyama_,206,520
Aicha_El_Ouafi_,1222,1621
Aitor_Gonzalez_,1330,1655
Akbar_Hashemi_Rafsanjani_,246,604
Akhmed_Zakayev_,303,716
Al_Davis_,955,1487
Al_Gore_,1197,1607
Al_Pacino_,106,285
Al_Sharpton_,954,1485
Alan_Ball_,544,1089
Alan_Greenspan_,868,1416
Alan_Mulally_,124,331
Alastair_Campbell_,934,1470
Albert_Costa_,613,1173
Alberto_Fujimori_,606,1169
Alberto_Ruiz_Gallardon_,305,721
Albrecht_Mentz_,2,4
Aldo_Paredes_,458,972
Alec_Baldwin_,880,1424
Alejandro_Atchugarry_,644,1205
Alejandro_Avila_,3,7
Alejandro_Toledo_,107,287
Aleksander_Kwasniewski_,321,754
Alex_Barros_,4,10
Alex_Penelas_,130,346
Alex_Sink_,591,1145
Alexander_Downer_,173,449
Alexander_Losyukov_,360,827
Alexander_Rumyantsev_,128,341
Alexandra_Stevenson_,759,1325
Alexandra_Vodjanikova_,677,1248
Ali_Abbas_,373,845
Ali_Khamenei_,1173,1598
Ali_Naimi_,430,937
Alice_Fisher_,110,296
Alicia_Silverstone_,299,709
Alimzhan_Tokhtakhounov_,203,514
Alison_Lohman_,479,998
Allen_Iverson_,1118,1576
Allison_Janney_,327,763
Allyson_Felix_,1152,1593
Alvaro_Noboa_,586,1134
Alvaro_Silva_Calderon_,317,746
Alvaro_Uribe_,181,468
Amanda_Beard_,444,956
Amanda_Bynes_,57,161
Amanda_Coetzer_,771,1340
Amber_Tamblyn_,239,593
Amelia_Vega_,102,274
Amelie_Mauresmo_,140,368
Amer_al-Saadi_,472,990
Amram_Mitzna_,710,1282
Ana_Guevara_,81,224
Ana_Palacio_,210,531
Anastasia_Myskina_,565,1111
Anders_Ebbeson_,818,1380
Anders_Fogh_Rasmussen_,885,1427
Andre_Agassi_,272,656
Andrei_Mikhnevich_,568,1114
Andrew_Bunner_,381,858
Andrew_Cuomo_,168,436
Andrew_Niccol_,193,494
Andrew_Weissmann_,478,997
Andy_Hebb_,27,79
Andy_Roddick_,433,942
Angela_Bassett_,406,898
Angela_Lansbury_,11,31
Angela_Merkel_,45,129
Angelina_Jolie_,451,966
Angelo_Reyes_,369,838
Anibal_Ibarra_,366,832
Ann_Veneman_,137,360
Anna_Kournikova_,349,804
Anna_Nicole_Smith_,212,534
Anne_Krueger_,505,1034
