Name,Scores,Sift Ranks
,,,
,,,
Aaron_Peirsol_,121012,821
Aaron_Sorkin_,124754,952
Abdel_Nasser_Assidi_,172341,1666
Abdoulaye_Wade_,111240,509
Abdullah_,136075,1292
Abdullah_Gul_,118597,732
Abdullah_al-Attiyah_,165378,1649
Abdullatif_Sener_,121781,842
Abel_Pacheco_,105088,373
Abid_Hamid_Mahmud_Al-Tikriti_,126124,1008
Adam_Sandler_,115818,657
Adam_Scott_,0,1
Adel_Al-Jubeir_,139477,1379
Adolfo_Aguilar_Zinser_,124062,927
Adolfo_Rodriguez_Saa_,125726,989
Adrian_McPherson_,126212,1012
Adrian_Nastase_,127549,1063
Adrien_Brody_,125831,992
Ahmad_Masood_,136364,1296
Ahmed_Chalabi_,145008,1488
Ahmet_Necdet_Sezer_,115089,625
Ai_Sugiyama_,123177,889
Aicha_El_Ouafi_,151350,1567
Aitor_Gonzalez_,137550,1330
Akbar_Hashemi_Rafsanjani_,103088,330
Akhmed_Zakayev_,131696,1181
Al_Davis_,124856,955
Al_Gore_,161259,1631
Al_Pacino_,171848,1665
Al_Sharpton_,136639,1302
Alan_Ball_,112135,544
Alan_Greenspan_,122712,868
Alan_Mulally_,87687,124
Alastair_Campbell_,151076,1562
Albert_Costa_,114785,613
Alberto_Fujimori_,117283,705
Alberto_Ruiz_Gallardon_,104039,347
Albrecht_Mentz_,0,2
Aldo_Paredes_,141564,1415
Alec_Baldwin_,134999,1264
Alejandro_Atchugarry_,121532,836
Alejandro_Avila_,0,3
Alejandro_Toledo_,101171,289
Aleksander_Kwasniewski_,102816,321
Alex_Barros_,0,4
Alex_Penelas_,139687,1380
Alex_Sink_,126632,1034
Alexander_Downer_,126357,1018
Alexander_Losyukov_,104494,360
Alexander_Rumyantsev_,88032,128
Alexandra_Stevenson_,153712,1586
Alexandra_Vodjanikova_,125942,999
Ali_Abbas_,121381,832
Ali_Khamenei_,131387,1173
Ali_Naimi_,125633,986
Alice_Fisher_,85284,110
Alicia_Silverstone_,101536,299
Alimzhan_Tokhtakhounov_,119794,774
Alison_Lohman_,124246,935
Allen_Iverson_,144715,1482
Allison_Janney_,103016,327
Allyson_Felix_,133753,1233
Alvaro_Noboa_,126363,1019
Alvaro_Silva_Calderon_,146500,1508
Alvaro_Uribe_,140950,1401
Amanda_Beard_,119167,748
Amanda_Bynes_,87685.8,123
Amanda_Coetzer_,119750,771
Amber_Tamblyn_,117226,701
Amelia_Vega_,83549,102
Amelie_Mauresmo_,90035.7,140
Amer_al-Saadi_,116872,690
Amram_Mitzna_,139242,1371
Ana_Guevara_,106381,395
Ana_Palacio_,109785,474
Anastasia_Myskina_,112928,565
Anders_Ebbeson_,120966,818
Anders_Fogh_Rasmussen_,123116,885
Andre_Agassi_,100420,272
Andrei_Mikhnevich_,127695,1066
Andrew_Bunner_,105648,381
Andrew_Cuomo_,135803,1287
Andrew_Niccol_,139021,1365
Andrew_Weissmann_,122104,854
Andy_Hebb_,128064,1076
Andy_Roddick_,107847,433
Angela_Bassett_,106893,406
Angela_Lansbury_,97073,218
Angela_Merkel_,144760,1484
Angelina_Jolie_,127611,1064
Angelo_Reyes_,115811,656
