Name,Scores,Corelation Ranks
,,,
,,,
Aaron_Peirsol_,0.73181,913
Aaron_Sorkin_,0.896382,1328
Abdel_Nasser_Assidi_,0.783683,1061
Abdoulaye_Wade_,1.15709,1644
Abdullah_,0.431095,148
Abdullah_Gul_,0.599246,541
Abdullah_al-Attiyah_,1.01594,1529
Abdullatif_Sener_,0.887709,1308
Abel_Pacheco_,0.981266,1480
Abid_Hamid_Mahmud_Al-Tikriti_,0.801177,1110
Adam_Sandler_,0.94572,1426
Adam_Scott_,1.06957,1589
Adel_Al-Jubeir_,0.695785,813
Adolfo_Aguilar_Zinser_,0.709249,852
Adolfo_Rodriguez_Saa_,0.622054,601
Adrian_McPherson_,0.923314,1385
Adrian_Nastase_,0.288778,13
Adrien_Brody_,0.576587,474
Ahmad_Masood_,0.538201,368
Ahmed_Chalabi_,0.521745,317
Ahmet_Necdet_Sezer_,0.913318,1365
Ai_Sugiyama_,0.842664,1214
Aicha_El_Ouafi_,0.630045,632
Aitor_Gonzalez_,1.02445,1535
Akbar_Hashemi_Rafsanjani_,0.61715,585
Akhmed_Zakayev_,0.45302,187
Al_Davis_,0.580047,489
Al_Gore_,0.902357,1343
Al_Pacino_,0.655447,708
Al_Sharpton_,0.561247,426
Alan_Ball_,0.812054,1134
Alan_Greenspan_,0.609313,566
Alan_Mulally_,0.8628,1259
Alastair_Campbell_,0.868783,1268
Albert_Costa_,1.08671,1603
Alberto_Fujimori_,0.75842,992
Alberto_Ruiz_Gallardon_,0.545284,380
Albrecht_Mentz_,0.991307,1496
Aldo_Paredes_,0.70638,845
Alec_Baldwin_,0.469908,214
Alejandro_Atchugarry_,0.784713,1065
Alejandro_Avila_,0.990594,1494
Alejandro_Toledo_,0.421817,133
Aleksander_Kwasniewski_,0.946348,1428
Alex_Barros_,0.537741,365
Alex_Penelas_,0.665327,731
Alex_Sink_,0.826565,1169
Alexander_Downer_,0.319629,33
Alexander_Losyukov_,0.720253,878
Alexander_Rumyantsev_,0.488437,255
Alexandra_Stevenson_,0.73226,915
Alexandra_Vodjanikova_,0.248692,6
Ali_Abbas_,1.04464,1560
Ali_Khamenei_,1.00669,1517
Ali_Naimi_,1.0036,1513
Alice_Fisher_,0.650645,695
Alicia_Silverstone_,0.865716,1263
Alimzhan_Tokhtakhounov_,1.00664,1516
Alison_Lohman_,1.15589,1641
Allen_Iverson_,0.902381,1344
Allison_Janney_,0.734579,924
Allyson_Felix_,0.614469,579
Alvaro_Noboa_,0.844137,1218
Alvaro_Silva_Calderon_,0.515753,307
Alvaro_Uribe_,0.989263,1489
Amanda_Beard_,0.99463,1503
Amanda_Bynes_,0.581264,492
Amanda_Coetzer_,0.907441,1353
Amber_Tamblyn_,0.839624,1209
Amelia_Vega_,0.426648,141
Amelie_Mauresmo_,1.30794,1676
Amer_al-Saadi_,0.417462,122
Amram_Mitzna_,0.770839,1025
Ana_Guevara_,0.824014,1164
Ana_Palacio_,0.908245,1355
Anastasia_Myskina_,0.930936,1394
Anders_Ebbeson_,0.433565,154
Anders_Fogh_Rasmussen_,0.580788,490
Andre_Agassi_,0.62154,597
Andrei_Mikhnevich_,0.885783,1305
Andrew_Bunner_,0.878342,1290
