Name,Scores,Corelation Ranks
,,,
,,,
Aaron_Peirsol_,0.82844,995
Aaron_Sorkin_,0.669429,709
Abdel_Nasser_Assidi_,0.822972,985
Abdoulaye_Wade_,1.07623,1422
Abdullah_,0.87398,1091
Abdullah_Gul_,1.33669,1639
Abdullah_al-Attiyah_,1.34794,1643
Abdullatif_Sener_,1.11977,1484
Abel_Pacheco_,0.286251,51
Abid_Hamid_Mahmud_Al-Tikriti_,1.17464,1550
Adam_Sandler_,0.821759,981
Adam_Scott_,0.508211,407
Adel_Al-Jubeir_,0.848561,1034
Adolfo_Aguilar_Zinser_,0.817562,974
Adolfo_Rodriguez_Saa_,1.00199,1306
Adrian_McPherson_,1.11798,1480
Adrian_Nastase_,0.892904,1119
Adrien_Brody_,0.787521,918
Ahmad_Masood_,0.883405,1108
Ahmed_Chalabi_,1.06998,1411
Ahmet_Necdet_Sezer_,0.285096,49
Ai_Sugiyama_,1.26644,1610
Aicha_El_Ouafi_,0.744616,838
Aitor_Gonzalez_,1.2049,1568
Akbar_Hashemi_Rafsanjani_,0.775063,888
Akhmed_Zakayev_,0.865593,1070
Al_Davis_,1.0533,1391
Al_Gore_,0.442026,285
Al_Pacino_,0.411828,229
Al_Sharpton_,0.685346,734
Alan_Ball_,0.682029,729
Alan_Greenspan_,1.12187,1486
Alan_Mulally_,0.5472,476
Alastair_Campbell_,1.0454,1377
Albert_Costa_,0.391456,195
Alberto_Fujimori_,0.862438,1062
Alberto_Ruiz_Gallardon_,0.37084,156
Albrecht_Mentz_,1.03984,1367
Aldo_Paredes_,1.28546,1622
Alec_Baldwin_,0.962617,1254
Alejandro_Atchugarry_,0.969928,1260
Alejandro_Avila_,0.726933,805
Alejandro_Toledo_,0.626443,615
Aleksander_Kwasniewski_,0.373371,163
Alex_Barros_,0.695268,749
Alex_Penelas_,0.383855,182
Alex_Sink_,0.600242,565
Alexander_Downer_,0.468953,332
Alexander_Losyukov_,0.497568,384
Alexander_Rumyantsev_,0.775582,891
Alexandra_Stevenson_,0.720317,791
Alexandra_Vodjanikova_,0.944198,1213
Ali_Abbas_,0.4407,282
Ali_Khamenei_,1.10236,1463
Ali_Naimi_,0.523715,431
Alice_Fisher_,0.882442,1107
Alicia_Silverstone_,0.47848,349
Alimzhan_Tokhtakhounov_,0.419655,241
Alison_Lohman_,0.452328,305
Allen_Iverson_,0.569203,513
Allison_Janney_,0.596679,558
Allyson_Felix_,0.505218,396
Alvaro_Noboa_,0.772056,881
Alvaro_Silva_Calderon_,0.978887,1276
Alvaro_Uribe_,0.647517,654
Amanda_Beard_,0.801525,945
Amanda_Bynes_,0.568581,509
Amanda_Coetzer_,0.84351,1021
Amber_Tamblyn_,0.239057,23
Amelia_Vega_,0.570056,516
Amelie_Mauresmo_,0.57514,523
Amer_al-Saadi_,0.953259,1231
Amram_Mitzna_,0.465314,324
Ana_Guevara_,0.314322,84
Ana_Palacio_,0.868829,1079
Anastasia_Myskina_,0.966852,1258
Anders_Ebbeson_,0.972013,1263
Anders_Fogh_Rasmussen_,0.442379,287
Andre_Agassi_,0.785823,913
Andrei_Mikhnevich_,1.09011,1440
Andrew_Bunner_,1.05815,1397
