Name,Scores,EMD Ranks
,,
,,
Aaron_Peirsol_,117.271,552
Aaron_Sorkin_,117.375,554
Abdel_Nasser_Assidi_,158.799,1557
Abdoulaye_Wade_,177.807,1661
Abdullah_,139.137,1203
Abdullah_Gul_,106.008,283
Abdullah_al-Attiyah_,145.206,1343
Abdullatif_Sener_,124.873,763
Abel_Pacheco_,135.921,1117
Abid_Hamid_Mahmud_Al-Tikriti_,116.786,542
Adam_Sandler_,115.313,496
Adam_Scott_,160.234,1579
Adel_Al-Jubeir_,148.604,1404
Adolfo_Aguilar_Zinser_,84.63,48
Adolfo_Rodriguez_Saa_,139.601,1212
Adrian_McPherson_,196.329,1680
Adrian_Nastase_,136.945,1143
Adrien_Brody_,110.809,380
Ahmad_Masood_,126.401,806
Ahmed_Chalabi_,111.081,389
Ahmet_Necdet_Sezer_,129.478,933
Ai_Sugiyama_,135.274,1100
Aicha_El_Ouafi_,130.811,982
Aitor_Gonzalez_,174.411,1649
Akbar_Hashemi_Rafsanjani_,103.608,237
Akhmed_Zakayev_,128.841,903
Al_Davis_,149.328,1416
Al_Gore_,82.9748,41
Al_Pacino_,121.658,674
Al_Sharpton_,168.744,1633
Alan_Ball_,123.326,714
Alan_Greenspan_,147.615,1385
Alan_Mulally_,128.863,906
Alastair_Campbell_,129.29,926
Albert_Costa_,168.733,1631
Alberto_Fujimori_,136.556,1134
Alberto_Ruiz_Gallardon_,106.276,291
Albrecht_Mentz_,117.68,566
Aldo_Paredes_,148.929,1408
Alec_Baldwin_,136.256,1123
Alejandro_Atchugarry_,120.507,644
Alejandro_Avila_,160.745,1583
Alejandro_Toledo_,130.805,981
Aleksander_Kwasniewski_,138.487,1184
Alex_Barros_,109.269,351
Alex_Penelas_,93.8912,121
Alex_Sink_,118.578,589
Alexander_Downer_,105.951,279
Alexander_Losyukov_,112.935,437
Alexander_Rumyantsev_,105.966,280
Alexandra_Stevenson_,160.317,1581
Alexandra_Vodjanikova_,154.613,1504
Ali_Abbas_,109.472,359
Ali_Khamenei_,131.92,1014
Ali_Naimi_,112.315,420
Alice_Fisher_,141.135,1261
Alicia_Silverstone_,129.916,951
Alimzhan_Tokhtakhounov_,129.598,937
Alison_Lohman_,106.46,298
Allen_Iverson_,151.963,1460
Allison_Janney_,129.501,934
Allyson_Felix_,173.745,1646
Alvaro_Noboa_,111.068,387
Alvaro_Silva_Calderon_,126.786,823
Alvaro_Uribe_,115.83,517
Amanda_Beard_,116.509,537
Amanda_Bynes_,87.4968,64
Amanda_Coetzer_,140.534,1242
Amber_Tamblyn_,109.004,348
Amelia_Vega_,104.655,255
Amelie_Mauresmo_,145.076,1339
Amer_al-Saadi_,114.061,469
Amram_Mitzna_,150.622,1439
Ana_Guevara_,177.762,1660
Ana_Palacio_,101.272,206
Anastasia_Myskina_,156.061,1524
Anders_Ebbeson_,162.855,1594
Anders_Fogh_Rasmussen_,124.88,764
Andre_Agassi_,124.798,760
Andrei_Mikhnevich_,132.019,1017
Andrew_Bunner_,111.788,408
Andrew_Cuomo_,98.5953,175
Andrew_Niccol_,128.95,911
Andrew_Weissmann_,147.821,1388
Andy_Hebb_,110.031,367
Andy_Roddick_,94.6337,132
