Name,Scores,Corelation Ranks
,,,
,,,
Aaron_Peirsol_,0.771234,1078
Aaron_Sorkin_,0.879284,1319
Abdel_Nasser_Assidi_,0.669529,815
Abdoulaye_Wade_,0.911064,1404
Abdullah_,0.904179,1392
Abdullah_Gul_,1.1379,1633
Abdullah_al-Attiyah_,0.499703,391
Abdullatif_Sener_,0.81112,1160
Abel_Pacheco_,0.291855,23
Abid_Hamid_Mahmud_Al-Tikriti_,0.824903,1197
Adam_Sandler_,0.348668,67
Adam_Scott_,0.461187,295
Adel_Al-Jubeir_,0.711615,928
Adolfo_Aguilar_Zinser_,0.705751,917
Adolfo_Rodriguez_Saa_,1.01735,1536
Adrian_McPherson_,0.999106,1513
Adrian_Nastase_,0.735217,983
Adrien_Brody_,0.629645,708
Ahmad_Masood_,0.829408,1207
Ahmed_Chalabi_,0.819851,1187
Ahmet_Necdet_Sezer_,0.365451,98
Ai_Sugiyama_,0.528383,461
Aicha_El_Ouafi_,0.582312,596
Aitor_Gonzalez_,1.16491,1650
Akbar_Hashemi_Rafsanjani_,0.649994,759
Akhmed_Zakayev_,0.577538,584
Al_Davis_,0.910034,1402
Al_Gore_,0.698397,901
Al_Pacino_,0.307005,35
Al_Sharpton_,0.805493,1144
Alan_Ball_,0.793253,1119
Alan_Greenspan_,1.01472,1532
Alan_Mulally_,0.614918,674
Alastair_Campbell_,1.04221,1560
Albert_Costa_,0.483949,352
Alberto_Fujimori_,0.758617,1042
Alberto_Ruiz_Gallardon_,0.430244,220
Albrecht_Mentz_,0.396681,160
Aldo_Paredes_,1.03568,1553
Alec_Baldwin_,0.898038,1374
Alejandro_Atchugarry_,0.809795,1154
Alejandro_Avila_,0.692201,884
Alejandro_Toledo_,0.588739,612
Aleksander_Kwasniewski_,0.516821,435
Alex_Barros_,0.817028,1176
Alex_Penelas_,0.375808,116
Alex_Sink_,0.634568,721
Alexander_Downer_,0.753009,1027
Alexander_Losyukov_,0.415707,200
Alexander_Rumyantsev_,0.718149,945
Alexandra_Stevenson_,0.630211,711
Alexandra_Vodjanikova_,0.827773,1202
Ali_Abbas_,0.441306,254
Ali_Khamenei_,0.953956,1456
Ali_Naimi_,0.47218,326
Alice_Fisher_,0.741281,1007
Alicia_Silverstone_,0.418613,205
Alimzhan_Tokhtakhounov_,0.537863,482
Alison_Lohman_,0.613223,669
Allen_Iverson_,0.855884,1264
Allison_Janney_,0.596184,630
Allyson_Felix_,0.782021,1094
Alvaro_Noboa_,0.681737,853
Alvaro_Silva_Calderon_,0.537267,480
Alvaro_Uribe_,1.07537,1590
Amanda_Beard_,0.79777,1126
Amanda_Bynes_,0.539599,486
Amanda_Coetzer_,1.03765,1554
Amber_Tamblyn_,0.296775,26
Amelia_Vega_,0.574728,575
Amelie_Mauresmo_,0.764096,1057
Amer_al-Saadi_,0.84134,1233
Amram_Mitzna_,0.481376,346
Ana_Guevara_,0.355181,78
Ana_Palacio_,0.826781,1199
Anastasia_Myskina_,0.776137,1086
Anders_Ebbeson_,0.996449,1507
Anders_Fogh_Rasmussen_,1.09346,1606
Andre_Agassi_,0.791358,1115
Andrei_Mikhnevich_,0.906433,1395
Andrew_Bunner_,0.866619,1294
