Name,Scores,Corelation Ranks
,,,
,,,
Aaron_Peirsol_,0.765645,1106
Aaron_Sorkin_,0.869963,1489
Abdel_Nasser_Assidi_,0.567655,348
Abdoulaye_Wade_,0.777946,1154
Abdullah_,0.520646,196
Abdullah_Gul_,0.781949,1182
Abdullah_al-Attiyah_,0.990711,1635
Abdullatif_Sener_,0.747203,1047
Abel_Pacheco_,0.805188,1282
Abid_Hamid_Mahmud_Al-Tikriti_,0.674513,755
Adam_Sandler_,0.745359,1040
Adam_Scott_,0.710343,895
Adel_Al-Jubeir_,0.638827,599
Adolfo_Aguilar_Zinser_,0.549759,290
Adolfo_Rodriguez_Saa_,0.752474,1063
Adrian_McPherson_,0.861253,1465
Adrian_Nastase_,0.414719,26
Adrien_Brody_,0.430506,39
Ahmad_Masood_,0.621238,526
Ahmed_Chalabi_,0.694917,829
Ahmet_Necdet_Sezer_,0.773124,1136
Ai_Sugiyama_,0.836212,1388
Aicha_El_Ouafi_,0.779332,1166
Aitor_Gonzalez_,0.826277,1358
Akbar_Hashemi_Rafsanjani_,0.512914,181
Akhmed_Zakayev_,0.526509,219
Al_Davis_,0.870152,1490
Al_Gore_,0.914733,1572
Al_Pacino_,0.617317,510
Al_Sharpton_,0.699968,863
Alan_Ball_,0.911501,1569
Alan_Greenspan_,0.687053,793
Alan_Mulally_,0.560406,321
Alastair_Campbell_,1.00351,1643
Albert_Costa_,0.811648,1308
Alberto_Fujimori_,0.673772,749
Alberto_Ruiz_Gallardon_,0.82875,1361
Albrecht_Mentz_,0.669922,733
Aldo_Paredes_,0.741211,1025
Alec_Baldwin_,0.640109,605
Alejandro_Atchugarry_,0.704967,880
Alejandro_Avila_,0.847393,1425
Alejandro_Toledo_,0.532887,242
Aleksander_Kwasniewski_,0.822083,1343
Alex_Barros_,0.639389,603
Alex_Penelas_,0.547127,281
Alex_Sink_,0.753816,1067
Alexander_Downer_,0.700493,865
Alexander_Losyukov_,0.759503,1083
Alexander_Rumyantsev_,0.895625,1536
Alexandra_Stevenson_,0.578325,374
Alexandra_Vodjanikova_,0.574283,360
Ali_Abbas_,0.875733,1502
Ali_Khamenei_,0.82291,1345
Ali_Naimi_,0.71881,946
Alice_Fisher_,0.611578,491
Alicia_Silverstone_,0.881525,1516
Alimzhan_Tokhtakhounov_,0.837071,1392
Alison_Lohman_,1.06658,1663
Allen_Iverson_,0.541893,266
Allison_Janney_,0.642927,616
Allyson_Felix_,0.669025,726
Alvaro_Noboa_,0.805468,1285
Alvaro_Silva_Calderon_,0.573511,359
Alvaro_Uribe_,0.899356,1547
Amanda_Beard_,0.908299,1560
Amanda_Bynes_,0.575044,363
Amanda_Coetzer_,0.65857,688
Amber_Tamblyn_,0.819339,1330
Amelia_Vega_,0.578533,375
Amelie_Mauresmo_,0.518373,190
Amer_al-Saadi_,0.799729,1260
Amram_Mitzna_,0.77294,1135
Ana_Guevara_,0.70544,883
Ana_Palacio_,0.662411,696
Anastasia_Myskina_,0.736086,1007
Anders_Ebbeson_,0.562801,329
Anders_Fogh_Rasmussen_,0.705212,882
Andre_Agassi_,0.801227,1266
Andrei_Mikhnevich_,0.683282,780
Andrew_Bunner_,0.790836,1222
