Name,Scores,Corelation Ranks
,,,
,,,
Aaron_Peirsol_,0.536109,131
Aaron_Sorkin_,0.702349,847
Abdel_Nasser_Assidi_,0.877682,1521
Abdoulaye_Wade_,0.684071,743
Abdullah_,0.624597,452
Abdullah_Gul_,0.764541,1153
Abdullah_al-Attiyah_,0.640085,523
Abdullatif_Sener_,0.786817,1253
Abel_Pacheco_,0.781716,1226
Abid_Hamid_Mahmud_Al-Tikriti_,0.739769,1029
Adam_Sandler_,0.669272,670
Adam_Scott_,0.90538,1566
Adel_Al-Jubeir_,0.666038,656
Adolfo_Aguilar_Zinser_,0.510166,84
Adolfo_Rodriguez_Saa_,0.947878,1619
Adrian_McPherson_,0.664978,653
Adrian_Nastase_,0.714537,917
Adrien_Brody_,0.608259,361
Ahmad_Masood_,0.689876,780
Ahmed_Chalabi_,0.624702,453
Ahmet_Necdet_Sezer_,0.493534,55
Ai_Sugiyama_,0.807336,1343
Aicha_El_Ouafi_,0.512315,88
Aitor_Gonzalez_,0.805663,1337
Akbar_Hashemi_Rafsanjani_,0.779585,1221
Akhmed_Zakayev_,0.720097,939
Al_Davis_,0.594376,300
Al_Gore_,0.746154,1061
Al_Pacino_,0.581586,255
Al_Sharpton_,0.744872,1053
Alan_Ball_,0.713823,915
Alan_Greenspan_,0.855192,1482
Alan_Mulally_,0.501394,66
Alastair_Campbell_,0.633358,491
Albert_Costa_,0.615122,389
Alberto_Fujimori_,0.70604,864
Alberto_Ruiz_Gallardon_,0.809781,1350
Albrecht_Mentz_,0.578197,245
Aldo_Paredes_,0.625404,458
Alec_Baldwin_,0.664066,645
Alejandro_Atchugarry_,0.960676,1630
Alejandro_Avila_,0.547732,153
Alejandro_Toledo_,0.614693,385
Aleksander_Kwasniewski_,0.711588,900
Alex_Barros_,0.686188,757
Alex_Penelas_,0.573595,233
Alex_Sink_,0.621862,429
Alexander_Downer_,0.837622,1438
Alexander_Losyukov_,0.565938,203
Alexander_Rumyantsev_,0.88891,1544
Alexandra_Stevenson_,0.453945,22
Alexandra_Vodjanikova_,0.930444,1604
Ali_Abbas_,0.895654,1554
Ali_Khamenei_,0.662392,638
Ali_Naimi_,0.396863,4
Alice_Fisher_,0.675025,698
Alicia_Silverstone_,0.734587,1010
Alimzhan_Tokhtakhounov_,0.727988,973
Alison_Lohman_,0.663424,643
Allen_Iverson_,0.495027,60
Allison_Janney_,0.75706,1114
Allyson_Felix_,0.655307,597
Alvaro_Noboa_,0.794901,1296
Alvaro_Silva_Calderon_,0.586167,273
Alvaro_Uribe_,0.722953,956
Amanda_Beard_,0.553439,167
Amanda_Bynes_,0.769547,1173
Amanda_Coetzer_,0.745981,1060
Amber_Tamblyn_,0.653396,584
Amelia_Vega_,0.934431,1606
Amelie_Mauresmo_,0.767314,1165
Amer_al-Saadi_,0.518334,100
Amram_Mitzna_,0.613562,381
Ana_Guevara_,0.671106,682
Ana_Palacio_,0.41941,6
Anastasia_Myskina_,0.604597,345
Anders_Ebbeson_,0.915916,1585
Anders_Fogh_Rasmussen_,0.616659,401
Andre_Agassi_,0.460877,24
Andrei_Mikhnevich_,0.566323,206
Andrew_Bunner_,0.582064,260
