Name,Scores,EMD Ranks
,,,
,,,
Aaron_Peirsol_,117.294,551
Aaron_Sorkin_,134.507,1070
Abdel_Nasser_Assidi_,158.809,1557
Abdoulaye_Wade_,177.823,1660
Abdullah_,139.146,1202
Abdullah_Gul_,106.04,301
Abdullah_al-Attiyah_,139.414,1209
Abdullatif_Sener_,131.048,961
Abel_Pacheco_,137.043,1142
Abid_Hamid_Mahmud_Al-Tikriti_,177.241,1658
Adam_Sandler_,133.5,1041
Adam_Scott_,160.238,1574
Adel_Al-Jubeir_,148.606,1412
Adolfo_Aguilar_Zinser_,135.537,1101
Adolfo_Rodriguez_Saa_,139.635,1218
Adrian_McPherson_,196.336,1679
Adrian_Nastase_,136.949,1140
Adrien_Brody_,124.426,734
Ahmad_Masood_,149.205,1420
Ahmed_Chalabi_,111.117,397
Ahmet_Necdet_Sezer_,129.494,912
Ai_Sugiyama_,135.282,1091
Aicha_El_Ouafi_,151.24,1455
Aitor_Gonzalez_,170.293,1641
Akbar_Hashemi_Rafsanjani_,103.63,248
Akhmed_Zakayev_,128.866,881
Al_Davis_,140.24,1233
Al_Gore_,121.432,654
Al_Pacino_,136.663,1134
Al_Sharpton_,144.207,1330
Alan_Ball_,123.368,702
Alan_Greenspan_,139.93,1225
Alan_Mulally_,128.892,883
Alastair_Campbell_,129.332,905
Albert_Costa_,168.751,1633
Alberto_Fujimori_,127.448,832
Alberto_Ruiz_Gallardon_,106.343,308
Albrecht_Mentz_,128.812,878
Aldo_Paredes_,148.943,1418
Alec_Baldwin_,136.308,1121
Alejandro_Atchugarry_,120.52,632
Alejandro_Avila_,160.757,1577
Alejandro_Toledo_,130.857,954
Aleksander_Kwasniewski_,138.501,1187
Alex_Barros_,109.331,364
Alex_Penelas_,106.865,318
Alex_Sink_,118.615,582
Alexander_Downer_,98.3953,169
Alexander_Losyukov_,112.963,442
Alexander_Rumyantsev_,112.089,415
Alexandra_Stevenson_,160.337,1575
Alexandra_Vodjanikova_,154.623,1507
Ali_Abbas_,109.494,369
Ali_Khamenei_,138.276,1180
Ali_Naimi_,112.35,424
Alice_Fisher_,141.156,1264
Alicia_Silverstone_,129.94,931
Alimzhan_Tokhtakhounov_,117.488,558
Alison_Lohman_,106.484,311
Allen_Iverson_,142.22,1287
Allison_Janney_,131.467,974
Allyson_Felix_,173.761,1649
Alvaro_Noboa_,125.624,771
Alvaro_Silva_Calderon_,106.683,315
Alvaro_Uribe_,115.885,522
Amanda_Beard_,116.531,536
Amanda_Bynes_,87.5393,64
Amanda_Coetzer_,140.549,1244
Amber_Tamblyn_,109.014,359
Amelia_Vega_,104.67,268
Amelie_Mauresmo_,145.105,1342
Amer_al-Saadi_,114.089,469
Amram_Mitzna_,126.985,814
Ana_Guevara_,177.766,1659
Ana_Palacio_,101.307,211
Anastasia_Myskina_,156.079,1524
Anders_Ebbeson_,162.862,1594
Anders_Fogh_Rasmussen_,166.949,1623
Andre_Agassi_,124.821,748
Andrei_Mikhnevich_,132.053,990
Andrew_Bunner_,121.125,647
Andrew_Cuomo_,98.6222,172
Andrew_Niccol_,128.982,887
Andrew_Weissmann_,160.898,1579
Andy_Hebb_,81.6746,33
