Name,Scores,Fused Ranks
,,,
,,,
Aaron_Peirsol_,2386,754
Aaron_Sorkin_,3814,1543
Abdel_Nasser_Assidi_,2616,928
Abdoulaye_Wade_,3392,1387
Abdullah_,2438,802
Abdullah_Gul_,2541,874
Abdullah_al-Attiyah_,3851,1553
Abdullatif_Sener_,2526,862
Abel_Pacheco_,3161,1293
Abid_Hamid_Mahmud_Al-Tikriti_,4638,1672
Adam_Sandler_,3099,1250
Adam_Scott_,3308,1350
Adel_Al-Jubeir_,3161,1294
Adolfo_Aguilar_Zinser_,2511,855
Adolfo_Rodriguez_Saa_,3358,1371
Adrian_McPherson_,4389,1656
Adrian_Nastase_,1424,170
Adrien_Brody_,1794,351
Ahmad_Masood_,3872,1560
Ahmed_Chalabi_,2728,1008
Ahmet_Necdet_Sezer_,3373,1378
Ai_Sugiyama_,3546,1464
Aicha_El_Ouafi_,4049,1608
Aitor_Gonzalez_,3113,1258
Akbar_Hashemi_Rafsanjani_,723,22
Akhmed_Zakayev_,1306,136
Al_Davis_,2979,1172
Al_Gore_,2641,951
Al_Pacino_,1664,290
Al_Sharpton_,2912,1128
Alan_Ball_,3614,1489
Alan_Greenspan_,3530,1459
Alan_Mulally_,1247,119
Alastair_Campbell_,3314,1356
Albert_Costa_,4023,1603
Alberto_Fujimori_,2022,494
Alberto_Ruiz_Gallardon_,1764,337
Albrecht_Mentz_,2305,693
Aldo_Paredes_,2989,1178
Alec_Baldwin_,2231,649
Alejandro_Atchugarry_,1587,246
Alejandro_Avila_,3566,1475
Alejandro_Toledo_,1418,168
Aleksander_Kwasniewski_,3195,1308
Alex_Barros_,2830,1086
Alex_Penelas_,1130,87
Alex_Sink_,2257,666
Alexander_Downer_,1112,83
Alexander_Losyukov_,2585,905
Alexander_Rumyantsev_,3154,1288
Alexandra_Stevenson_,2737,1016
Alexandra_Vodjanikova_,2713,996
Ali_Abbas_,2516,860
Ali_Khamenei_,3756,1527
Ali_Naimi_,2029,501
Alice_Fisher_,3138,1278
Alicia_Silverstone_,2740,1023
Alimzhan_Tokhtakhounov_,2114,560
Alison_Lohman_,2610,926
Allen_Iverson_,2902,1125
Allison_Janney_,3529,1457
Allyson_Felix_,3448,1414
Alvaro_Noboa_,1254,120
Alvaro_Silva_Calderon_,2658,968
Alvaro_Uribe_,2686,982
Amanda_Beard_,3571,1476
Amanda_Bynes_,527,11
Amanda_Coetzer_,3294,1340
Amber_Tamblyn_,2424,787
Amelia_Vega_,2001,479
Amelie_Mauresmo_,4268,1639
Amer_al-Saadi_,2629,939
Amram_Mitzna_,1591,248
Ana_Guevara_,3000,1187
Ana_Palacio_,2913,1129
Anastasia_Myskina_,4364,1653
Anders_Ebbeson_,4368,1654
Anders_Fogh_Rasmussen_,3470,1426
Andre_Agassi_,3325,1363
Andrei_Mikhnevich_,1909,420
Andrew_Bunner_,2317,708
Andrew_Cuomo_,2087,549
Andrew_Niccol_,2426,788
Andrew_Weissmann_,2107,557
Andy_Hebb_,1472,192
Andy_Roddick_,2292,684
Angela_Bassett_,2898,1122
Angela_Lansbury_,1286,130
Angela_Merkel_,3060,1225
Angelina_Jolie_,1355,148
Angelo_Reyes_,4063,1610
