Name,Scores,Corelation Ranks
,,,
,,,
Aaron_Peirsol_,0.653432,502
Aaron_Sorkin_,0.620866,382
Abdel_Nasser_Assidi_,0.850583,1268
Abdoulaye_Wade_,0.809317,1135
Abdullah_,0.474218,47
Abdullah_Gul_,0.53568,145
Abdullah_al-Attiyah_,0.910328,1446
Abdullatif_Sener_,0.664706,548
Abel_Pacheco_,0.734018,824
Abid_Hamid_Mahmud_Al-Tikriti_,0.715777,741
Adam_Sandler_,0.92606,1484
Adam_Scott_,0.969169,1556
Adel_Al-Jubeir_,0.751225,900
Adolfo_Aguilar_Zinser_,0.54329,161
Adolfo_Rodriguez_Saa_,0.886923,1371
Adrian_McPherson_,0.813142,1149
Adrian_Nastase_,0.622174,388
Adrien_Brody_,0.852435,1276
Ahmad_Masood_,0.522547,119
Ahmed_Chalabi_,0.61356,357
Ahmet_Necdet_Sezer_,0.791792,1066
Ai_Sugiyama_,0.79747,1093
Aicha_El_Ouafi_,0.858927,1299
Aitor_Gonzalez_,0.779576,1008
Akbar_Hashemi_Rafsanjani_,0.799171,1100
Akhmed_Zakayev_,0.604447,329
Al_Davis_,0.6575,525
Al_Gore_,0.854353,1288
Al_Pacino_,0.72034,759
Al_Sharpton_,0.600612,316
Alan_Ball_,0.776969,999
Alan_Greenspan_,0.78483,1036
Alan_Mulally_,0.546702,172
Alastair_Campbell_,0.717969,748
Albert_Costa_,0.872145,1331
Alberto_Fujimori_,0.835313,1211
Alberto_Ruiz_Gallardon_,0.7625,945
Albrecht_Mentz_,0.961484,1546
Aldo_Paredes_,0.707386,709
Alec_Baldwin_,0.815657,1153
Alejandro_Atchugarry_,0.859851,1300
Alejandro_Avila_,0.678473,598
Alejandro_Toledo_,0.731242,813
Aleksander_Kwasniewski_,0.923233,1479
Alex_Barros_,0.552436,186
Alex_Penelas_,0.75979,935
Alex_Sink_,0.853856,1282
Alexander_Downer_,0.893483,1397
Alexander_Losyukov_,0.438194,20
Alexander_Rumyantsev_,0.861961,1307
Alexandra_Stevenson_,0.674914,585
Alexandra_Vodjanikova_,0.708975,714
Ali_Abbas_,0.939047,1510
Ali_Khamenei_,0.634207,432
Ali_Naimi_,0.786465,1046
Alice_Fisher_,0.586311,270
Alicia_Silverstone_,0.712109,728
Alimzhan_Tokhtakhounov_,0.951812,1528
Alison_Lohman_,1.11304,1670
Allen_Iverson_,0.63651,439
Allison_Janney_,0.864395,1311
Allyson_Felix_,0.454566,32
Alvaro_Noboa_,0.835517,1212
Alvaro_Silva_Calderon_,0.801455,1108
Alvaro_Uribe_,0.801778,1109
Amanda_Beard_,0.633879,430
Amanda_Bynes_,0.826658,1191
Amanda_Coetzer_,0.582455,263
Amber_Tamblyn_,0.93448,1497
Amelia_Vega_,0.836032,1213
Amelie_Mauresmo_,0.850746,1270
Amer_al-Saadi_,0.76756,961
Amram_Mitzna_,0.578341,249
Ana_Guevara_,0.751825,905
Ana_Palacio_,0.490506,67
Anastasia_Myskina_,0.689052,632
Anders_Ebbeson_,0.734238,826
Anders_Fogh_Rasmussen_,0.590952,287
Andre_Agassi_,0.567035,216
Andrei_Mikhnevich_,0.455128,33
Andrew_Bunner_,0.57296,232
