Name,Highest Rank,Fused Ranks
,,
,,
Aaron_Peirsol_,503,1056
Aaron_Sorkin_,383,861
Abdel_Nasser_Assidi_,1269,1653
Abdoulaye_Wade_,636,1235
Abdullah_,47,139
Abdullah_Gul_,145,392
Abdullah_al-Attiyah_,1365,1668
Abdullatif_Sener_,486,1029
Abel_Pacheco_,392,878
Abid_Hamid_Mahmud_Al-Tikriti_,539,1101
Adam_Sandler_,329,768
Adam_Scott_,1205,1632
Adel_Al-Jubeir_,438,951
Adolfo_Aguilar_Zinser_,99,279
Adolfo_Rodriguez_Saa_,905,1504
Adrian_McPherson_,333,776
Adrian_Nastase_,389,871
Adrien_Brody_,382,858
Ahmad_Masood_,119,328
Ahmed_Chalabi_,358,820
Ahmet_Necdet_Sezer_,713,1317
Ai_Sugiyama_,315,734
Aicha_El_Ouafi_,995,1554
Aitor_Gonzalez_,1009,1560
Akbar_Hashemi_Rafsanjani_,235,573
Akhmed_Zakayev_,329,769
Al_Davis_,526,1085
Al_Gore_,582,1161
Al_Pacino_,760,1375
Al_Sharpton_,316,736
Alan_Ball_,705,1307
Alan_Greenspan_,1037,1573
Alan_Mulally_,172,448
Alastair_Campbell_,749,1361
Albert_Costa_,465,994
Alberto_Fujimori_,841,1454
Alberto_Ruiz_Gallardon_,289,686
Albrecht_Mentz_,889,1495
Aldo_Paredes_,710,1312
Alec_Baldwin_,510,1065
Alejandro_Atchugarry_,637,1238
Alejandro_Avila_,503,1057
Alejandro_Toledo_,814,1427
Aleksander_Kwasniewski_,1201,1631
Alex_Barros_,186,477
Alex_Penelas_,302,708
Alex_Sink_,708,1310
Alexander_Downer_,276,661
Alexander_Losyukov_,20,58
Alexander_Rumyantsev_,196,498
Alexandra_Stevenson_,586,1162
Alexandra_Vodjanikova_,715,1319
Ali_Abbas_,359,823
Ali_Khamenei_,433,944
Ali_Naimi_,232,567
Alice_Fisher_,270,647
Alicia_Silverstone_,1,1
Alimzhan_Tokhtakhounov_,491,1038
Alison_Lohman_,472,1005
Allen_Iverson_,205,517
Allison_Janney_,795,1406
Allyson_Felix_,32,94
Alvaro_Noboa_,52,153
Alvaro_Silva_Calderon_,813,1425
Alvaro_Uribe_,208,521
Amanda_Beard_,271,649
Amanda_Bynes_,56,165
Amanda_Coetzer_,263,632
Amber_Tamblyn_,980,1546
Amelia_Vega_,248,598
Amelie_Mauresmo_,1240,1645
Amer_al-Saadi_,465,995
Amram_Mitzna_,249,600
Ana_Guevara_,906,1505
Ana_Palacio_,67,193
Anastasia_Myskina_,633,1232
Anders_Ebbeson_,580,1159
Anders_Fogh_Rasmussen_,287,681
Andre_Agassi_,216,535
Andrei_Mikhnevich_,33,97
Andrew_Bunner_,232,568
Andrew_Cuomo_,160,425
Andrew_Niccol_,668,1268
Andrew_Weissmann_,509,1063
Andy_Hebb_,73,210
Andy_Roddick_,313,730
Angela_Bassett_,712,1316
Angela_Lansbury_,488,1034
Angela_Merkel_,45,133
Angelina_Jolie_,261,626
Angelo_Reyes_,1124,1607
Anibal_Ibarra_,83,235
Ann_Veneman_,300,706
Anna_Kournikova_,499,1052
Anna_Nicole_Smith_,476,1014
Anne_Krueger_,835,1450
