Name,Scores,Sift Ranks
,,,
,,,
Aaron_Peirsol_,109969,600
Aaron_Sorkin_,133422,1219
Abdel_Nasser_Assidi_,150661,1518
Abdoulaye_Wade_,111442,636
Abdullah_,104076,448
Abdullah_Gul_,103614,436
Abdullah_al-Attiyah_,140507,1365
Abdullatif_Sener_,105235,486
Abel_Pacheco_,101382,392
Abid_Hamid_Mahmud_Al-Tikriti_,125641,1011
Adam_Sandler_,97843,329
Adam_Scott_,132817,1205
Adel_Al-Jubeir_,103688,438
Adolfo_Aguilar_Zinser_,76293,99
Adolfo_Rodriguez_Saa_,122312,905
Adrian_McPherson_,98045,333
Adrian_Nastase_,117769,785
Adrien_Brody_,133471,1222
Ahmad_Masood_,96199,302
Ahmed_Chalabi_,133087,1212
Ahmet_Necdet_Sezer_,114495,713
Ai_Sugiyama_,97089,315
Aicha_El_Ouafi_,124934,995
Aitor_Gonzalez_,134544,1246
Akbar_Hashemi_Rafsanjani_,136543,1286
Akhmed_Zakayev_,100866,384
Al_Davis_,116698,763
Al_Gore_,108810,582
Al_Pacino_,171076,1649
Al_Sharpton_,128994,1115
Alan_Ball_,145945,1454
Alan_Greenspan_,150444,1516
Alan_Mulally_,87522.1,189
Alastair_Campbell_,117739,784
Albert_Costa_,104596,465
Alberto_Fujimori_,144752,1435
Alberto_Ruiz_Gallardon_,124296,971
Albrecht_Mentz_,148117,1488
Aldo_Paredes_,134524,1245
Alec_Baldwin_,106437,510
Alejandro_Atchugarry_,147991,1487
Alejandro_Avila_,106013,503
Alejandro_Toledo_,146926,1461
Aleksander_Kwasniewski_,157986,1601
Alex_Barros_,160718,1616
Alex_Penelas_,192505,1676
Alex_Sink_,114266,708
Alexander_Downer_,119160,821
Alexander_Losyukov_,72782.3,77
Alexander_Rumyantsev_,88269,196
Alexandra_Stevenson_,120829,861
Alexandra_Vodjanikova_,140027,1356
Ali_Abbas_,126503,1033
Ali_Khamenei_,145352,1445
Ali_Naimi_,91524,232
Alice_Fisher_,103102,427
Alicia_Silverstone_,0,1
Alimzhan_Tokhtakhounov_,105498,491
Alison_Lohman_,145820,1449
Allen_Iverson_,89096.5,205
Allison_Janney_,118008,795
Allyson_Felix_,119208,824
Alvaro_Noboa_,52593,52
Alvaro_Silva_Calderon_,128130,1087
Alvaro_Uribe_,89359,208
Amanda_Beard_,93802,271
Amanda_Bynes_,129101,1121
Amanda_Coetzer_,105435,488
Amber_Tamblyn_,157164,1598
Amelia_Vega_,120323,851
Amelie_Mauresmo_,134281,1240
Amer_al-Saadi_,112830,668
Amram_Mitzna_,115430,737
Ana_Guevara_,152744,1555
Ana_Palacio_,97639.3,326
Anastasia_Myskina_,156762,1595
Anders_Ebbeson_,111090,626
Anders_Fogh_Rasmussen_,141449,1379
Andre_Agassi_,91226.5,228
Andrei_Mikhnevich_,84996.8,164
Andrew_Bunner_,93708.5,268
Andrew_Cuomo_,151312,1524
Andrew_Niccol_,113476,681
Andrew_Weissmann_,110314,608
Andy_Hebb_,70242,73
Andy_Roddick_,107140,529
Angela_Bassett_,129330,1130
Angela_Lansbury_,125153,1002
Angela_Merkel_,134351,1242
Angelina_Jolie_,93355.7,261
