Name,Scores,EMD Ranks
,,
,,
Aaron_Peirsol_,117.275,564
Aaron_Sorkin_,134.496,1091
Abdel_Nasser_Assidi_,173.088,1651
Abdoulaye_Wade_,195.729,1679
Abdullah_,139.139,1229
Abdullah_Gul_,128.514,905
Abdullah_al-Attiyah_,145.208,1376
Abdullatif_Sener_,124.878,774
Abel_Pacheco_,135.924,1138
Abid_Hamid_Mahmud_Al-Tikriti_,177.238,1662
Adam_Sandler_,133.493,1072
Adam_Scott_,160.235,1589
Adel_Al-Jubeir_,148.604,1429
Adolfo_Aguilar_Zinser_,135.514,1123
Adolfo_Rodriguez_Saa_,139.608,1238
Adrian_McPherson_,196.33,1680
Adrian_Nastase_,136.946,1166
Adrien_Brody_,110.818,398
Ahmad_Masood_,149.199,1435
Ahmed_Chalabi_,111.09,405
Ahmet_Necdet_Sezer_,129.481,943
Ai_Sugiyama_,135.276,1117
Aicha_El_Ouafi_,130.812,988
Aitor_Gonzalez_,170.284,1641
Akbar_Hashemi_Rafsanjani_,118.588,593
Akhmed_Zakayev_,128.846,917
Al_Davis_,149.332,1438
Al_Gore_,121.406,671
Al_Pacino_,136.661,1161
Al_Sharpton_,144.189,1361
Alan_Ball_,123.335,729
Alan_Greenspan_,139.923,1243
Alan_Mulally_,128.868,918
Alastair_Campbell_,129.299,934
Albert_Costa_,168.737,1635
Alberto_Fujimori_,136.561,1158
Alberto_Ruiz_Gallardon_,106.291,316
Albrecht_Mentz_,117.686,576
Aldo_Paredes_,113.547,473
Alec_Baldwin_,136.269,1150
Alejandro_Atchugarry_,120.337,640
Alejandro_Avila_,160.748,1593
Alejandro_Toledo_,130.816,989
Aleksander_Kwasniewski_,116.646,550
Alex_Barros_,109.279,371
Alex_Penelas_,106.844,324
Alex_Sink_,138.288,1204
Alexander_Downer_,105.968,308
Alexander_Losyukov_,112.94,456
Alexander_Rumyantsev_,105.969,309
Alexandra_Stevenson_,160.321,1590
Alexandra_Vodjanikova_,154.615,1520
Ali_Abbas_,109.477,377
Ali_Khamenei_,138.248,1202
Ali_Naimi_,112.321,434
Alice_Fisher_,141.138,1289
Alicia_Silverstone_,129.921,964
Alimzhan_Tokhtakhounov_,129.606,949
Alison_Lohman_,114.428,496
Allen_Iverson_,151.965,1479
Allison_Janney_,129.505,945
Allyson_Felix_,139.29,1233
Alvaro_Noboa_,154.814,1523
Alvaro_Silva_Calderon_,126.801,837
Alvaro_Uribe_,115.843,532
Amanda_Beard_,116.514,547
Amanda_Bynes_,87.5046,68
Amanda_Coetzer_,140.537,1262
Amber_Tamblyn_,109.006,365
Amelia_Vega_,104.658,278
Amelie_Mauresmo_,145.081,1372
Amer_al-Saadi_,98.9421,195
Amram_Mitzna_,126.968,843
Ana_Guevara_,177.763,1663
Ana_Palacio_,63.4127,5
Anastasia_Myskina_,144.258,1362
Anders_Ebbeson_,162.856,1600
Anders_Fogh_Rasmussen_,166.94,1626
Andre_Agassi_,124.803,772
Andrei_Mikhnevich_,132.024,1027
Andrew_Bunner_,121.09,665
Andrew_Cuomo_,98.6006,192
Andrew_Niccol_,100.529,219
Andrew_Weissmann_,160.888,1594
Andy_Hebb_,81.6478,41
