Name,Scores,Sift Ranks
,,,
,,,
Aaron_Peirsol_,81221.7,100
Aaron_Sorkin_,95900.5,307
Abdel_Nasser_Assidi_,162192,1647
Abdoulaye_Wade_,81293,103
Abdullah_,149985,1578
Abdullah_Gul_,141207,1472
Abdullah_al-Attiyah_,125587,1123
Abdullatif_Sener_,143688,1508
Abel_Pacheco_,156604,1621
Abid_Hamid_Mahmud_Al-Tikriti_,127745,1184
Adam_Sandler_,120644,978
Adam_Scott_,88136,181
Adel_Al-Jubeir_,81250,101
Adolfo_Aguilar_Zinser_,98220.8,352
Adolfo_Rodriguez_Saa_,80172,96
Adrian_McPherson_,123315,1053
Adrian_Nastase_,124359,1085
Adrien_Brody_,129220,1226
Ahmad_Masood_,101626,445
Ahmed_Chalabi_,155412,1614
Ahmet_Necdet_Sezer_,112114,725
Ai_Sugiyama_,134381,1341
Aicha_El_Ouafi_,71037,52
Aitor_Gonzalez_,144574,1522
Akbar_Hashemi_Rafsanjani_,109757,656
Akhmed_Zakayev_,72308.7,54
Al_Davis_,138839,1435
Al_Gore_,110488,680
Al_Pacino_,114148,796
Al_Sharpton_,146686,1549
Alan_Ball_,112540,743
Alan_Greenspan_,134879,1360
Alan_Mulally_,100149,403
Alastair_Campbell_,94660.5,282
Albert_Costa_,158473,1631
Alberto_Fujimori_,105051,532
Alberto_Ruiz_Gallardon_,128278,1196
Albrecht_Mentz_,100869,422
Aldo_Paredes_,132179,1286
Alec_Baldwin_,142493,1491
Alejandro_Atchugarry_,140791,1466
Alejandro_Avila_,117397,884
Alejandro_Toledo_,108520,626
Aleksander_Kwasniewski_,113187,765
Alex_Barros_,90383,215
Alex_Penelas_,110216,669
Alex_Sink_,159148,1634
Alexander_Downer_,119946,958
Alexander_Losyukov_,123396,1056
Alexander_Rumyantsev_,117963,900
Alexandra_Stevenson_,140525,1462
Alexandra_Vodjanikova_,125119,1111
Ali_Abbas_,157459,1624
Ali_Khamenei_,101052,428
Ali_Naimi_,70280.1,48
Alice_Fisher_,139676,1450
Alicia_Silverstone_,101224,435
Alimzhan_Tokhtakhounov_,106989,578
Alison_Lohman_,122930,1045
Allen_Iverson_,122830,1042
Allison_Janney_,119692,949
Allyson_Felix_,126012,1140
Alvaro_Noboa_,129957,1241
Alvaro_Silva_Calderon_,85760,146
Alvaro_Uribe_,124671,1096
Amanda_Beard_,66465.2,40
Amanda_Bynes_,62911,32
Amanda_Coetzer_,136445,1388
Amber_Tamblyn_,106351,562
Amelia_Vega_,100265,407
Amelie_Mauresmo_,129783,1239
Amer_al-Saadi_,50227.5,23
Amram_Mitzna_,75859,73
Ana_Guevara_,134779,1357
Ana_Palacio_,128467,1199
Anastasia_Myskina_,102350,464
Anders_Ebbeson_,122317,1023
Anders_Fogh_Rasmussen_,161144,1644
Andre_Agassi_,98709,364
Andrei_Mikhnevich_,149009,1569
Andrew_Bunner_,86321,152
Andrew_Cuomo_,96647.2,317
Andrew_Niccol_,137095,1404
Andrew_Weissmann_,115208,825
Andy_Hebb_,90322,214
Andy_Roddick_,127375,1171
Angela_Bassett_,129741,1238
Angela_Lansbury_,98523,358
Angela_Merkel_,137851,1417
Angelina_Jolie_,84322.5,130
