Name,Scores,EMD Ranks
,,,
,,,
Aaron_Peirsol_,117.266,552
Aaron_Sorkin_,134.491,1072
Abdel_Nasser_Assidi_,173.084,1642
Abdoulaye_Wade_,177.803,1663
Abdullah_,139.135,1203
Abdullah_Gul_,128.497,895
Abdullah_al-Attiyah_,139.387,1210
Abdullatif_Sener_,131.011,974
Abel_Pacheco_,135.92,1120
Abid_Hamid_Mahmud_Al-Tikriti_,177.237,1660
Adam_Sandler_,115.313,503
Adam_Scott_,160.234,1571
Adel_Al-Jubeir_,148.603,1414
Adolfo_Aguilar_Zinser_,135.501,1101
Adolfo_Rodriguez_Saa_,90.611,76
Adrian_McPherson_,196.327,1679
Adrian_Nastase_,136.944,1141
Adrien_Brody_,110.8,393
Ahmad_Masood_,149.195,1420
Ahmed_Chalabi_,111.076,402
Ahmet_Necdet_Sezer_,129.475,928
Ai_Sugiyama_,130.539,959
Aicha_El_Ouafi_,151.213,1454
Aitor_Gonzalez_,174.409,1649
Akbar_Hashemi_Rafsanjani_,103.607,241
Akhmed_Zakayev_,128.836,903
Al_Davis_,149.322,1425
Al_Gore_,139.245,1206
Al_Pacino_,136.659,1136
Al_Sharpton_,144.179,1338
Alan_Ball_,123.319,713
Alan_Greenspan_,139.919,1221
Alan_Mulally_,110.236,380
Alastair_Campbell_,129.281,920
Albert_Costa_,168.729,1624
Alberto_Fujimori_,127.412,853
Alberto_Ruiz_Gallardon_,129.841,940
Albrecht_Mentz_,128.806,901
Aldo_Paredes_,113.539,455
Alec_Baldwin_,136.249,1128
Alejandro_Atchugarry_,120.324,640
Alejandro_Avila_,160.743,1572
Alejandro_Toledo_,130.795,968
Aleksander_Kwasniewski_,138.484,1190
Alex_Barros_,146.767,1375
Alex_Penelas_,106.833,313
Alex_Sink_,118.57,588
Alexander_Downer_,105.942,291
Alexander_Losyukov_,118.351,585
Alexander_Rumyantsev_,105.962,292
Alexandra_Stevenson_,103.011,230
Alexandra_Vodjanikova_,154.611,1505
Ali_Abbas_,91.1874,81
Ali_Khamenei_,138.232,1180
Ali_Naimi_,112.306,427
Alice_Fisher_,141.129,1263
Alicia_Silverstone_,129.912,943
Alimzhan_Tokhtakhounov_,117.414,558
Alison_Lohman_,106.454,304
Allen_Iverson_,151.962,1463
Allison_Janney_,129.494,929
Allyson_Felix_,173.743,1645
Alvaro_Noboa_,111.056,400
Alvaro_Silva_Calderon_,126.771,825
Alvaro_Uribe_,115.82,512
Amanda_Beard_,116.505,531
Amanda_Bynes_,117.277,553
Amanda_Coetzer_,140.53,1240
Amber_Tamblyn_,131.552,986
Amelia_Vega_,104.653,257
Amelie_Mauresmo_,145.069,1345
Amer_al-Saadi_,114.054,468
Amram_Mitzna_,126.96,831
Ana_Guevara_,177.761,1662
Ana_Palacio_,141.919,1281
Anastasia_Myskina_,156.057,1522
Anders_Ebbeson_,162.853,1589
Anders_Fogh_Rasmussen_,166.936,1619
Andre_Agassi_,124.794,764
Andrei_Mikhnevich_,144.285,1339
Andrew_Bunner_,111.78,416
Andrew_Cuomo_,98.5903,163
Andrew_Niccol_,128.941,907
Andrew_Weissmann_,147.811,1395
Andy_Hebb_,81.6329,31
