Name,Highest Rank,Fused Ranks
,,
,,
Aaron_Peirsol_,541,1109
Aaron_Sorkin_,951,1525
Abdel_Nasser_Assidi_,736,1348
Abdoulaye_Wade_,600,1192
Abdullah_,3,7
Abdullah_Gul_,279,677
Abdullah_al-Attiyah_,1024,1562
Abdullatif_Sener_,585,1168
Abel_Pacheco_,1038,1571
Abid_Hamid_Mahmud_Al-Tikriti_,1228,1635
Adam_Sandler_,1048,1576
Adam_Scott_,518,1069
Adel_Al-Jubeir_,771,1385
Adolfo_Aguilar_Zinser_,304,721
Adolfo_Rodriguez_Saa_,339,786
Adrian_McPherson_,609,1209
Adrian_Nastase_,232,583
Adrien_Brody_,370,843
Ahmad_Masood_,12,34
Ahmed_Chalabi_,13,37
Ahmet_Necdet_Sezer_,438,950
Ai_Sugiyama_,1093,1597
Aicha_El_Ouafi_,1269,1645
Aitor_Gonzalez_,810,1418
Akbar_Hashemi_Rafsanjani_,556,1129
Akhmed_Zakayev_,250,621
Al_Davis_,786,1395
Al_Gore_,648,1262
Al_Pacino_,662,1274
Al_Sharpton_,200,515
Alan_Ball_,715,1329
Alan_Greenspan_,183,484
Alan_Mulally_,505,1057
Alastair_Campbell_,206,528
Albert_Costa_,679,1290
Alberto_Fujimori_,839,1440
Alberto_Ruiz_Gallardon_,1,1
Albrecht_Mentz_,835,1437
Aldo_Paredes_,184,487
Alec_Baldwin_,1135,1611
Alejandro_Atchugarry_,341,791
Alejandro_Avila_,269,659
Alejandro_Toledo_,415,917
Aleksander_Kwasniewski_,1181,1623
Alex_Barros_,343,795
Alex_Penelas_,110,311
Alex_Sink_,833,1434
Alexander_Downer_,2,4
Alexander_Losyukov_,138,384
Alexander_Rumyantsev_,401,898
Alexandra_Stevenson_,224,567
Alexandra_Vodjanikova_,424,929
Ali_Abbas_,3,8
Ali_Khamenei_,436,947
Ali_Naimi_,409,907
Alice_Fisher_,369,841
Alicia_Silverstone_,485,1024
Alimzhan_Tokhtakhounov_,4,10
Alison_Lohman_,462,988
Allen_Iverson_,5,13
Allison_Janney_,466,995
Allyson_Felix_,340,789
Alvaro_Noboa_,429,933
Alvaro_Silva_Calderon_,601,1195
Alvaro_Uribe_,414,915
Amanda_Beard_,6,16
Amanda_Bynes_,56,165
Amanda_Coetzer_,157,431
Amber_Tamblyn_,7,19
Amelia_Vega_,254,630
Amelie_Mauresmo_,1333,1660
Amer_al-Saadi_,455,977
Amram_Mitzna_,332,773
Ana_Guevara_,584,1166
Ana_Palacio_,202,519
Anastasia_Myskina_,471,1002
Anders_Ebbeson_,133,372
Anders_Fogh_Rasmussen_,27,79
Andre_Agassi_,753,1367
Andrei_Mikhnevich_,280,680
Andrew_Bunner_,397,893
Andrew_Cuomo_,595,1184
Andrew_Niccol_,8,22
Andrew_Weissmann_,487,1025
Andy_Hebb_,355,817
Andy_Roddick_,571,1146
Angela_Bassett_,538,1105
Angela_Lansbury_,484,1021
Angela_Merkel_,131,367
Angelina_Jolie_,435,945
Angelo_Reyes_,885,1483
Anibal_Ibarra_,327,762
Ann_Veneman_,204,523
Anna_Kournikova_,218,555
Anna_Nicole_Smith_,335,779
Anne_Krueger_,23,67
