Name,Highest Rank,Fused Ranks
,,
,,
Aaron_Peirsol_,553,1139
Aaron_Sorkin_,810,1409
Abdel_Nasser_Assidi_,471,1027
Abdoulaye_Wade_,695,1306
Abdullah_,1219,1631
Abdullah_Gul_,296,713
Abdullah_al-Attiyah_,1226,1635
Abdullatif_Sener_,984,1539
Abel_Pacheco_,144,387
Abid_Hamid_Mahmud_Al-Tikriti_,1352,1665
Adam_Sandler_,220,550
Adam_Scott_,287,694
Adel_Al-Jubeir_,81,230
Adolfo_Aguilar_Zinser_,811,1412
Adolfo_Rodriguez_Saa_,1148,1609
Adrian_McPherson_,659,1262
Adrian_Nastase_,878,1469
Adrien_Brody_,389,884
Ahmad_Masood_,1422,1673
Ahmed_Chalabi_,395,892
Ahmet_Necdet_Sezer_,56,160
Ai_Sugiyama_,968,1525
Aicha_El_Ouafi_,212,533
Aitor_Gonzalez_,1449,1674
Akbar_Hashemi_Rafsanjani_,102,287
Akhmed_Zakayev_,443,980
Al_Davis_,897,1483
Al_Gore_,378,863
Al_Pacino_,140,377
Al_Sharpton_,1042,1572
Alan_Ball_,717,1328
Alan_Greenspan_,1011,1554
Alan_Mulally_,374,856
Alastair_Campbell_,382,872
Albert_Costa_,386,879
Alberto_Fujimori_,178,462
Alberto_Ruiz_Gallardon_,238,591
Albrecht_Mentz_,353,818
Aldo_Paredes_,300,721
Alec_Baldwin_,63,180
Alejandro_Atchugarry_,639,1241
Alejandro_Avila_,680,1288
Alejandro_Toledo_,463,1014
Aleksander_Kwasniewski_,257,630
Alex_Barros_,361,834
Alex_Penelas_,130,354
Alex_Sink_,586,1177
Alexander_Downer_,161,430
Alexander_Losyukov_,120,331
Alexander_Rumyantsev_,148,398
Alexandra_Stevenson_,749,1362
Alexandra_Vodjanikova_,1217,1630
Ali_Abbas_,326,768
Ali_Khamenei_,1175,1614
Ali_Naimi_,312,745
Alice_Fisher_,556,1143
Alicia_Silverstone_,408,914
Alimzhan_Tokhtakhounov_,71,203
Alison_Lohman_,475,1033
Allen_Iverson_,121,333
Allison_Janney_,436,966
Allyson_Felix_,1036,1569
Alvaro_Noboa_,394,890
Alvaro_Silva_Calderon_,311,743
Alvaro_Uribe_,66,189
Amanda_Beard_,255,626
Amanda_Bynes_,61,174
Amanda_Coetzer_,1250,1640
Amber_Tamblyn_,31,89
Amelia_Vega_,266,650
Amelie_Mauresmo_,781,1387
Amer_al-Saadi_,167,441
Amram_Mitzna_,1332,1660
Ana_Guevara_,232,575
Ana_Palacio_,211,531
Anastasia_Myskina_,666,1269
Anders_Ebbeson_,980,1538
Anders_Fogh_Rasmussen_,354,820
Andre_Agassi_,348,808
Andrei_Mikhnevich_,231,573
Andrew_Bunner_,657,1259
Andrew_Cuomo_,164,435
Andrew_Niccol_,17,49
Andrew_Weissmann_,532,1119
Andy_Hebb_,378,864
Andy_Roddick_,985,1540
Angela_Bassett_,1019,1557
Angela_Lansbury_,274,668
Angela_Merkel_,50,143
Angelina_Jolie_,450,993
Angelo_Reyes_,133,361
Anibal_Ibarra_,593,1185
Ann_Veneman_,214,537
Anna_Kournikova_,475,1034
Anna_Nicole_Smith_,477,1037
Anne_Krueger_,846,1448
