Name,Scores,Corelation Ranks
,,,
,,,
Aaron_Peirsol_,0.758132,586
Aaron_Sorkin_,0.875564,977
Abdel_Nasser_Assidi_,0.861875,935
Abdoulaye_Wade_,1.0345,1386
Abdullah_,1.01289,1337
Abdullah_Gul_,1.18558,1612
Abdullah_al-Attiyah_,0.641384,269
Abdullatif_Sener_,0.73769,529
Abel_Pacheco_,0.717642,460
Abid_Hamid_Mahmud_Al-Tikriti_,0.849751,881
Adam_Sandler_,0.779535,656
Adam_Scott_,0.872703,969
Adel_Al-Jubeir_,0.88745,1007
Adolfo_Aguilar_Zinser_,0.832157,812
Adolfo_Rodriguez_Saa_,1.01814,1346
Adrian_McPherson_,0.768637,617
Adrian_Nastase_,0.960921,1214
Adrien_Brody_,0.981007,1260
Ahmad_Masood_,1.10461,1522
Ahmed_Chalabi_,1.19325,1621
Ahmet_Necdet_Sezer_,0.639894,262
Ai_Sugiyama_,0.795644,700
Aicha_El_Ouafi_,0.436372,9
Aitor_Gonzalez_,0.971965,1242
Akbar_Hashemi_Rafsanjani_,0.836812,828
Akhmed_Zakayev_,0.810866,752
Al_Davis_,0.654428,298
Al_Gore_,0.520512,56
Al_Pacino_,0.640149,263
Al_Sharpton_,0.913257,1095
Alan_Ball_,0.604232,172
Alan_Greenspan_,1.28739,1668
Alan_Mulally_,0.766695,610
Alastair_Campbell_,0.7628,598
Albert_Costa_,0.557651,87
Alberto_Fujimori_,0.689786,388
Alberto_Ruiz_Gallardon_,0.703888,428
Albrecht_Mentz_,0.857921,917
Aldo_Paredes_,0.934122,1150
Alec_Baldwin_,0.63424,243
Alejandro_Atchugarry_,1.07723,1478
Alejandro_Avila_,0.619791,212
Alejandro_Toledo_,0.800061,716
Aleksander_Kwasniewski_,0.623237,221
Alex_Barros_,0.994279,1294
Alex_Penelas_,0.590089,146
Alex_Sink_,0.850422,886
Alexander_Downer_,1.03815,1396
Alexander_Losyukov_,0.901627,1059
Alexander_Rumyantsev_,0.6515,294
Alexandra_Stevenson_,0.492839,32
Alexandra_Vodjanikova_,1.08041,1484
Ali_Abbas_,0.575724,120
Ali_Khamenei_,0.761325,593
Ali_Naimi_,0.498472,36
Alice_Fisher_,1.00954,1328
Alicia_Silverstone_,0.700587,420
Alimzhan_Tokhtakhounov_,0.588862,140
Alison_Lohman_,0.854096,902
Allen_Iverson_,0.73379,509
Allison_Janney_,0.643826,277
Allyson_Felix_,1.27938,1665
Alvaro_Noboa_,1.11073,1534
Alvaro_Silva_Calderon_,0.96575,1227
Alvaro_Uribe_,0.641057,266
Amanda_Beard_,0.830407,809
Amanda_Bynes_,0.854769,904
Amanda_Coetzer_,1.09589,1504
Amber_Tamblyn_,0.596192,158
Amelia_Vega_,0.89224,1023
Amelie_Mauresmo_,0.614503,196
Amer_al-Saadi_,0.65705,300
Amram_Mitzna_,0.64546,279
Ana_Guevara_,0.674561,352
Ana_Palacio_,0.606695,179
Anastasia_Myskina_,0.882485,995
Anders_Ebbeson_,1.21584,1638
Anders_Fogh_Rasmussen_,1.18829,1618
Andre_Agassi_,0.75266,568
Andrei_Mikhnevich_,0.918083,1113
Andrew_Bunner_,0.870272,959
