Name,Scores,Corelation Ranks
,,,
,,,
Aaron_Peirsol_,0.61884,568
Aaron_Sorkin_,0.672325,853
Abdel_Nasser_Assidi_,0.72165,1104
Abdoulaye_Wade_,0.930552,1624
Abdullah_,0.515918,162
Abdullah_Gul_,0.778926,1333
Abdullah_al-Attiyah_,0.993575,1658
Abdullatif_Sener_,0.851994,1530
Abel_Pacheco_,0.83962,1504
Abid_Hamid_Mahmud_Al-Tikriti_,0.797547,1402
Adam_Sandler_,0.939741,1635
Adam_Scott_,0.844857,1513
Adel_Al-Jubeir_,0.632354,643
Adolfo_Aguilar_Zinser_,0.759369,1253
Adolfo_Rodriguez_Saa_,0.694294,980
Adrian_McPherson_,0.866976,1561
Adrian_Nastase_,0.462339,62
Adrien_Brody_,0.524444,192
Ahmad_Masood_,0.702603,1017
Ahmed_Chalabi_,0.734925,1155
Ahmet_Necdet_Sezer_,0.484718,99
Ai_Sugiyama_,0.696748,992
Aicha_El_Ouafi_,0.78453,1354
Aitor_Gonzalez_,0.890526,1587
Akbar_Hashemi_Rafsanjani_,0.666909,828
Akhmed_Zakayev_,0.50535,140
Al_Davis_,0.593368,443
Al_Gore_,0.731178,1137
Al_Pacino_,0.489914,110
Al_Sharpton_,0.571299,351
Alan_Ball_,0.59281,440
Alan_Greenspan_,0.69322,968
Alan_Mulally_,0.55286,283
Alastair_Campbell_,0.952599,1644
Albert_Costa_,0.750673,1221
Alberto_Fujimori_,0.755278,1240
Alberto_Ruiz_Gallardon_,0.699692,1007
Albrecht_Mentz_,0.779776,1334
Aldo_Paredes_,0.617173,562
Alec_Baldwin_,0.9121,1613
Alejandro_Atchugarry_,0.626976,616
Alejandro_Avila_,0.658777,787
Alejandro_Toledo_,0.624066,596
Aleksander_Kwasniewski_,0.626947,615
Alex_Barros_,0.426329,30
Alex_Penelas_,0.627675,624
Alex_Sink_,0.698149,999
Alexander_Downer_,0.557129,300
Alexander_Losyukov_,0.650519,745
Alexander_Rumyantsev_,0.607245,500
Alexandra_Stevenson_,0.659621,795
Alexandra_Vodjanikova_,0.571729,354
Ali_Abbas_,0.833579,1491
Ali_Khamenei_,0.880515,1577
Ali_Naimi_,0.675402,869
Alice_Fisher_,0.754057,1235
Alicia_Silverstone_,0.770891,1302
Alimzhan_Tokhtakhounov_,0.765528,1282
Alison_Lohman_,0.939176,1632
Allen_Iverson_,0.670984,848
Allison_Janney_,0.540929,243
Allyson_Felix_,0.5863,408
Alvaro_Noboa_,0.716685,1075
Alvaro_Silva_Calderon_,0.660328,799
Alvaro_Uribe_,1.08247,1675
Amanda_Beard_,0.637426,668
Amanda_Bynes_,0.525366,195
Amanda_Coetzer_,0.74954,1211
Amber_Tamblyn_,0.778595,1330
Amelia_Vega_,0.64563,723
Amelie_Mauresmo_,0.968784,1650
Amer_al-Saadi_,0.74892,1207
Amram_Mitzna_,0.603151,485
Ana_Guevara_,0.574131,366
Ana_Palacio_,0.689657,947
Anastasia_Myskina_,0.665553,821
Anders_Ebbeson_,0.692095,962
Anders_Fogh_Rasmussen_,0.718739,1089
Andre_Agassi_,0.619067,569
Andrei_Mikhnevich_,0.558352,303
Andrew_Bunner_,0.809375,1431
