Name,Scores,Corelation Ranks
,,,
,,,
Aaron_Peirsol_,0.644793,659
Aaron_Sorkin_,0.664538,755
Abdel_Nasser_Assidi_,0.587406,397
Abdoulaye_Wade_,0.98115,1645
Abdullah_,0.624974,556
Abdullah_Gul_,0.892664,1550
Abdullah_al-Attiyah_,0.971869,1638
Abdullatif_Sener_,0.636303,611
Abel_Pacheco_,0.728892,1060
Abid_Hamid_Mahmud_Al-Tikriti_,0.536532,222
Adam_Sandler_,0.519259,175
Adam_Scott_,0.888039,1539
Adel_Al-Jubeir_,0.745388,1128
Adolfo_Aguilar_Zinser_,0.556874,283
Adolfo_Rodriguez_Saa_,0.638657,622
Adrian_McPherson_,0.929115,1598
Adrian_Nastase_,0.724532,1035
Adrien_Brody_,0.522272,181
Ahmad_Masood_,0.673668,797
Ahmed_Chalabi_,0.788252,1274
Ahmet_Necdet_Sezer_,0.617612,511
Ai_Sugiyama_,0.71681,998
Aicha_El_Ouafi_,0.864853,1494
Aitor_Gonzalez_,0.853353,1466
Akbar_Hashemi_Rafsanjani_,0.651753,697
Akhmed_Zakayev_,0.63009,580
Al_Davis_,0.878637,1519
Al_Gore_,0.844916,1450
Al_Pacino_,0.508804,146
Al_Sharpton_,0.657299,722
Alan_Ball_,0.713218,982
Alan_Greenspan_,0.684595,844
Alan_Mulally_,0.907589,1567
Alastair_Campbell_,0.782324,1257
Albert_Costa_,0.881157,1525
Alberto_Fujimori_,0.760795,1190
Alberto_Ruiz_Gallardon_,0.564958,308
Albrecht_Mentz_,0.731928,1072
Aldo_Paredes_,0.650859,693
Alec_Baldwin_,0.639546,630
Alejandro_Atchugarry_,0.725581,1044
Alejandro_Avila_,0.775178,1238
Alejandro_Toledo_,0.663383,749
Aleksander_Kwasniewski_,0.569241,324
Alex_Barros_,0.351727,3
Alex_Penelas_,0.555932,279
Alex_Sink_,0.752702,1161
Alexander_Downer_,0.765101,1209
Alexander_Losyukov_,0.72162,1016
Alexander_Rumyantsev_,0.781902,1255
Alexandra_Stevenson_,0.706188,943
Alexandra_Vodjanikova_,0.583814,380
Ali_Abbas_,0.848284,1457
Ali_Khamenei_,0.711359,974
Ali_Naimi_,0.675509,807
Alice_Fisher_,0.619252,522
Alicia_Silverstone_,0.843233,1442
Alimzhan_Tokhtakhounov_,0.712824,979
Alison_Lohman_,0.903064,1563
Allen_Iverson_,0.800551,1307
Allison_Janney_,0.573683,338
Allyson_Felix_,0.663943,751
Alvaro_Noboa_,0.714824,990
Alvaro_Silva_Calderon_,0.743441,1117
Alvaro_Uribe_,1.12657,1676
Amanda_Beard_,0.675666,810
Amanda_Bynes_,0.46929,78
Amanda_Coetzer_,0.885621,1536
Amber_Tamblyn_,0.681149,827
Amelia_Vega_,0.57976,367
Amelie_Mauresmo_,0.96383,1630
Amer_al-Saadi_,0.817595,1362
Amram_Mitzna_,0.873083,1512
Ana_Guevara_,0.493959,115
Ana_Palacio_,0.666328,761
Anastasia_Myskina_,0.824636,1390
Anders_Ebbeson_,0.615296,500
Anders_Fogh_Rasmussen_,0.694554,894
Andre_Agassi_,0.535303,213
Andrei_Mikhnevich_,0.662939,747
Andrew_Bunner_,0.871613,1506
