Name,Highest Rank,Fused Ranks
,,
,,
Aaron_Peirsol_,101,284
Aaron_Sorkin_,964,1527
Abdel_Nasser_Assidi_,1,1
Abdoulaye_Wade_,140,378
Abdullah_,325,760
Abdullah_Gul_,279,676
Abdullah_al-Attiyah_,602,1199
Abdullatif_Sener_,292,700
Abel_Pacheco_,897,1485
Abid_Hamid_Mahmud_Al-Tikriti_,1270,1648
Adam_Sandler_,479,1010
Adam_Scott_,896,1484
Adel_Al-Jubeir_,439,948
Adolfo_Aguilar_Zinser_,899,1487
Adolfo_Rodriguez_Saa_,563,1146
Adrian_McPherson_,426,928
Adrian_Nastase_,129,352
Adrien_Brody_,368,835
Ahmad_Masood_,801,1406
Ahmed_Chalabi_,273,666
Ahmet_Necdet_Sezer_,908,1493
Ai_Sugiyama_,838,1437
Aicha_El_Ouafi_,576,1162
Aitor_Gonzalez_,1513,1679
Akbar_Hashemi_Rafsanjani_,229,575
Akhmed_Zakayev_,121,334
Al_Davis_,16,46
Al_Gore_,449,962
Al_Pacino_,846,1444
Al_Sharpton_,847,1446
Alan_Ball_,189,490
Alan_Greenspan_,1224,1634
Alan_Mulally_,74,217
Alastair_Campbell_,205,529
Albert_Costa_,966,1529
Alberto_Fujimori_,799,1404
Alberto_Ruiz_Gallardon_,284,685
Albrecht_Mentz_,882,1473
Aldo_Paredes_,840,1439
Alec_Baldwin_,525,1079
Alejandro_Atchugarry_,606,1205
Alejandro_Avila_,53,156
Alejandro_Toledo_,412,911
Aleksander_Kwasniewski_,550,1123
Alex_Barros_,260,641
Alex_Penelas_,293,701
Alex_Sink_,262,646
Alexander_Downer_,277,672
Alexander_Losyukov_,75,219
Alexander_Rumyantsev_,396,887
Alexandra_Stevenson_,222,562
Alexandra_Vodjanikova_,764,1373
Ali_Abbas_,71,208
Ali_Khamenei_,2,4
Ali_Naimi_,403,899
Alice_Fisher_,518,1068
Alicia_Silverstone_,520,1071
Alimzhan_Tokhtakhounov_,913,1499
Alison_Lohman_,456,974
Allen_Iverson_,733,1345
Allison_Janney_,972,1533
Allyson_Felix_,303,718
Alvaro_Noboa_,373,845
Alvaro_Silva_Calderon_,432,939
Alvaro_Uribe_,175,461
Amanda_Beard_,244,606
Amanda_Bynes_,55,162
Amanda_Coetzer_,143,385
Amber_Tamblyn_,336,778
Amelia_Vega_,249,618
Amelie_Mauresmo_,700,1315
Amer_al-Saadi_,167,441
Amram_Mitzna_,158,422
Ana_Guevara_,1273,1651
Ana_Palacio_,199,516
Anastasia_Myskina_,856,1453
Anders_Ebbeson_,1355,1666
Anders_Fogh_Rasmussen_,920,1502
Andre_Agassi_,34,99
Andrei_Mikhnevich_,23,66
Andrew_Bunner_,106,296
Andrew_Cuomo_,163,433
Andrew_Niccol_,135,368
Andrew_Weissmann_,634,1242
Andy_Hebb_,243,604
Andy_Roddick_,698,1313
Angela_Bassett_,1065,1582
Angela_Lansbury_,3,7
Angela_Merkel_,47,138
Angelina_Jolie_,423,922
Angelo_Reyes_,945,1518
Anibal_Ibarra_,787,1394
Ann_Veneman_,115,320
Anna_Kournikova_,3,8
Anna_Nicole_Smith_,462,983
Anne_Krueger_,22,63
Anne_McLellan_,596,1190
