Name,Scores,Sift Ranks
,,,
,,,
Aaron_Peirsol_,96040.9,327
Aaron_Sorkin_,124545,963
Abdel_Nasser_Assidi_,0,1
Abdoulaye_Wade_,77025,140
Abdullah_,126318,1008
Abdullah_Gul_,112293,623
Abdullah_al-Attiyah_,111233,601
Abdullatif_Sener_,94022,292
Abel_Pacheco_,122330,896
Abid_Hamid_Mahmud_Al-Tikriti_,137244,1269
Adam_Sandler_,111261,602
Adam_Scott_,122261,895
Adel_Al-Jubeir_,103164,438
Adolfo_Aguilar_Zinser_,122416,898
Adolfo_Rodriguez_Saa_,109086,562
Adrian_McPherson_,120303,839
Adrian_Nastase_,106548,510
Adrien_Brody_,129344,1068
Ahmad_Masood_,145305,1448
Ahmed_Chalabi_,133790,1167
Ahmet_Necdet_Sezer_,156917,1588
Ai_Sugiyama_,145276,1446
Aicha_El_Ouafi_,109786,575
Aitor_Gonzalez_,152123,1538
Akbar_Hashemi_Rafsanjani_,89147,229
Akhmed_Zakayev_,141909,1379
Al_Davis_,61575.3,87
Al_Gore_,135301,1213
Al_Pacino_,140138,1338
Al_Sharpton_,124810,972
Alan_Ball_,84474.5,189
Alan_Greenspan_,151831,1535
Alan_Mulally_,89831,233
Alastair_Campbell_,103697,452
Albert_Costa_,137539,1274
Alberto_Fujimori_,118987,798
Alberto_Ruiz_Gallardon_,130539,1097
Albrecht_Mentz_,167614,1640
Aldo_Paredes_,125225,983
Alec_Baldwin_,133888,1170
Alejandro_Atchugarry_,148774,1496
Alejandro_Avila_,130435,1093
Alejandro_Toledo_,101910,411
Aleksander_Kwasniewski_,113829,667
Alex_Barros_,91708,260
Alex_Penelas_,119384,816
Alex_Sink_,91846.5,262
Alexander_Downer_,146931,1480
Alexander_Losyukov_,102944,432
Alexander_Rumyantsev_,113189,648
Alexandra_Stevenson_,105050,477
Alexandra_Vodjanikova_,172472,1658
Ali_Abbas_,52607,71
Ali_Khamenei_,0,2
Ali_Naimi_,104198,458
Alice_Fisher_,106946,517
Alicia_Silverstone_,107037,519
Alimzhan_Tokhtakhounov_,132575,1145
Alison_Lohman_,131593,1119
Allen_Iverson_,129328,1067
Allison_Janney_,131497,1117
Allyson_Felix_,129358,1069
Alvaro_Noboa_,127644,1041
Alvaro_Silva_Calderon_,122137,890
Alvaro_Uribe_,117294,761
Amanda_Beard_,94891.5,305
Amanda_Bynes_,127881,1044
Amanda_Coetzer_,93944.5,291
Amber_Tamblyn_,131642,1122
Amelia_Vega_,153281,1552
Amelie_Mauresmo_,149820,1511
Amer_al-Saadi_,144093,1423
Amram_Mitzna_,78938,158
Ana_Guevara_,138486,1293
Ana_Palacio_,116630,737
Anastasia_Myskina_,120919,855
Anders_Ebbeson_,140710,1354
Anders_Fogh_Rasmussen_,145596,1454
Andre_Agassi_,78991.4,160
Andrei_Mikhnevich_,101261,400
Andrew_Bunner_,107228,524
Andrew_Cuomo_,104618,467
Andrew_Niccol_,106258,507
Andrew_Weissmann_,130483,1096
Andy_Hebb_,138148,1286
Andy_Roddick_,114867,697
Angela_Bassett_,146748,1474
Angela_Lansbury_,0,3
Angela_Merkel_,135903,1226
Angelina_Jolie_,118139,779
