Name,Scores,EMD Ranks
,,
,,
Aaron_Peirsol_,94.595,120
Aaron_Sorkin_,117.374,557
Abdel_Nasser_Assidi_,173.085,1651
Abdoulaye_Wade_,177.806,1663
Abdullah_,139.136,1205
Abdullah_Gul_,128.504,899
Abdullah_al-Attiyah_,163.37,1603
Abdullatif_Sener_,124.873,762
Abel_Pacheco_,135.921,1117
Abid_Hamid_Mahmud_Al-Tikriti_,177.238,1662
Adam_Sandler_,115.313,504
Adam_Scott_,160.234,1586
Adel_Al-Jubeir_,148.603,1412
Adolfo_Aguilar_Zinser_,135.506,1102
Adolfo_Rodriguez_Saa_,139.6,1214
Adrian_McPherson_,155.069,1527
Adrian_Nastase_,136.945,1139
Adrien_Brody_,110.806,390
Ahmad_Masood_,149.197,1419
Ahmed_Chalabi_,111.08,398
Ahmet_Necdet_Sezer_,129.477,937
Ai_Sugiyama_,135.274,1092
Aicha_El_Ouafi_,151.216,1460
Aitor_Gonzalez_,174.411,1654
Akbar_Hashemi_Rafsanjani_,103.608,252
Akhmed_Zakayev_,125.149,772
Al_Davis_,149.326,1423
Al_Gore_,139.246,1208
Al_Pacino_,136.66,1132
Al_Sharpton_,144.183,1334
Alan_Ball_,123.601,712
Alan_Greenspan_,139.92,1223
Alan_Mulally_,128.861,910
Alastair_Campbell_,129.288,929
Albert_Costa_,168.732,1639
Alberto_Fujimori_,127.417,854
Alberto_Ruiz_Gallardon_,106.274,308
Albrecht_Mentz_,128.807,906
Aldo_Paredes_,113.542,461
Alec_Baldwin_,103.848,256
Alejandro_Atchugarry_,120.507,639
Alejandro_Avila_,160.745,1587
Alejandro_Toledo_,130.803,975
Aleksander_Kwasniewski_,138.486,1184
Alex_Barros_,109.266,364
Alex_Penelas_,106.837,318
Alex_Sink_,118.576,587
Alexander_Downer_,98.3834,174
Alexander_Losyukov_,112.933,444
Alexander_Rumyantsev_,112.052,419
Alexandra_Stevenson_,103.018,236
Alexandra_Vodjanikova_,155.261,1532
Ali_Abbas_,109.471,370
Ali_Khamenei_,138.238,1175
Ali_Naimi_,112.313,428
Alice_Fisher_,141.133,1263
Alicia_Silverstone_,129.915,951
Alimzhan_Tokhtakhounov_,117.424,562
Alison_Lohman_,114.422,478
Allen_Iverson_,142.21,1287
Allison_Janney_,131.422,990
Allyson_Felix_,155.008,1526
Alvaro_Noboa_,111.064,397
Alvaro_Silva_Calderon_,126.784,832
Alvaro_Uribe_,115.828,523
Amanda_Beard_,116.508,539
Amanda_Bynes_,87.4949,62
Amanda_Coetzer_,140.533,1243
Amber_Tamblyn_,109.003,362
Amelia_Vega_,104.655,270
Amelie_Mauresmo_,145.075,1346
Amer_al-Saadi_,98.9365,178
Amram_Mitzna_,126.963,836
Ana_Guevara_,131.945,1006
Ana_Palacio_,101.27,214
Anastasia_Myskina_,156.06,1546
Anders_Ebbeson_,162.855,1599
Anders_Fogh_Rasmussen_,166.937,1629
Andre_Agassi_,124.797,760
Andrei_Mikhnevich_,144.289,1336
Andrew_Bunner_,111.786,414
Andrew_Cuomo_,98.5941,176
Andrew_Niccol_,128.947,914
Andrew_Weissmann_,160.885,1589
Andy_Hebb_,110.029,378
Andy_Roddick_,131.03,983
