Name,Scores,Corelation Ranks
,,,
,,,
Aaron_Peirsol_,0.794631,912
Aaron_Sorkin_,0.441711,9
Abdel_Nasser_Assidi_,0.690892,403
Abdoulaye_Wade_,0.961606,1521
Abdullah_,0.593632,108
Abdullah_Gul_,0.699776,450
Abdullah_al-Attiyah_,0.861644,1220
Abdullatif_Sener_,0.808968,987
Abel_Pacheco_,0.829456,1079
Abid_Hamid_Mahmud_Al-Tikriti_,0.976109,1550
Adam_Sandler_,0.515705,37
Adam_Scott_,0.790827,895
Adel_Al-Jubeir_,0.702949,463
Adolfo_Aguilar_Zinser_,0.503322,29
Adolfo_Rodriguez_Saa_,0.718777,540
Adrian_McPherson_,1.00351,1577
Adrian_Nastase_,0.742312,637
Adrien_Brody_,0.758235,707
Ahmad_Masood_,0.586549,95
Ahmed_Chalabi_,0.71099,499
Ahmet_Necdet_Sezer_,0.783686,852
Ai_Sugiyama_,0.702734,462
Aicha_El_Ouafi_,0.974249,1547
Aitor_Gonzalez_,0.906423,1374
Akbar_Hashemi_Rafsanjani_,1.01159,1593
Akhmed_Zakayev_,0.635183,209
Al_Davis_,0.877111,1275
Al_Gore_,1.01483,1595
Al_Pacino_,0.735814,609
Al_Sharpton_,0.776225,808
Alan_Ball_,0.883258,1297
Alan_Greenspan_,0.796764,923
Alan_Mulally_,0.703126,466
Alastair_Campbell_,0.833708,1108
Albert_Costa_,0.952949,1505
Alberto_Fujimori_,0.886828,1311
Alberto_Ruiz_Gallardon_,0.852016,1186
Albrecht_Mentz_,0.822165,1049
Aldo_Paredes_,0.647373,238
Alec_Baldwin_,0.895964,1335
Alejandro_Atchugarry_,0.896732,1336
Alejandro_Avila_,0.787542,876
Alejandro_Toledo_,0.871683,1256
Aleksander_Kwasniewski_,0.831737,1094
Alex_Barros_,0.707831,486
Alex_Penelas_,0.779518,828
Alex_Sink_,0.780038,834
Alexander_Downer_,1.03216,1610
Alexander_Losyukov_,0.658788,277
Alexander_Rumyantsev_,0.866942,1240
Alexandra_Stevenson_,0.538895,47
Alexandra_Vodjanikova_,0.76263,732
Ali_Abbas_,0.931494,1435
Ali_Khamenei_,0.765114,744
Ali_Naimi_,0.875468,1268
Alice_Fisher_,0.683035,370
Alicia_Silverstone_,1.03355,1613
Alimzhan_Tokhtakhounov_,0.858344,1207
Alison_Lohman_,0.729645,591
Allen_Iverson_,0.720395,543
Allison_Janney_,0.759924,720
Allyson_Felix_,0.602068,124
Alvaro_Noboa_,0.83445,1110
Alvaro_Silva_Calderon_,0.836934,1128
Alvaro_Uribe_,0.739402,627
Amanda_Beard_,0.526668,42
Amanda_Bynes_,0.917535,1398
Amanda_Coetzer_,0.93392,1443
Amber_Tamblyn_,0.795288,916
Amelia_Vega_,0.7249,566
Amelie_Mauresmo_,0.974276,1548
Amer_al-Saadi_,0.962585,1526
Amram_Mitzna_,0.939145,1469
Ana_Guevara_,0.718513,539
Ana_Palacio_,0.667746,314
Anastasia_Myskina_,0.714406,515
Anders_Ebbeson_,0.618465,159
Anders_Fogh_Rasmussen_,0.715152,520
Andre_Agassi_,0.75525,695
Andrei_Mikhnevich_,0.74182,633
Andrew_Bunner_,0.804822,958
