Name,Scores,Corelation Ranks
,,,
,,,
Aaron_Peirsol_,0.652545,678
Aaron_Sorkin_,0.858026,1041
Abdel_Nasser_Assidi_,0.696482,754
Abdoulaye_Wade_,1.11559,1477
Abdullah_,1.14941,1523
Abdullah_Gul_,1.29585,1626
Abdullah_al-Attiyah_,0.505643,383
Abdullatif_Sener_,0.92974,1185
Abel_Pacheco_,0.266824,28
Abid_Hamid_Mahmud_Al-Tikriti_,0.822136,978
Adam_Sandler_,0.336048,103
Adam_Scott_,0.474362,321
Adel_Al-Jubeir_,0.863161,1053
Adolfo_Aguilar_Zinser_,0.832127,995
Adolfo_Rodriguez_Saa_,0.983781,1280
Adrian_McPherson_,1.23974,1586
Adrian_Nastase_,0.888655,1099
Adrien_Brody_,0.74758,849
Ahmad_Masood_,1.31221,1634
Ahmed_Chalabi_,1.10026,1462
Ahmet_Necdet_Sezer_,0.346629,111
Ai_Sugiyama_,0.46254,297
Aicha_El_Ouafi_,0.556345,492
Aitor_Gonzalez_,1.16387,1532
Akbar_Hashemi_Rafsanjani_,0.773527,897
Akhmed_Zakayev_,0.584577,546
Al_Davis_,1.07336,1434
Al_Gore_,0.453012,278
Al_Pacino_,0.388913,179
Al_Sharpton_,0.956903,1230
Alan_Ball_,0.684292,731
Alan_Greenspan_,0.548799,476
Alan_Mulally_,0.751147,854
Alastair_Campbell_,1.07508,1435
Albert_Costa_,0.697013,755
Alberto_Fujimori_,0.882816,1088
Alberto_Ruiz_Gallardon_,0.365773,136
Albrecht_Mentz_,1.03976,1376
Aldo_Paredes_,1.28537,1619
Alec_Baldwin_,0.910048,1143
Alejandro_Atchugarry_,0.999567,1309
Alejandro_Avila_,0.686468,737
Alejandro_Toledo_,0.603462,584
Aleksander_Kwasniewski_,0.865905,1058
Alex_Barros_,0.914447,1151
Alex_Penelas_,0.424889,239
Alex_Sink_,0.388649,178
Alexander_Downer_,0.856408,1037
Alexander_Losyukov_,1.19213,1553
Alexander_Rumyantsev_,0.64904,667
Alexandra_Stevenson_,0.659527,683
Alexandra_Vodjanikova_,0.871738,1070
Ali_Abbas_,1.145,1516
Ali_Khamenei_,0.894465,1114
Ali_Naimi_,0.492159,360
Alice_Fisher_,0.882834,1089
Alicia_Silverstone_,0.584022,545
Alimzhan_Tokhtakhounov_,0.375159,152
Alison_Lohman_,1.06488,1415
Allen_Iverson_,0.905376,1134
Allison_Janney_,0.618919,624
Allyson_Felix_,1.56739,1678
Alvaro_Noboa_,0.620771,629
Alvaro_Silva_Calderon_,0.947198,1214
Alvaro_Uribe_,1.20309,1561
Amanda_Beard_,0.690502,744
Amanda_Bynes_,0.556074,490
Amanda_Coetzer_,1.23728,1585
Amber_Tamblyn_,0.376016,154
Amelia_Vega_,0.550769,480
Amelie_Mauresmo_,0.567535,512
Amer_al-Saadi_,1.11553,1476
Amram_Mitzna_,0.467147,304
Ana_Guevara_,0.36789,139
Ana_Palacio_,1.14288,1511
Anastasia_Myskina_,0.864815,1057
Anders_Ebbeson_,1.16587,1533
Anders_Fogh_Rasmussen_,1.30095,1630
Andre_Agassi_,1.12249,1488
Andrei_Mikhnevich_,0.540913,462
Andrew_Bunner_,0.980003,1271
