Name,Scores,Corelation Ranks
,,,
,,,
Aaron_Peirsol_,0.441878,16
Aaron_Sorkin_,0.965434,936
Abdel_Nasser_Assidi_,0.789221,399
Abdoulaye_Wade_,0.898372,746
Abdullah_,0.966402,943
Abdullah_Gul_,0.947804,884
Abdullah_al-Attiyah_,0.825332,518
Abdullatif_Sener_,0.872232,668
Abel_Pacheco_,0.948397,886
Abid_Hamid_Mahmud_Al-Tikriti_,0.997679,1038
Adam_Sandler_,0.808698,468
Adam_Scott_,0.835931,551
Adel_Al-Jubeir_,0.953976,901
Adolfo_Aguilar_Zinser_,0.685946,197
Adolfo_Rodriguez_Saa_,1.05702,1171
Adrian_McPherson_,0.977125,981
Adrian_Nastase_,1.31771,1591
Adrien_Brody_,1.21233,1484
Ahmad_Masood_,1.11181,1306
Ahmed_Chalabi_,1.05424,1164
Ahmet_Necdet_Sezer_,0.605223,81
Ai_Sugiyama_,1.24244,1512
Aicha_El_Ouafi_,0.684496,188
Aitor_Gonzalez_,1.0199,1091
Akbar_Hashemi_Rafsanjani_,1.24026,1509
Akhmed_Zakayev_,1.02495,1097
Al_Davis_,1.12905,1336
Al_Gore_,0.638955,108
Al_Pacino_,0.841425,565
Al_Sharpton_,0.558202,54
Alan_Ball_,0.7898,401
Alan_Greenspan_,0.946952,881
Alan_Mulally_,0.963259,930
Alastair_Campbell_,1.25266,1523
Albert_Costa_,0.844549,571
Alberto_Fujimori_,0.803744,449
Alberto_Ruiz_Gallardon_,1.14662,1370
Albrecht_Mentz_,0.909651,776
Aldo_Paredes_,1.0813,1227
Alec_Baldwin_,1.09667,1266
Alejandro_Atchugarry_,1.27878,1546
Alejandro_Avila_,0.721167,253
Alejandro_Toledo_,1.06097,1184
Aleksander_Kwasniewski_,0.723302,259
Alex_Barros_,0.647002,121
Alex_Penelas_,0.765928,342
Alex_Sink_,0.6725,159
Alexander_Downer_,1.42453,1661
Alexander_Losyukov_,0.839187,559
Alexander_Rumyantsev_,0.793542,414
Alexandra_Stevenson_,0.778964,373
Alexandra_Vodjanikova_,1.30341,1580
Ali_Abbas_,1.09409,1261
Ali_Khamenei_,0.630963,103
Ali_Naimi_,0.675961,169
Alice_Fisher_,1.2668,1537
Alicia_Silverstone_,0.853898,601
Alimzhan_Tokhtakhounov_,0.685075,192
Alison_Lohman_,1.06793,1203
Allen_Iverson_,0.822311,507
Allison_Janney_,0.784291,391
Allyson_Felix_,0.772011,356
Alvaro_Noboa_,0.924875,817
Alvaro_Silva_Calderon_,1.10619,1295
Alvaro_Uribe_,1.01388,1075
Amanda_Beard_,0.863921,628
Amanda_Bynes_,1.14553,1368
Amanda_Coetzer_,1.11083,1304
Amber_Tamblyn_,0.737532,292
Amelia_Vega_,1.13003,1341
Amelie_Mauresmo_,0.704112,229
Amer_al-Saadi_,0.823019,511
Amram_Mitzna_,0.678721,172
Ana_Guevara_,1.03144,1113
Ana_Palacio_,1.34157,1611
Anastasia_Myskina_,0.822071,505
Anders_Ebbeson_,0.872684,670
Anders_Fogh_Rasmussen_,1.28348,1554
Andre_Agassi_,0.648155,122
Andrei_Mikhnevich_,0.675527,166
Andrew_Bunner_,0.920327,807
