Name,Scores,EMD Ranks
,,,
,,,
Aaron_Peirsol_,117.272,571
Aaron_Sorkin_,117.376,573
Abdel_Nasser_Assidi_,158.8,1559
Abdoulaye_Wade_,196.949,1679
Abdullah_,139.137,1212
Abdullah_Gul_,106.01,299
Abdullah_al-Attiyah_,145.206,1352
Abdullatif_Sener_,124.874,791
Abel_Pacheco_,135.921,1136
Abid_Hamid_Mahmud_Al-Tikriti_,116.786,555
Adam_Sandler_,115.314,507
Adam_Scott_,160.235,1577
Adel_Al-Jubeir_,148.604,1419
Adolfo_Aguilar_Zinser_,135.51,1121
Adolfo_Rodriguez_Saa_,139.602,1222
Adrian_McPherson_,196.329,1678
Adrian_Nastase_,141.557,1285
Adrien_Brody_,110.81,386
Ahmad_Masood_,149.197,1427
Ahmed_Chalabi_,111.081,393
Ahmet_Necdet_Sezer_,129.478,959
Ai_Sugiyama_,135.275,1115
Aicha_El_Ouafi_,122.056,703
Aitor_Gonzalez_,170.282,1633
Akbar_Hashemi_Rafsanjani_,103.609,253
Akhmed_Zakayev_,128.842,929
Al_Davis_,149.33,1431
Al_Gore_,121.401,684
Al_Pacino_,121.659,697
Al_Sharpton_,144.186,1336
Alan_Ball_,123.327,746
Alan_Greenspan_,139.921,1231
Alan_Mulally_,128.864,930
Alastair_Campbell_,129.292,948
Albert_Costa_,168.734,1624
Alberto_Fujimori_,136.558,1148
Alberto_Ruiz_Gallardon_,129.841,973
Albrecht_Mentz_,128.807,925
Aldo_Paredes_,148.929,1424
Alec_Baldwin_,103.851,258
Alejandro_Atchugarry_,120.333,659
Alejandro_Avila_,160.746,1580
Alejandro_Toledo_,130.807,997
Aleksander_Kwasniewski_,117.051,564
Alex_Barros_,109.273,356
Alex_Penelas_,93.893,118
Alex_Sink_,118.579,606
Alexander_Downer_,123.852,756
Alexander_Losyukov_,112.936,445
Alexander_Rumyantsev_,112.056,422
Alexandra_Stevenson_,160.319,1579
Alexandra_Vodjanikova_,154.613,1511
Ali_Abbas_,109.473,365
Ali_Khamenei_,131.921,1036
Ali_Naimi_,112.317,428
Alice_Fisher_,141.136,1276
Alicia_Silverstone_,129.917,976
Alimzhan_Tokhtakhounov_,117.429,579
Alison_Lohman_,114.425,483
Allen_Iverson_,151.964,1469
Allison_Janney_,131.426,1016
Allyson_Felix_,173.745,1645
Alvaro_Noboa_,111.071,392
Alvaro_Silva_Calderon_,126.789,858
Alvaro_Uribe_,115.831,527
Amanda_Beard_,116.51,547
Amanda_Bynes_,87.4986,62
Amanda_Coetzer_,140.534,1254
Amber_Tamblyn_,131.552,1020
Amelia_Vega_,137.456,1169
Amelie_Mauresmo_,145.078,1348
Amer_al-Saadi_,98.9384,175
Amram_Mitzna_,126.965,864
Ana_Guevara_,131.947,1037
Ana_Palacio_,101.273,211
Anastasia_Myskina_,156.062,1531
Anders_Ebbeson_,162.856,1592
Anders_Fogh_Rasmussen_,124.88,792
Andre_Agassi_,124.798,789
Andrei_Mikhnevich_,132.021,1040
Andrew_Bunner_,111.79,412
Andrew_Cuomo_,119.44,633
Andrew_Niccol_,128.952,934
Andrew_Weissmann_,149.836,1442
Andy_Hebb_,110.032,373
