Name,Scores,Sift Ranks
,,,
,,,
Aaron_Peirsol_,140171,1256
Aaron_Sorkin_,131023,1055
Abdel_Nasser_Assidi_,94329.3,288
Abdoulaye_Wade_,132459,1085
Abdullah_,0,1
Abdullah_Gul_,201297,1678
Abdullah_al-Attiyah_,132665,1089
Abdullatif_Sener_,109992,501
Abel_Pacheco_,94409,289
Abid_Hamid_Mahmud_Al-Tikriti_,0,2
Adam_Sandler_,134879,1142
Adam_Scott_,122728,832
Adel_Al-Jubeir_,148526,1436
Adolfo_Aguilar_Zinser_,133495,1109
Adolfo_Rodriguez_Saa_,0,3
Adrian_McPherson_,0,4
Adrian_Nastase_,0,5
Adrien_Brody_,107030,459
Ahmad_Masood_,159719,1572
Ahmed_Chalabi_,109566,492
Ahmet_Necdet_Sezer_,176775,1658
Ai_Sugiyama_,122828,838
Aicha_El_Ouafi_,140944,1278
Aitor_Gonzalez_,90127,265
Akbar_Hashemi_Rafsanjani_,117632,680
Akhmed_Zakayev_,150238,1457
Al_Davis_,117139,663
Al_Gore_,141506,1290
Al_Pacino_,177841,1662
Al_Sharpton_,96750,311
Alan_Ball_,142471,1312
Alan_Greenspan_,113966,578
Alan_Mulally_,0,6
Alastair_Campbell_,165270,1611
Albert_Costa_,123094,845
Alberto_Fujimori_,123505,859
Alberto_Ruiz_Gallardon_,133574,1111
Albrecht_Mentz_,0,7
Aldo_Paredes_,120445,764
Alec_Baldwin_,124399,882
Alejandro_Atchugarry_,117146,664
Alejandro_Avila_,130016,1030
Alejandro_Toledo_,97203,318
Aleksander_Kwasniewski_,83756,223
Alex_Barros_,0,8
Alex_Penelas_,123133,847
Alex_Sink_,110987,517
Alexander_Downer_,87291.7,242
Alexander_Losyukov_,130485,1045
Alexander_Rumyantsev_,162179,1595
Alexandra_Stevenson_,0,9
Alexandra_Vodjanikova_,55937,186
Ali_Abbas_,122508,826
Ali_Khamenei_,164872,1608
Ali_Naimi_,125906,919
Alice_Fisher_,0,10
Alicia_Silverstone_,0,11
Alimzhan_Tokhtakhounov_,132594,1087
Alison_Lohman_,163259,1602
Allen_Iverson_,118067,692
Allison_Janney_,133364,1103
Allyson_Felix_,104139,399
Alvaro_Noboa_,133380,1104
Alvaro_Silva_Calderon_,69214.5,194
Alvaro_Uribe_,144723,1358
Amanda_Beard_,144124,1347
Amanda_Bynes_,60881,189
Amanda_Coetzer_,134899,1143
Amber_Tamblyn_,141698,1292
Amelia_Vega_,124323,878
Amelie_Mauresmo_,126692,941
Amer_al-Saadi_,136225,1178
Amram_Mitzna_,118808,708
Ana_Guevara_,135369,1154
Ana_Palacio_,120418,762
Anastasia_Myskina_,134621,1133
Anders_Ebbeson_,122886,839
Anders_Fogh_Rasmussen_,174438,1654
Andre_Agassi_,150684,1465
Andrei_Mikhnevich_,152435,1491
Andrew_Bunner_,0,12
Andrew_Cuomo_,130299,1040
Andrew_Niccol_,132254,1079
Andrew_Weissmann_,146505,1398
Andy_Hebb_,158836,1565
Andy_Roddick_,154883,1523
Angela_Bassett_,99223,334
Angela_Lansbury_,148403,1431
Angela_Merkel_,107660,470
Angelina_Jolie_,128848,1000
Angelo_Reyes_,147423,1408
