Name,Scores,Corelation Ranks
,,,
,,,
Aaron_Peirsol_,0.670748,329
Aaron_Sorkin_,0.956618,1461
Abdel_Nasser_Assidi_,0.607612,140
Abdoulaye_Wade_,0.984635,1514
Abdullah_,0.658907,289
Abdullah_Gul_,0.956513,1460
Abdullah_al-Attiyah_,0.997624,1526
Abdullatif_Sener_,0.831438,1034
Abel_Pacheco_,0.995398,1523
Abid_Hamid_Mahmud_Al-Tikriti_,0.895408,1280
Adam_Sandler_,0.711534,505
Adam_Scott_,1.03688,1580
Adel_Al-Jubeir_,0.934809,1417
Adolfo_Aguilar_Zinser_,0.804897,916
Adolfo_Rodriguez_Saa_,0.718676,536
Adrian_McPherson_,0.968441,1488
Adrian_Nastase_,0.792992,865
Adrien_Brody_,0.615714,160
Ahmad_Masood_,0.821153,992
Ahmed_Chalabi_,0.735887,612
Ahmet_Necdet_Sezer_,0.839295,1068
Ai_Sugiyama_,0.823239,1002
Aicha_El_Ouafi_,0.86998,1185
Aitor_Gonzalez_,1.08545,1617
Akbar_Hashemi_Rafsanjani_,0.763011,733
Akhmed_Zakayev_,0.847695,1096
Al_Davis_,0.831972,1037
Al_Gore_,0.762043,728
Al_Pacino_,0.968487,1489
Al_Sharpton_,0.612996,150
Alan_Ball_,0.79889,889
Alan_Greenspan_,0.68144,371
Alan_Mulally_,0.812085,951
Alastair_Campbell_,0.746715,662
Albert_Costa_,1.0408,1582
Alberto_Fujimori_,0.716681,526
Alberto_Ruiz_Gallardon_,0.8231,1001
Albrecht_Mentz_,0.999653,1533
Aldo_Paredes_,1.00713,1542
Alec_Baldwin_,0.463844,3
Alejandro_Atchugarry_,0.536553,34
Alejandro_Avila_,0.705711,476
Alejandro_Toledo_,0.587818,98
Aleksander_Kwasniewski_,0.610111,145
Alex_Barros_,0.6798,365
Alex_Penelas_,0.631715,211
Alex_Sink_,0.685981,389
Alexander_Downer_,0.531461,29
Alexander_Losyukov_,0.593638,109
Alexander_Rumyantsev_,0.931342,1408
Alexandra_Stevenson_,0.911116,1337
Alexandra_Vodjanikova_,0.619629,173
Ali_Abbas_,1.05789,1592
Ali_Khamenei_,1.03199,1575
Ali_Naimi_,0.690558,411
Alice_Fisher_,0.79938,892
Alicia_Silverstone_,0.847899,1097
Alimzhan_Tokhtakhounov_,0.792164,855
Alison_Lohman_,0.639807,235
Allen_Iverson_,0.932403,1413
Allison_Janney_,0.677681,357
Allyson_Felix_,0.807648,932
Alvaro_Noboa_,0.642704,241
Alvaro_Silva_Calderon_,0.686902,394
Alvaro_Uribe_,0.888018,1252
Amanda_Beard_,0.931551,1409
Amanda_Bynes_,0.850709,1106
Amanda_Coetzer_,0.873717,1197
Amber_Tamblyn_,0.670232,325
Amelia_Vega_,0.638885,234
Amelie_Mauresmo_,1.16816,1661
Amer_al-Saadi_,0.645651,249
Amram_Mitzna_,0.761619,725
Ana_Guevara_,0.575282,80
Ana_Palacio_,0.750213,678
Anastasia_Myskina_,0.894441,1275
Anders_Ebbeson_,0.918475,1363
Anders_Fogh_Rasmussen_,0.761466,722
Andre_Agassi_,0.939863,1430
Andrei_Mikhnevich_,0.86411,1161
Andrew_Bunner_,0.92878,1402
