Name,Scores,Fused Ranks
,,,
,,,
Aaron_Peirsol_,2119,548
Aaron_Sorkin_,2715,979
Abdel_Nasser_Assidi_,1816,356
Abdoulaye_Wade_,2771,1019
Abdullah_,3212,1331
Abdullah_Gul_,1931,431
Abdullah_al-Attiyah_,4351,1657
Abdullatif_Sener_,3111,1265
Abel_Pacheco_,2730,986
Abid_Hamid_Mahmud_Al-Tikriti_,2490,805
Adam_Sandler_,2622,915
Adam_Scott_,3040,1218
Adel_Al-Jubeir_,3640,1502
Adolfo_Aguilar_Zinser_,3014,1202
Adolfo_Rodriguez_Saa_,4073,1622
Adrian_McPherson_,3000,1192
Adrian_Nastase_,2353,711
Adrien_Brody_,3053,1229
Ahmad_Masood_,2375,729
Ahmed_Chalabi_,942,49
Ahmet_Necdet_Sezer_,3981,1600
Ai_Sugiyama_,3304,1379
Aicha_El_Ouafi_,4187,1639
Aitor_Gonzalez_,4465,1670
Akbar_Hashemi_Rafsanjani_,1421,177
Akhmed_Zakayev_,1142,85
Al_Davis_,2280,673
Al_Gore_,2759,1009
Al_Pacino_,2793,1035
Al_Sharpton_,2391,742
Alan_Ball_,2752,1002
Alan_Greenspan_,3132,1275
Alan_Mulally_,2253,653
Alastair_Campbell_,2640,928
Albert_Costa_,4363,1658
Alberto_Fujimori_,1929,429
Alberto_Ruiz_Gallardon_,3146,1285
Albrecht_Mentz_,3007,1198
Aldo_Paredes_,1922,424
Alec_Baldwin_,1279,131
Alejandro_Atchugarry_,2705,972
Alejandro_Avila_,2804,1044
Alejandro_Toledo_,2489,803
Aleksander_Kwasniewski_,2808,1053
Alex_Barros_,1945,440
Alex_Penelas_,3073,1235
Alex_Sink_,2807,1048
Alexander_Downer_,1378,162
Alexander_Losyukov_,1997,476
Alexander_Rumyantsev_,3319,1386
Alexandra_Stevenson_,1235,120
Alexandra_Vodjanikova_,3173,1298
Ali_Abbas_,2341,705
Ali_Khamenei_,1510,212
Ali_Naimi_,2749,999
Alice_Fisher_,1730,301
Alicia_Silverstone_,4110,1628
Alimzhan_Tokhtakhounov_,3739,1543
Alison_Lohman_,2815,1059
Allen_Iverson_,3000,1193
Allison_Janney_,3438,1435
Allyson_Felix_,2804,1045
Alvaro_Noboa_,1797,351
Alvaro_Silva_Calderon_,1912,419
Alvaro_Uribe_,2451,780
Amanda_Beard_,1291,136
Amanda_Bynes_,2674,952
Amanda_Coetzer_,2033,493
Amber_Tamblyn_,2939,1140
Amelia_Vega_,3682,1520
Amelie_Mauresmo_,3176,1300
Amer_al-Saadi_,3037,1215
Amram_Mitzna_,2432,769
Ana_Guevara_,4240,1644
Ana_Palacio_,1251,123
Anastasia_Myskina_,4385,1664
Anders_Ebbeson_,4091,1625
Anders_Fogh_Rasmussen_,3125,1273
Andre_Agassi_,2035,494
Andrei_Mikhnevich_,4186,1638
Andrew_Bunner_,1040,67
Andrew_Cuomo_,2468,792
Andrew_Niccol_,1845,375
Andrew_Weissmann_,2804,1046
Andy_Hebb_,3017,1203
Andy_Roddick_,3753,1550
Angela_Bassett_,2917,1125
Angela_Lansbury_,2614,905
Angela_Merkel_,3245,1352
Angelina_Jolie_,1966,457
Angelo_Reyes_,3200,1317
