Name,Scores,Sift Ranks
,,,
,,,
Aaron_Peirsol_,116042,568
Aaron_Sorkin_,133337,1036
Abdel_Nasser_Assidi_,99030,337
Abdoulaye_Wade_,160508,1575
Abdullah_,141998,1289
Abdullah_Gul_,135293,1104
Abdullah_al-Attiyah_,138344,1202
Abdullatif_Sener_,143767,1338
Abel_Pacheco_,131303,971
Abid_Hamid_Mahmud_Al-Tikriti_,113229,511
Adam_Sandler_,87263,266
Adam_Scott_,140193,1244
Adel_Al-Jubeir_,0,1
Adolfo_Aguilar_Zinser_,124079,766
Adolfo_Rodriguez_Saa_,131024,959
Adrian_McPherson_,0,2
Adrian_Nastase_,0,3
Adrien_Brody_,123432,751
Ahmad_Masood_,0,4
Ahmed_Chalabi_,147479,1426
Ahmet_Necdet_Sezer_,113025,507
Ai_Sugiyama_,135905,1127
Aicha_El_Ouafi_,130038,924
Aitor_Gonzalez_,111928,487
Akbar_Hashemi_Rafsanjani_,114571,538
Akhmed_Zakayev_,0,5
Al_Davis_,0,6
Al_Gore_,144076,1344
Al_Pacino_,0,7
Al_Sharpton_,125491,808
Alan_Ball_,153283,1514
Alan_Greenspan_,131048,961
Alan_Mulally_,130449,939
Alastair_Campbell_,97619,328
Albert_Costa_,0,8
Alberto_Fujimori_,148531,1450
Alberto_Ruiz_Gallardon_,0,9
Albrecht_Mentz_,0,10
Aldo_Paredes_,0,11
Alec_Baldwin_,122590,727
Alejandro_Atchugarry_,186366,1676
Alejandro_Avila_,133913,1048
Alejandro_Toledo_,131490,981
Aleksander_Kwasniewski_,148103,1443
Alex_Barros_,0,12
Alex_Penelas_,128352,881
Alex_Sink_,122548,725
Alexander_Downer_,94241.5,299
Alexander_Losyukov_,163850,1602
Alexander_Rumyantsev_,105766,387
Alexandra_Stevenson_,0,13
Alexandra_Vodjanikova_,125265,801
Ali_Abbas_,114608,541
Ali_Khamenei_,0,14
Ali_Naimi_,119715,645
Alice_Fisher_,135025,1095
Alicia_Silverstone_,160392,1574
Alimzhan_Tokhtakhounov_,106520,400
Alison_Lohman_,147780,1439
Allen_Iverson_,111973,488
Allison_Janney_,90564.7,281
Allyson_Felix_,159083,1567
Alvaro_Noboa_,63740,228
Alvaro_Silva_Calderon_,140541,1253
Alvaro_Uribe_,129917,919
Amanda_Beard_,108466,431
Amanda_Bynes_,161363,1584
Amanda_Coetzer_,124441,773
Amber_Tamblyn_,0,15
Amelia_Vega_,99180,340
Amelie_Mauresmo_,98859,334
Amer_al-Saadi_,149056,1461
Amram_Mitzna_,135638,1115
Ana_Guevara_,147742,1435
Ana_Palacio_,92969,289
Anastasia_Myskina_,120771,667
Anders_Ebbeson_,163896,1603
Anders_Fogh_Rasmussen_,115106,552
Andre_Agassi_,150427,1477
Andrei_Mikhnevich_,128505,889
Andrew_Bunner_,125197,797
Andrew_Cuomo_,131386,977
Andrew_Niccol_,107631,415
Andrew_Weissmann_,117965,613
Andy_Hebb_,130389,934
Andy_Roddick_,134036,1050
Angela_Bassett_,101287,355
Angela_Lansbury_,140056,1242
Angela_Merkel_,124907,787
Angelina_Jolie_,138940,1223
Angelo_Reyes_,108790,438
Anibal_Ibarra_,122103,714
