Name,Scores,EMD Ranks
,,
,,
Aaron_Peirsol_,131.908,1010
Aaron_Sorkin_,134.486,1080
Abdel_Nasser_Assidi_,158.794,1558
Abdoulaye_Wade_,177.795,1665
Abdullah_,101.758,215
Abdullah_Gul_,105.987,290
Abdullah_al-Attiyah_,163.36,1600
Abdullatif_Sener_,131.001,983
Abel_Pacheco_,135.918,1124
Abid_Hamid_Mahmud_Al-Tikriti_,177.235,1662
Adam_Sandler_,115.311,497
Adam_Scott_,160.233,1575
Adel_Al-Jubeir_,168.606,1632
Adolfo_Aguilar_Zinser_,135.488,1111
Adolfo_Rodriguez_Saa_,139.583,1224
Adrian_McPherson_,155.059,1513
Adrian_Nastase_,136.943,1144
Adrien_Brody_,124.396,756
Ahmad_Masood_,126.386,829
Ahmed_Chalabi_,115.791,510
Ahmet_Necdet_Sezer_,129.47,935
Ai_Sugiyama_,135.269,1102
Aicha_El_Ouafi_,151.206,1463
Aitor_Gonzalez_,174.406,1653
Akbar_Hashemi_Rafsanjani_,103.604,243
Akhmed_Zakayev_,128.828,913
Al_Davis_,140.193,1244
Al_Gore_,121.381,659
Al_Pacino_,136.659,1140
Al_Sharpton_,144.171,1337
Alan_Ball_,123.308,718
Alan_Greenspan_,127.045,850
Alan_Mulally_,110.223,380
Alastair_Campbell_,131.515,995
Albert_Costa_,159.9,1569
Alberto_Fujimori_,136.537,1137
Alberto_Ruiz_Gallardon_,106.246,299
Albrecht_Mentz_,128.805,911
Aldo_Paredes_,148.919,1422
Alec_Baldwin_,136.241,1131
Alejandro_Atchugarry_,120.312,633
Alejandro_Avila_,160.739,1577
Alejandro_Toledo_,130.779,977
Aleksander_Kwasniewski_,117.049,538
Alex_Barros_,109.224,362
Alex_Penelas_,106.822,310
Alex_Sink_,138.272,1190
Alexander_Downer_,105.932,287
Alexander_Losyukov_,112.916,437
Alexander_Rumyantsev_,112.033,416
Alexandra_Stevenson_,102.996,233
Alexandra_Vodjanikova_,154.609,1506
Ali_Abbas_,109.46,373
Ali_Khamenei_,131.913,1011
Ali_Naimi_,112.291,424
Alice_Fisher_,141.121,1267
Alicia_Silverstone_,129.907,950
Alimzhan_Tokhtakhounov_,129.565,939
Alison_Lohman_,114.406,475
Allen_Iverson_,142.205,1295
Allison_Janney_,129.483,936
Allyson_Felix_,139.271,1219
Alvaro_Noboa_,111.037,394
Alvaro_Silva_Calderon_,126.747,842
Alvaro_Uribe_,99.7669,177
Amanda_Beard_,116.498,527
Amanda_Bynes_,87.4738,58
Amanda_Coetzer_,124.8,769
Amber_Tamblyn_,108.997,357
Amelia_Vega_,161.181,1584
Amelie_Mauresmo_,123.638,728
Amer_al-Saadi_,114.043,467
Amram_Mitzna_,126.953,848
Ana_Guevara_,177.76,1664
Ana_Palacio_,118.318,571
Anastasia_Myskina_,156.051,1526
Anders_Ebbeson_,162.85,1594
Anders_Fogh_Rasmussen_,129.767,945
Andre_Agassi_,150.542,1448
Andrei_Mikhnevich_,131.99,1015
Andrew_Bunner_,111.767,406
Andrew_Cuomo_,119.425,607
Andrew_Niccol_,128.926,920
Andrew_Weissmann_,149.83,1438
Andy_Hebb_,81.6183,32
Andy_Roddick_,94.6205,122
