Name,Highest Rank,Fused Ranks
,,
,,
Aaron_Peirsol_,554,1138
Aaron_Sorkin_,499,1062
Abdel_Nasser_Assidi_,1,1
Abdoulaye_Wade_,447,982
Abdullah_,161,441
Abdullah_Gul_,385,891
Abdullah_al-Attiyah_,329,788
Abdullatif_Sener_,354,832
Abel_Pacheco_,971,1535
Abid_Hamid_Mahmud_Al-Tikriti_,343,815
Adam_Sandler_,501,1066
Adam_Scott_,626,1239
Adel_Al-Jubeir_,533,1110
Adolfo_Aguilar_Zinser_,384,888
Adolfo_Rodriguez_Saa_,137,383
Adrian_McPherson_,1300,1642
Adrian_Nastase_,144,399
Adrien_Brody_,244,624
Ahmad_Masood_,122,347
Ahmed_Chalabi_,207,548
Ahmet_Necdet_Sezer_,919,1497
Ai_Sugiyama_,1092,1590
Aicha_El_Ouafi_,1339,1650
Aitor_Gonzalez_,158,433
Akbar_Hashemi_Rafsanjani_,143,396
Akhmed_Zakayev_,699,1314
Al_Davis_,570,1160
Al_Gore_,804,1419
Al_Pacino_,292,718
Al_Sharpton_,370,862
Alan_Ball_,371,864
Alan_Greenspan_,753,1371
Alan_Mulally_,376,874
Alastair_Campbell_,564,1153
Albert_Costa_,1451,1671
Alberto_Fujimori_,853,1448
Alberto_Ruiz_Gallardon_,134,376
Albrecht_Mentz_,903,1481
Aldo_Paredes_,194,524
Alec_Baldwin_,178,485
Alejandro_Atchugarry_,522,1091
Alejandro_Avila_,422,949
Alejandro_Toledo_,866,1457
Aleksander_Kwasniewski_,135,379
Alex_Barros_,10,28
Alex_Penelas_,311,758
Alex_Sink_,756,1374
Alexander_Downer_,129,363
Alexander_Losyukov_,379,879
Alexander_Rumyantsev_,413,933
Alexandra_Stevenson_,240,613
Alexandra_Vodjanikova_,2,4
Ali_Abbas_,266,669
Ali_Khamenei_,883,1470
Ali_Naimi_,1058,1574
Alice_Fisher_,534,1113
Alicia_Silverstone_,943,1518
Alimzhan_Tokhtakhounov_,876,1466
Alison_Lohman_,479,1032
Allen_Iverson_,3,7
Allison_Janney_,957,1525
Allyson_Felix_,594,1197
Alvaro_Noboa_,789,1409
Alvaro_Silva_Calderon_,4,10
Alvaro_Uribe_,520,1087
Amanda_Beard_,437,969
Amanda_Bynes_,65,185
Amanda_Coetzer_,5,13
Amber_Tamblyn_,356,838
Amelia_Vega_,116,330
Amelie_Mauresmo_,890,1476
Amer_al-Saadi_,59,170
Amram_Mitzna_,868,1459
Ana_Guevara_,575,1170
Ana_Palacio_,214,560
Anastasia_Myskina_,376,875
Anders_Ebbeson_,273,685
Anders_Fogh_Rasmussen_,434,963
Andre_Agassi_,385,892
Andrei_Mikhnevich_,359,845
Andrew_Bunner_,406,922
Andrew_Cuomo_,607,1215
Andrew_Niccol_,6,16
Andrew_Weissmann_,858,1452
Andy_Hebb_,38,110
Andy_Roddick_,584,1184
Angela_Bassett_,289,713
Angela_Lansbury_,245,625
Angela_Merkel_,55,159
Angelina_Jolie_,60,173
Angelo_Reyes_,1133,1602
Anibal_Ibarra_,322,776
Ann_Veneman_,216,564
Anna_Kournikova_,390,899
Anna_Nicole_Smith_,195,527
Anne_Krueger_,26,75
Anne_McLellan_,257,649
