Name,Highest Rank,Fused Ranks
,,
,,
Aaron_Peirsol_,566,1162
Aaron_Sorkin_,572,1172
Abdel_Nasser_Assidi_,797,1393
Abdoulaye_Wade_,196,513
Abdullah_,1220,1624
Abdullah_Gul_,904,1470
Abdullah_al-Attiyah_,929,1484
Abdullatif_Sener_,962,1502
Abel_Pacheco_,214,552
Abid_Hamid_Mahmud_Al-Tikriti_,1242,1631
Adam_Sandler_,119,328
Adam_Scott_,631,1247
Adel_Al-Jubeir_,1117,1582
Adolfo_Aguilar_Zinser_,871,1442
Adolfo_Rodriguez_Saa_,90,253
Adrian_McPherson_,609,1219
Adrian_Nastase_,787,1385
Adrien_Brody_,407,920
Ahmad_Masood_,288,708
Ahmed_Chalabi_,412,930
Ahmet_Necdet_Sezer_,3,7
Ai_Sugiyama_,1131,1587
Aicha_El_Ouafi_,464,1019
Aitor_Gonzalez_,1,1
Akbar_Hashemi_Rafsanjani_,259,650
Akhmed_Zakayev_,403,913
Al_Davis_,1369,1657
Al_Gore_,537,1120
Al_Pacino_,7,19
Al_Sharpton_,250,630
Alan_Ball_,402,911
Alan_Greenspan_,594,1200
Alan_Mulally_,786,1384
Alastair_Campbell_,434,966
Albert_Costa_,195,510
Alberto_Fujimori_,540,1124
Alberto_Ruiz_Gallardon_,314,760
Albrecht_Mentz_,418,941
Aldo_Paredes_,1420,1664
Alec_Baldwin_,264,661
Alejandro_Atchugarry_,649,1266
Alejandro_Avila_,466,1024
Alejandro_Toledo_,396,897
Aleksander_Kwasniewski_,210,544
Alex_Barros_,2,4
Alex_Penelas_,103,288
Alex_Sink_,87,247
Alexander_Downer_,179,475
Alexander_Losyukov_,458,1007
Alexander_Rumyantsev_,433,963
Alexandra_Stevenson_,3,8
Alexandra_Vodjanikova_,981,1512
Ali_Abbas_,381,872
Ali_Khamenei_,854,1430
Ali_Naimi_,248,626
Alice_Fisher_,161,433
Alicia_Silverstone_,796,1391
Alimzhan_Tokhtakhounov_,75,219
Alison_Lohman_,493,1057
Allen_Iverson_,508,1083
Allison_Janney_,420,944
Allyson_Felix_,1521,1675
Alvaro_Noboa_,413,931
Alvaro_Silva_Calderon_,837,1419
Alvaro_Uribe_,193,504
Amanda_Beard_,89,251
Amanda_Bynes_,67,197
Amanda_Coetzer_,1258,1635
Amber_Tamblyn_,65,191
Amelia_Vega_,276,685
Amelie_Mauresmo_,867,1440
Amer_al-Saadi_,486,1048
Amram_Mitzna_,146,398
Ana_Guevara_,224,572
Ana_Palacio_,223,569
Anastasia_Myskina_,987,1516
Anders_Ebbeson_,1521,1676
Anders_Fogh_Rasmussen_,486,1049
Andre_Agassi_,815,1404
Andrei_Mikhnevich_,1014,1532
Andrew_Bunner_,4,10
Andrew_Cuomo_,28,82
Andrew_Niccol_,405,916
Andrew_Weissmann_,880,1450
Andy_Hebb_,35,103
Andy_Roddick_,985,1514
Angela_Bassett_,951,1496
Angela_Lansbury_,317,767
Angela_Merkel_,54,160
Angelina_Jolie_,468,1027
Angelo_Reyes_,66,194
Anibal_Ibarra_,581,1178
Ann_Veneman_,227,578
Anna_Kournikova_,1358,1655
Anna_Nicole_Smith_,496,1060
Anne_Krueger_,482,1043
