Name,Scores,Fused Ranks
,,,
,,,
Aaron_Peirsol_,1041,89
Aaron_Sorkin_,4080,1622
Abdel_Nasser_Assidi_,3005,1161
Abdoulaye_Wade_,3687,1509
Abdullah_,2255,668
Abdullah_Gul_,2904,1095
Abdullah_al-Attiyah_,3418,1382
Abdullatif_Sener_,2769,1002
Abel_Pacheco_,3763,1535
Abid_Hamid_Mahmud_Al-Tikriti_,4663,1666
Adam_Sandler_,2984,1153
Adam_Scott_,4109,1626
Adel_Al-Jubeir_,2088,553
Adolfo_Aguilar_Zinser_,3732,1524
Adolfo_Rodriguez_Saa_,4541,1662
Adrian_McPherson_,3457,1400
Adrian_Nastase_,1258,147
Adrien_Brody_,3374,1361
Ahmad_Masood_,3086,1208
Ahmed_Chalabi_,2843,1053
Ahmet_Necdet_Sezer_,2217,641
Ai_Sugiyama_,3847,1554
Aicha_El_Ouafi_,2928,1109
Aitor_Gonzalez_,4830,1674
Akbar_Hashemi_Rafsanjani_,1909,437
Akhmed_Zakayev_,1776,362
Al_Davis_,1796,373
Al_Gore_,2799,1023
Al_Pacino_,2003,497
Al_Sharpton_,2900,1093
Alan_Ball_,1738,341
Alan_Greenspan_,3868,1562
Alan_Mulally_,943,71
Alastair_Campbell_,2781,1012
Albert_Costa_,3700,1515
Alberto_Fujimori_,2778,1009
Alberto_Ruiz_Gallardon_,2118,570
Albrecht_Mentz_,1665,309
Aldo_Paredes_,2819,1036
Alec_Baldwin_,2169,606
Alejandro_Atchugarry_,2997,1158
Alejandro_Avila_,2497,827
Alejandro_Toledo_,2116,569
Aleksander_Kwasniewski_,2735,971
Alex_Barros_,2600,887
Alex_Penelas_,1970,477
Alex_Sink_,2742,978
Alexander_Downer_,2040,519
Alexander_Losyukov_,1321,172
Alexander_Rumyantsev_,3606,1472
Alexandra_Stevenson_,1533,248
Alexandra_Vodjanikova_,3494,1417
Ali_Abbas_,1410,206
Ali_Khamenei_,2349,729
Ali_Naimi_,2401,768
Alice_Fisher_,2074,548
Alicia_Silverstone_,1863,414
Alimzhan_Tokhtakhounov_,2991,1155
Alison_Lohman_,3697,1514
Allen_Iverson_,2158,602
Allison_Janney_,3252,1298
Allyson_Felix_,2171,608
Alvaro_Noboa_,2335,719
Alvaro_Silva_Calderon_,3689,1511
Alvaro_Uribe_,2345,725
Amanda_Beard_,1593,277
Amanda_Bynes_,1122,112
Amanda_Coetzer_,2992,1157
Amber_Tamblyn_,2332,717
Amelia_Vega_,2068,542
Amelie_Mauresmo_,2402,770
Amer_al-Saadi_,3276,1310
Amram_Mitzna_,1324,173
Ana_Guevara_,3201,1272
Ana_Palacio_,1928,448
Anastasia_Myskina_,1831,398
Anders_Ebbeson_,4644,1664
Anders_Fogh_Rasmussen_,3979,1595
Andre_Agassi_,1346,180
Andrei_Mikhnevich_,1149,123
Andrew_Bunner_,1771,360
Andrew_Cuomo_,2494,825
Andrew_Niccol_,2533,846
Andrew_Weissmann_,2301,693
Andy_Hebb_,1961,470
Andy_Roddick_,3558,1445
Angela_Bassett_,2753,994
Angela_Lansbury_,1567,264
Angela_Merkel_,1985,484
Angelina_Jolie_,1233,138
Angelo_Reyes_,3052,1192
