Name,Highest Rank,Fused Ranks
,,
,,
Aaron_Peirsol_,172,454
Aaron_Sorkin_,1073,1569
Abdel_Nasser_Assidi_,583,1179
Abdoulaye_Wade_,627,1222
Abdullah_,689,1293
Abdullah_Gul_,298,734
Abdullah_al-Attiyah_,1214,1628
Abdullatif_Sener_,862,1442
Abel_Pacheco_,487,1043
Abid_Hamid_Mahmud_Al-Tikriti_,380,875
Adam_Sandler_,496,1056
Adam_Scott_,292,721
Adel_Al-Jubeir_,396,895
Adolfo_Aguilar_Zinser_,953,1503
Adolfo_Rodriguez_Saa_,398,899
Adrian_McPherson_,628,1223
Adrian_Nastase_,38,109
Adrien_Brody_,397,898
Ahmad_Masood_,1420,1671
Ahmed_Chalabi_,395,894
Ahmet_Necdet_Sezer_,295,729
Ai_Sugiyama_,1095,1581
Aicha_El_Ouafi_,811,1397
Aitor_Gonzalez_,1122,1591
Akbar_Hashemi_Rafsanjani_,249,633
Akhmed_Zakayev_,47,133
Al_Davis_,565,1156
Al_Gore_,656,1252
Al_Pacino_,97,271
Al_Sharpton_,247,628
Alan_Ball_,559,1148
Alan_Greenspan_,1229,1632
Alan_Mulally_,48,136
Alastair_Campbell_,666,1266
Albert_Costa_,722,1327
Alberto_Fujimori_,354,830
Alberto_Ruiz_Gallardon_,306,751
Albrecht_Mentz_,367,854
Aldo_Paredes_,1416,1670
Alec_Baldwin_,286,710
Alejandro_Atchugarry_,638,1232
Alejandro_Avila_,415,926
Alejandro_Toledo_,242,614
Aleksander_Kwasniewski_,156,416
Alex_Barros_,367,855
Alex_Penelas_,321,774
Alex_Sink_,587,1182
Alexander_Downer_,177,466
Alexander_Losyukov_,438,969
Alexander_Rumyantsev_,118,322
Alexandra_Stevenson_,384,881
Alexandra_Vodjanikova_,447,984
Ali_Abbas_,376,870
Ali_Khamenei_,994,1526
Ali_Naimi_,165,437
Alice_Fisher_,358,836
Alicia_Silverstone_,822,1406
Alimzhan_Tokhtakhounov_,1,1
Alison_Lohman_,312,757
Allen_Iverson_,1285,1648
Allison_Janney_,58,162
Allyson_Felix_,467,1012
Alvaro_Noboa_,91,255
Alvaro_Silva_Calderon_,829,1413
Alvaro_Uribe_,319,771
Amanda_Beard_,129,350
Amanda_Bynes_,64,180
Amanda_Coetzer_,429,952
Amber_Tamblyn_,272,679
Amelia_Vega_,265,664
Amelie_Mauresmo_,1208,1624
Amer_al-Saadi_,466,1011
Amram_Mitzna_,33,94
Ana_Guevara_,698,1303
Ana_Palacio_,212,547
Anastasia_Myskina_,1373,1667
Anders_Ebbeson_,1513,1677
Anders_Fogh_Rasmussen_,1622,1680
Andre_Agassi_,207,537
Andrei_Mikhnevich_,299,735
Andrew_Bunner_,418,933
Andrew_Cuomo_,178,469
Andrew_Niccol_,219,564
Andrew_Weissmann_,316,765
Andy_Hebb_,385,883
Andy_Roddick_,967,1512
Angela_Bassett_,238,604
Angela_Lansbury_,490,1047
Angela_Merkel_,303,743
Angelina_Jolie_,33,95
Angelo_Reyes_,151,402
Anibal_Ibarra_,404,906
Ann_Veneman_,20,57
Anna_Kournikova_,465,1008
Anna_Nicole_Smith_,475,1025
Anne_Krueger_,719,1323
