Name,Scores,Corelation Ranks
,,,
,,,
Aaron_Peirsol_,1.02796,1256
Aaron_Sorkin_,1.21759,1623
Abdel_Nasser_Assidi_,0.945635,1013
Abdoulaye_Wade_,0.577486,152
Abdullah_,0.598682,177
Abdullah_Gul_,0.846069,725
Abdullah_al-Attiyah_,0.934065,977
Abdullatif_Sener_,0.896653,866
Abel_Pacheco_,1.16118,1569
Abid_Hamid_Mahmud_Al-Tikriti_,0.791391,566
Adam_Sandler_,0.946862,1017
Adam_Scott_,0.842511,711
Adel_Al-Jubeir_,0.845354,724
Adolfo_Aguilar_Zinser_,0.996057,1154
Adolfo_Rodriguez_Saa_,0.733602,419
Adrian_McPherson_,0.887908,844
Adrian_Nastase_,0.444879,55
Adrien_Brody_,0.742601,440
Ahmad_Masood_,0.782822,542
Ahmed_Chalabi_,0.742914,441
Ahmet_Necdet_Sezer_,1.10172,1454
Ai_Sugiyama_,0.833855,693
Aicha_El_Ouafi_,0.790261,561
Aitor_Gonzalez_,1.05411,1333
Akbar_Hashemi_Rafsanjani_,0.610714,189
Akhmed_Zakayev_,0.581154,157
Al_Davis_,1.00304,1172
Al_Gore_,1.0354,1289
Al_Pacino_,0.842847,713
Al_Sharpton_,0.775826,518
Alan_Ball_,0.905391,893
Alan_Greenspan_,0.464045,63
Alan_Mulally_,0.97706,1087
Alastair_Campbell_,1.13914,1535
Albert_Costa_,0.957771,1041
Alberto_Fujimori_,0.770057,509
Alberto_Ruiz_Gallardon_,0.664788,277
Albrecht_Mentz_,0.921277,949
Aldo_Paredes_,0.888373,845
Alec_Baldwin_,0.500152,92
Alejandro_Atchugarry_,0.290869,7
Alejandro_Avila_,1.1037,1462
Alejandro_Toledo_,0.71233,367
Aleksander_Kwasniewski_,0.526465,110
Alex_Barros_,0.820321,652
Alex_Penelas_,0.966616,1061
Alex_Sink_,0.914109,920
Alexander_Downer_,0.563058,143
Alexander_Losyukov_,0.873269,802
Alexander_Rumyantsev_,0.911204,909
Alexandra_Stevenson_,0.983775,1113
Alexandra_Vodjanikova_,0.391885,26
Ali_Abbas_,0.819859,649
Ali_Khamenei_,1.20226,1609
Ali_Naimi_,1.10077,1452
Alice_Fisher_,0.76481,493
Alicia_Silverstone_,1.12955,1515
Alimzhan_Tokhtakhounov_,1.17985,1585
Alison_Lohman_,1.20268,1610
Allen_Iverson_,1.06485,1364
Allison_Janney_,0.966347,1060
Allyson_Felix_,0.884822,835
Alvaro_Noboa_,0.832966,691
Alvaro_Silva_Calderon_,1.03155,1271
Alvaro_Uribe_,0.911148,908
Amanda_Beard_,1.25419,1644
Amanda_Bynes_,0.667624,287
Amanda_Coetzer_,0.758768,481
Amber_Tamblyn_,1.04535,1312
Amelia_Vega_,0.539587,122
Amelie_Mauresmo_,1.26916,1649
Amer_al-Saadi_,0.477794,73
Amram_Mitzna_,0.813573,624
Ana_Guevara_,0.851363,739
Ana_Palacio_,1.11811,1489
Anastasia_Myskina_,1.06862,1378
Anders_Ebbeson_,0.657006,261
Anders_Fogh_Rasmussen_,0.73175,413
Andre_Agassi_,1.11173,1477
Andrei_Mikhnevich_,0.839979,703
Andrew_Bunner_,0.990244,1134
