Name,Highest Rank,Fused Ranks
,,
,,
Aaron_Peirsol_,562,1171
Aaron_Sorkin_,251,632
Abdel_Nasser_Assidi_,122,337
Abdoulaye_Wade_,329,780
Abdullah_,449,993
Abdullah_Gul_,294,709
Abdullah_al-Attiyah_,562,1172
Abdullatif_Sener_,967,1529
Abel_Pacheco_,642,1275
Abid_Hamid_Mahmud_Al-Tikriti_,120,332
Adam_Sandler_,250,631
Adam_Scott_,1,1
Adel_Al-Jubeir_,321,767
Adolfo_Aguilar_Zinser_,47,139
Adolfo_Rodriguez_Saa_,989,1543
Adrian_McPherson_,1112,1595
Adrian_Nastase_,144,389
Adrien_Brody_,145,392
Ahmad_Masood_,552,1158
Ahmed_Chalabi_,411,929
Ahmet_Necdet_Sezer_,188,491
Ai_Sugiyama_,370,855
Aicha_El_Ouafi_,381,870
Aitor_Gonzalez_,1536,1676
Akbar_Hashemi_Rafsanjani_,2,4
Akhmed_Zakayev_,192,500
Al_Davis_,270,670
Al_Gore_,542,1139
Al_Pacino_,339,798
Al_Sharpton_,394,902
Alan_Ball_,560,1170
Alan_Greenspan_,855,1436
Alan_Mulally_,393,899
Alastair_Campbell_,919,1494
Albert_Costa_,571,1182
Alberto_Fujimori_,248,628
Alberto_Ruiz_Gallardon_,281,686
Albrecht_Mentz_,514,1096
Aldo_Paredes_,3,7
Alec_Baldwin_,774,1386
Alejandro_Atchugarry_,641,1273
Alejandro_Avila_,625,1250
Alejandro_Toledo_,670,1296
Aleksander_Kwasniewski_,953,1520
Alex_Barros_,171,451
Alex_Penelas_,315,753
Alex_Sink_,324,771
Alexander_Downer_,165,437
Alexander_Losyukov_,4,10
Alexander_Rumyantsev_,426,961
Alexandra_Stevenson_,580,1196
Alexandra_Vodjanikova_,303,730
Ali_Abbas_,377,865
Ali_Khamenei_,1183,1618
Ali_Naimi_,432,970
Alice_Fisher_,346,812
Alicia_Silverstone_,872,1453
Alimzhan_Tokhtakhounov_,571,1183
Alison_Lohman_,307,738
Allen_Iverson_,877,1456
Allison_Janney_,971,1533
Allyson_Felix_,1429,1665
Alvaro_Noboa_,189,493
Alvaro_Silva_Calderon_,216,555
Alvaro_Uribe_,121,335
Amanda_Beard_,249,629
Amanda_Bynes_,63,184
Amanda_Coetzer_,5,13
Amber_Tamblyn_,362,843
Amelia_Vega_,258,643
Amelie_Mauresmo_,1354,1654
Amer_al-Saadi_,477,1037
Amram_Mitzna_,425,959
Ana_Guevara_,141,381
Ana_Palacio_,536,1129
Anastasia_Myskina_,175,460
Anders_Ebbeson_,385,880
Anders_Fogh_Rasmussen_,20,58
Andre_Agassi_,761,1375
Andrei_Mikhnevich_,347,815
Andrew_Bunner_,6,16
Andrew_Cuomo_,168,444
Andrew_Niccol_,816,1417
Andrew_Weissmann_,315,754
Andy_Hebb_,389,888
Andy_Roddick_,430,966
Angela_Bassett_,142,383
Angela_Lansbury_,168,445
Angela_Merkel_,128,350
Angelina_Jolie_,226,578
Angelo_Reyes_,922,1497
Anibal_Ibarra_,127,347
Ann_Veneman_,209,538
Anna_Kournikova_,466,1020
Anna_Nicole_Smith_,483,1044
Anne_Krueger_,472,1032
Anne_McLellan_,271,673
