Name,Scores,Corelation Ranks
,,,
,,,
Aaron_Peirsol_,0.814726,1036
Aaron_Sorkin_,1.06224,1571
Abdel_Nasser_Assidi_,0.779484,924
Abdoulaye_Wade_,1.00667,1504
Abdullah_,0.883072,1252
Abdullah_Gul_,1.15214,1635
Abdullah_al-Attiyah_,1.23154,1666
Abdullatif_Sener_,0.807153,1008
Abel_Pacheco_,0.48425,132
Abid_Hamid_Mahmud_Al-Tikriti_,0.955655,1407
Adam_Sandler_,0.528456,210
Adam_Scott_,0.92007,1344
Adel_Al-Jubeir_,0.631444,470
Adolfo_Aguilar_Zinser_,0.865047,1191
Adolfo_Rodriguez_Saa_,1.0389,1538
Adrian_McPherson_,0.724901,756
Adrian_Nastase_,0.740971,801
Adrien_Brody_,0.803667,998
Ahmad_Masood_,0.83463,1100
Ahmed_Chalabi_,0.818367,1049
Ahmet_Necdet_Sezer_,0.682804,630
Ai_Sugiyama_,0.766337,882
Aicha_El_Ouafi_,0.523501,191
Aitor_Gonzalez_,1.26532,1674
Akbar_Hashemi_Rafsanjani_,0.844843,1121
Akhmed_Zakayev_,0.649436,526
Al_Davis_,0.913864,1326
Al_Gore_,0.550294,251
Al_Pacino_,0.451047,79
Al_Sharpton_,0.802219,997
Alan_Ball_,0.923209,1350
Alan_Greenspan_,0.974748,1454
Alan_Mulally_,0.552914,257
Alastair_Campbell_,1.06916,1580
Albert_Costa_,0.602058,389
Alberto_Fujimori_,0.690397,652
Alberto_Ruiz_Gallardon_,0.510087,161
Albrecht_Mentz_,0.541405,232
Aldo_Paredes_,1.00322,1499
Alec_Baldwin_,0.686234,640
Alejandro_Atchugarry_,0.790137,958
Alejandro_Avila_,0.780083,926
Alejandro_Toledo_,0.582095,328
Aleksander_Kwasniewski_,0.585795,337
Alex_Barros_,0.967977,1435
Alex_Penelas_,0.570533,293
Alex_Sink_,0.893571,1273
Alexander_Downer_,0.739501,796
Alexander_Losyukov_,0.514564,169
Alexander_Rumyantsev_,0.827514,1077
Alexandra_Stevenson_,0.787708,948
Alexandra_Vodjanikova_,0.775432,908
Ali_Abbas_,0.593305,361
Ali_Khamenei_,1.07579,1586
Ali_Naimi_,0.616783,436
Alice_Fisher_,0.693908,662
Alicia_Silverstone_,0.628871,466
Alimzhan_Tokhtakhounov_,0.596436,372
Alison_Lohman_,0.718045,738
Allen_Iverson_,0.855399,1161
Allison_Janney_,0.618747,442
Allyson_Felix_,1.2458,1670
Alvaro_Noboa_,0.748749,817
Alvaro_Silva_Calderon_,0.80374,999
Alvaro_Uribe_,0.88488,1256
Amanda_Beard_,0.946266,1390
Amanda_Bynes_,0.654494,538
Amanda_Coetzer_,0.955939,1408
Amber_Tamblyn_,0.308595,3
Amelia_Vega_,0.706348,702
Amelie_Mauresmo_,0.806779,1006
Amer_al-Saadi_,0.971121,1443
Amram_Mitzna_,0.548227,248
Ana_Guevara_,0.510919,162
Ana_Palacio_,0.857558,1172
Anastasia_Myskina_,0.831003,1089
Anders_Ebbeson_,1.04163,1543
Anders_Fogh_Rasmussen_,1.05475,1559
Andre_Agassi_,0.778016,918
Andrei_Mikhnevich_,0.596712,374
Andrew_Bunner_,1.21906,1662
