Name,Scores,EMD Ranks
,,,
,,,
Aaron_Peirsol_,117.266,571
Aaron_Sorkin_,134.491,1081
Abdel_Nasser_Assidi_,158.798,1562
Abdoulaye_Wade_,177.803,1663
Abdullah_,139.135,1206
Abdullah_Gul_,106.001,302
Abdullah_al-Attiyah_,139.387,1213
Abdullatif_Sener_,124.871,783
Abel_Pacheco_,135.92,1123
Abid_Hamid_Mahmud_Al-Tikriti_,116.784,556
Adam_Sandler_,115.313,513
Adam_Scott_,145.644,1364
Adel_Al-Jubeir_,168.608,1630
Adolfo_Aguilar_Zinser_,135.501,1111
Adolfo_Rodriguez_Saa_,90.6117,84
Adrian_McPherson_,196.327,1679
Adrian_Nastase_,136.944,1147
Adrien_Brody_,124.402,765
Ahmad_Masood_,126.396,833
Ahmed_Chalabi_,110.708,397
Ahmet_Necdet_Sezer_,135.086,1100
Ai_Sugiyama_,118.287,600
Aicha_El_Ouafi_,151.213,1459
Aitor_Gonzalez_,174.409,1654
Akbar_Hashemi_Rafsanjani_,103.607,251
Akhmed_Zakayev_,128.837,920
Al_Davis_,149.322,1427
Al_Gore_,139.245,1208
Al_Pacino_,136.659,1140
Al_Sharpton_,144.18,1344
Alan_Ball_,123.32,729
Alan_Greenspan_,139.919,1228
Alan_Mulally_,128.856,922
Alastair_Campbell_,129.282,941
Albert_Costa_,168.73,1632
Alberto_Fujimori_,127.413,871
Alberto_Ruiz_Gallardon_,129.841,957
Albrecht_Mentz_,128.806,917
Aldo_Paredes_,113.539,459
Alec_Baldwin_,103.844,255
Alejandro_Atchugarry_,120.506,659
Alejandro_Avila_,160.743,1583
Alejandro_Toledo_,130.796,983
Aleksander_Kwasniewski_,138.484,1187
Alex_Barros_,109.254,372
Alex_Penelas_,106.833,319
Alex_Sink_,118.571,605
Alexander_Downer_,98.3819,175
Alexander_Losyukov_,140.556,1249
Alexander_Rumyantsev_,112.047,425
Alexandra_Stevenson_,160.311,1582
Alexandra_Vodjanikova_,154.611,1511
Ali_Abbas_,109.468,379
Ali_Khamenei_,138.232,1181
Ali_Naimi_,112.307,431
Alice_Fisher_,141.13,1268
Alicia_Silverstone_,129.913,960
Alimzhan_Tokhtakhounov_,117.415,578
Alison_Lohman_,114.418,484
Allen_Iverson_,142.209,1294
Allison_Janney_,129.494,948
Allyson_Felix_,155.003,1515
Alvaro_Noboa_,111.057,405
Alvaro_Silva_Calderon_,126.773,849
Alvaro_Uribe_,115.822,530
Amanda_Beard_,112.754,444
Amanda_Bynes_,87.489,60
Amanda_Coetzer_,140.53,1248
Amber_Tamblyn_,109.001,364
Amelia_Vega_,104.653,270
Amelie_Mauresmo_,145.069,1352
Amer_al-Saadi_,114.055,476
Amram_Mitzna_,126.96,854
Ana_Guevara_,177.761,1662
Ana_Palacio_,101.265,218
Anastasia_Myskina_,156.057,1528
Anders_Ebbeson_,162.854,1596
Anders_Fogh_Rasmussen_,166.936,1621
Andre_Agassi_,124.794,780
Andrei_Mikhnevich_,144.285,1346
Andrew_Bunner_,121.073,676
Andrew_Cuomo_,98.5909,177
Andrew_Niccol_,128.941,926
Andrew_Weissmann_,160.883,1586
Andy_Hebb_,110.024,386
