Name,Scores,Fused Ranks
,,,
,,,
Aaron_Peirsol_,2039,504
Aaron_Sorkin_,3803,1564
Abdel_Nasser_Assidi_,3792,1557
Abdoulaye_Wade_,3637,1503
Abdullah_,4116,1625
Abdullah_Gul_,2508,819
Abdullah_al-Attiyah_,4385,1658
Abdullatif_Sener_,2786,1047
Abel_Pacheco_,1642,278
Abid_Hamid_Mahmud_Al-Tikriti_,2718,990
Adam_Sandler_,1011,70
Adam_Scott_,2755,1021
Adel_Al-Jubeir_,3566,1471
Adolfo_Aguilar_Zinser_,3643,1504
Adolfo_Rodriguez_Saa_,1675,295
Adrian_McPherson_,3958,1597
Adrian_Nastase_,2970,1162
Adrien_Brody_,2517,831
Ahmad_Masood_,3340,1372
Ahmed_Chalabi_,3086,1222
Ahmet_Necdet_Sezer_,2098,537
Ai_Sugiyama_,1759,343
Aicha_El_Ouafi_,2769,1031
Aitor_Gonzalez_,4732,1673
Akbar_Hashemi_Rafsanjani_,2280,669
Akhmed_Zakayev_,2882,1113
Al_Davis_,2963,1160
Al_Gore_,1809,368
Al_Pacino_,2392,749
Al_Sharpton_,3403,1399
Alan_Ball_,2352,715
Alan_Greenspan_,4175,1633
Alan_Mulally_,1946,442
Alastair_Campbell_,3352,1377
Albert_Costa_,3488,1434
Alberto_Fujimori_,2201,616
Alberto_Ruiz_Gallardon_,1425,188
Albrecht_Mentz_,2327,700
Aldo_Paredes_,2510,821
Alec_Baldwin_,2142,563
Alejandro_Atchugarry_,2761,1025
Alejandro_Avila_,2667,950
Alejandro_Toledo_,2141,561
Aleksander_Kwasniewski_,1826,378
Alex_Barros_,3308,1345
Alex_Penelas_,2059,511
Alex_Sink_,3045,1201
Alexander_Downer_,2029,497
Alexander_Losyukov_,2288,673
Alexander_Rumyantsev_,1681,299
Alexandra_Stevenson_,3309,1347
Alexandra_Vodjanikova_,3017,1176
Ali_Abbas_,2311,691
Ali_Khamenei_,3109,1238
Ali_Naimi_,1324,159
Alice_Fisher_,2717,988
Alicia_Silverstone_,1750,334
Alimzhan_Tokhtakhounov_,1098,94
Alison_Lohman_,2265,661
Allen_Iverson_,3549,1466
Allison_Janney_,1821,375
Allyson_Felix_,4739,1674
Alvaro_Noboa_,1544,232
Alvaro_Silva_Calderon_,3051,1203
Alvaro_Uribe_,2177,602
Amanda_Beard_,2335,704
Amanda_Bynes_,2173,596
Amanda_Coetzer_,3801,1563
Amber_Tamblyn_,634,19
Amelia_Vega_,1431,190
Amelie_Mauresmo_,3215,1290
Amer_al-Saadi_,3051,1204
Amram_Mitzna_,1177,109
Ana_Guevara_,2567,860
Ana_Palacio_,1939,439
Anastasia_Myskina_,3042,1199
Anders_Ebbeson_,3315,1350
Anders_Fogh_Rasmussen_,3880,1580
Andre_Agassi_,2673,955
Andrei_Mikhnevich_,3323,1359
Andrew_Bunner_,3961,1599
Andrew_Cuomo_,1004,68
Andrew_Niccol_,2496,810
Andrew_Weissmann_,1765,345
Andy_Hebb_,3075,1217
Andy_Roddick_,2724,994
Angela_Bassett_,2858,1096
Angela_Lansbury_,1096,92
Angela_Merkel_,1463,200
Angelina_Jolie_,1925,429
Angelo_Reyes_,2402,756
