Name,Scores,EMD Ranks
,,,
,,,
Aaron_Peirsol_,117.278,558
Aaron_Sorkin_,117.382,562
Abdel_Nasser_Assidi_,158.803,1559
Abdoulaye_Wade_,177.812,1660
Abdullah_,139.139,1213
Abdullah_Gul_,128.52,912
Abdullah_al-Attiyah_,139.399,1216
Abdullatif_Sener_,131.028,986
Abel_Pacheco_,135.925,1129
Abid_Hamid_Mahmud_Al-Tikriti_,177.239,1656
Adam_Sandler_,115.315,510
Adam_Scott_,145.65,1366
Adel_Al-Jubeir_,148.604,1417
Adolfo_Aguilar_Zinser_,135.518,1116
Adolfo_Rodriguez_Saa_,139.614,1220
Adrian_McPherson_,155.077,1516
Adrian_Nastase_,136.946,1156
Adrien_Brody_,110.823,393
Ahmad_Masood_,126.409,838
Ahmed_Chalabi_,111.094,402
Ahmet_Necdet_Sezer_,129.483,947
Ai_Sugiyama_,135.277,1107
Aicha_El_Ouafi_,151.225,1463
Aitor_Gonzalez_,170.286,1638
Akbar_Hashemi_Rafsanjani_,103.614,250
Akhmed_Zakayev_,128.85,922
Al_Davis_,140.221,1239
Al_Gore_,139.248,1215
Al_Pacino_,121.666,684
Al_Sharpton_,164.895,1607
Alan_Ball_,123.34,725
Alan_Greenspan_,139.924,1227
Alan_Mulally_,110.256,384
Alastair_Campbell_,103.843,255
Albert_Costa_,168.739,1630
Alberto_Fujimori_,136.565,1148
Alberto_Ruiz_Gallardon_,106.301,301
Albrecht_Mentz_,117.69,571
Aldo_Paredes_,113.55,457
Alec_Baldwin_,136.275,1140
Alejandro_Atchugarry_,120.511,649
Alejandro_Avila_,160.749,1578
Alejandro_Toledo_,130.824,980
Aleksander_Kwasniewski_,117.052,550
Alex_Barros_,109.293,366
Alex_Penelas_,106.847,309
Alex_Sink_,118.59,594
Alexander_Downer_,98.3877,171
Alexander_Losyukov_,118.358,591
Alexander_Rumyantsev_,112.066,422
Alexandra_Stevenson_,160.324,1576
Alexandra_Vodjanikova_,154.616,1511
Ali_Abbas_,109.479,372
Ali_Khamenei_,131.932,1012
Ali_Naimi_,112.328,430
Alice_Fisher_,141.141,1264
Alicia_Silverstone_,129.924,957
Alimzhan_Tokhtakhounov_,117.448,567
Alison_Lohman_,114.432,480
Allen_Iverson_,142.214,1292
Allison_Janney_,129.508,948
Allyson_Felix_,155.02,1515
Alvaro_Noboa_,111.08,400
Alvaro_Silva_Calderon_,126.815,852
Alvaro_Uribe_,137.384,1169
Amanda_Beard_,112.792,442
Amanda_Bynes_,87.5112,63
Amanda_Coetzer_,140.539,1247
Amber_Tamblyn_,109.007,356
Amelia_Vega_,104.66,268
Amelie_Mauresmo_,145.087,1352
Amer_al-Saadi_,114.069,474
Amram_Mitzna_,126.971,857
Ana_Guevara_,177.763,1659
Ana_Palacio_,118.322,590
Anastasia_Myskina_,156.067,1529
Anders_Ebbeson_,162.857,1589
Anders_Fogh_Rasmussen_,166.941,1621
Andre_Agassi_,138.761,1203
Andrei_Mikhnevich_,144.296,1340
Andrew_Bunner_,111.801,415
Andrew_Cuomo_,98.6039,175
Andrew_Niccol_,128.961,930
Andrew_Weissmann_,160.889,1579
Andy_Hebb_,81.65,36
