Name,Scores,Corelation Ranks
,,,
,,,
Aaron_Peirsol_,0.698291,699
Aaron_Sorkin_,0.909975,1586
Abdel_Nasser_Assidi_,0.767606,1100
Abdoulaye_Wade_,0.668146,531
Abdullah_,0.582061,158
Abdullah_Gul_,0.853389,1473
Abdullah_al-Attiyah_,0.925364,1614
Abdullatif_Sener_,0.552291,102
Abel_Pacheco_,0.835342,1404
Abid_Hamid_Mahmud_Al-Tikriti_,0.808515,1287
Adam_Sandler_,0.728275,868
Adam_Scott_,0.840402,1421
Adel_Al-Jubeir_,0.849188,1462
Adolfo_Aguilar_Zinser_,0.637623,357
Adolfo_Rodriguez_Saa_,0.863439,1497
Adrian_McPherson_,0.708204,752
Adrian_Nastase_,0.584621,166
Adrien_Brody_,0.776221,1141
Ahmad_Masood_,0.641595,382
Ahmed_Chalabi_,0.70567,735
Ahmet_Necdet_Sezer_,0.75942,1054
Ai_Sugiyama_,0.898453,1569
Aicha_El_Ouafi_,0.585562,167
Aitor_Gonzalez_,0.913288,1593
Akbar_Hashemi_Rafsanjani_,0.677489,580
Akhmed_Zakayev_,0.602734,220
Al_Davis_,0.750778,1001
Al_Gore_,0.629635,334
Al_Pacino_,0.593752,188
Al_Sharpton_,0.633126,347
Alan_Ball_,0.809789,1296
Alan_Greenspan_,0.872277,1521
Alan_Mulally_,0.489255,26
Alastair_Campbell_,0.860348,1490
Albert_Costa_,0.679419,593
Alberto_Fujimori_,0.55547,105
Alberto_Ruiz_Gallardon_,0.83665,1407
Albrecht_Mentz_,0.666923,524
Aldo_Paredes_,0.665336,513
Alec_Baldwin_,0.665987,516
Alejandro_Atchugarry_,0.422485,1
Alejandro_Avila_,0.723867,839
Alejandro_Toledo_,0.481323,19
Aleksander_Kwasniewski_,0.712726,780
Alex_Barros_,0.755435,1037
Alex_Penelas_,0.6172,267
Alex_Sink_,0.779625,1168
Alexander_Downer_,0.75503,1032
Alexander_Losyukov_,0.669918,541
Alexander_Rumyantsev_,0.984587,1655
Alexandra_Stevenson_,0.766633,1096
Alexandra_Vodjanikova_,0.720993,831
Ali_Abbas_,0.761887,1069
Ali_Khamenei_,0.877937,1533
Ali_Naimi_,0.628209,328
Alice_Fisher_,0.540077,79
Alicia_Silverstone_,0.817038,1329
Alimzhan_Tokhtakhounov_,0.793472,1228
Alison_Lohman_,0.996527,1660
Allen_Iverson_,0.65486,456
Allison_Janney_,0.677671,581
Allyson_Felix_,0.704047,720
Alvaro_Noboa_,0.60131,215
Alvaro_Silva_Calderon_,0.484469,24
Alvaro_Uribe_,0.649067,426
Amanda_Beard_,0.953362,1639
Amanda_Bynes_,0.660865,492
Amanda_Coetzer_,0.750545,998
Amber_Tamblyn_,0.705011,727
Amelia_Vega_,0.790141,1215
Amelie_Mauresmo_,1.00935,1664
Amer_al-Saadi_,0.755229,1035
Amram_Mitzna_,0.696061,685
Ana_Guevara_,0.731979,888
Ana_Palacio_,0.651638,437
Anastasia_Myskina_,0.847351,1456
Anders_Ebbeson_,0.792468,1223
Anders_Fogh_Rasmussen_,0.763161,1081
Andre_Agassi_,0.699056,702
Andrei_Mikhnevich_,0.606002,237
Andrew_Bunner_,0.634519,351
