Name,Scores,Fused Ranks
,,,
,,,
Aaron_Peirsol_,874,44
Aaron_Sorkin_,3571,1470
Abdel_Nasser_Assidi_,4114,1627
Abdoulaye_Wade_,3049,1209
Abdullah_,2601,897
Abdullah_Gul_,1029,73
Abdullah_al-Attiyah_,2938,1138
Abdullatif_Sener_,2663,961
Abel_Pacheco_,4047,1614
Abid_Hamid_Mahmud_Al-Tikriti_,2181,602
Adam_Sandler_,2984,1166
Adam_Scott_,3862,1571
Adel_Al-Jubeir_,4187,1634
Adolfo_Aguilar_Zinser_,681,21
Adolfo_Rodriguez_Saa_,4153,1630
Adrian_McPherson_,2756,1026
Adrian_Nastase_,2041,519
Adrien_Brody_,2597,893
Ahmad_Masood_,2386,739
Ahmed_Chalabi_,1449,199
Ahmet_Necdet_Sezer_,1577,257
Ai_Sugiyama_,3730,1529
Aicha_El_Ouafi_,2899,1118
Aitor_Gonzalez_,3876,1574
Akbar_Hashemi_Rafsanjani_,2135,572
Akhmed_Zakayev_,1584,260
Al_Davis_,1935,446
Al_Gore_,3578,1473
Al_Pacino_,3165,1275
Al_Sharpton_,3983,1598
Alan_Ball_,2249,653
Alan_Greenspan_,3242,1315
Alan_Mulally_,1165,105
Alastair_Campbell_,1831,376
Albert_Costa_,3966,1589
Alberto_Fujimori_,1470,210
Alberto_Ruiz_Gallardon_,2713,995
Albrecht_Mentz_,3584,1477
Aldo_Paredes_,1901,419
Alec_Baldwin_,2062,527
Alejandro_Atchugarry_,1016,69
Alejandro_Avila_,2095,555
Alejandro_Toledo_,2410,756
Aleksander_Kwasniewski_,2832,1066
Alex_Barros_,2521,831
Alex_Penelas_,1606,273
Alex_Sink_,1656,298
Alexander_Downer_,2374,730
Alexander_Losyukov_,751,33
Alexander_Rumyantsev_,2648,944
Alexandra_Stevenson_,895,45
Alexandra_Vodjanikova_,4078,1618
Ali_Abbas_,1780,347
Ali_Khamenei_,3556,1460
Ali_Naimi_,1590,264
Alice_Fisher_,3729,1528
Alicia_Silverstone_,2672,968
Alimzhan_Tokhtakhounov_,2717,999
Alison_Lohman_,2394,745
Allen_Iverson_,3432,1403
Allison_Janney_,2237,646
Allyson_Felix_,3089,1235
Alvaro_Noboa_,3151,1267
Alvaro_Silva_Calderon_,1492,219
Alvaro_Uribe_,1865,394
Amanda_Beard_,1205,119
Amanda_Bynes_,1460,201
Amanda_Coetzer_,2651,951
Amber_Tamblyn_,2839,1076
Amelia_Vega_,3484,1427
Amelie_Mauresmo_,3299,1344
Amer_al-Saadi_,2034,516
Amram_Mitzna_,1620,280
Ana_Guevara_,2186,606
Ana_Palacio_,574,12
Anastasia_Myskina_,1179,113
Anders_Ebbeson_,1259,134
Anders_Fogh_Rasmussen_,3669,1505
Andre_Agassi_,1272,140
Andrei_Mikhnevich_,1125,96
Andrew_Bunner_,906,47
Andrew_Cuomo_,1776,345
Andrew_Niccol_,1394,180
Andrew_Weissmann_,3173,1279
Andy_Hebb_,1168,106
Andy_Roddick_,3740,1535
Angela_Bassett_,3328,1354
Angela_Lansbury_,2226,638
Angela_Merkel_,1566,251
Angelina_Jolie_,1738,328
Angelo_Reyes_,4286,1644
Anibal_Ibarra_,2885,1108
