Name,Scores,EMD Ranks
,,
,,
Aaron_Peirsol_,117.264,560
Aaron_Sorkin_,134.49,1087
Abdel_Nasser_Assidi_,158.797,1559
Abdoulaye_Wade_,196.948,1680
Abdullah_,101.777,211
Abdullah_Gul_,105.999,287
Abdullah_al-Attiyah_,145.204,1351
Abdullatif_Sener_,131.008,968
Abel_Pacheco_,135.919,1129
Abid_Hamid_Mahmud_Al-Tikriti_,116.784,544
Adam_Sandler_,115.313,504
Adam_Scott_,160.234,1581
Adel_Al-Jubeir_,168.607,1626
Adolfo_Aguilar_Zinser_,84.6236,38
Adolfo_Rodriguez_Saa_,139.591,1220
Adrian_McPherson_,196.327,1679
Adrian_Nastase_,136.944,1149
Adrien_Brody_,118.376,585
Ahmad_Masood_,126.393,812
Ahmed_Chalabi_,110.703,386
Ahmet_Necdet_Sezer_,135.084,1104
Ai_Sugiyama_,135.272,1110
Aicha_El_Ouafi_,130.809,964
Aitor_Gonzalez_,170.278,1634
Akbar_Hashemi_Rafsanjani_,103.606,242
Akhmed_Zakayev_,125.145,778
Al_Davis_,149.321,1420
Al_Gore_,139.245,1211
Al_Pacino_,136.659,1144
Al_Sharpton_,142.67,1301
Alan_Ball_,123.316,719
Alan_Greenspan_,127.06,831
Alan_Mulally_,128.854,893
Alastair_Campbell_,129.279,911
Albert_Costa_,168.728,1628
Alberto_Fujimori_,136.548,1142
Alberto_Ruiz_Gallardon_,106.26,292
Albrecht_Mentz_,128.806,890
Aldo_Paredes_,113.538,459
Alec_Baldwin_,136.246,1135
Alejandro_Atchugarry_,120.323,642
Alejandro_Avila_,160.742,1583
Alejandro_Toledo_,130.791,961
Aleksander_Kwasniewski_,138.482,1192
Alex_Barros_,146.766,1382
Alex_Penelas_,106.831,303
Alex_Sink_,118.568,589
Alexander_Downer_,123.848,730
Alexander_Losyukov_,112.925,439
Alexander_Rumyantsev_,112.043,415
Alexandra_Stevenson_,103.006,227
Alexandra_Vodjanikova_,154.611,1504
Ali_Abbas_,109.466,364
Ali_Khamenei_,138.23,1185
Ali_Naimi_,112.302,421
Alice_Fisher_,141.128,1269
Alicia_Silverstone_,129.911,936
Alimzhan_Tokhtakhounov_,117.41,564
Alison_Lohman_,106.452,297
Allen_Iverson_,142.208,1293
Allison_Janney_,129.493,921
Allyson_Felix_,173.743,1647
Alvaro_Noboa_,111.053,392
Alvaro_Silva_Calderon_,131.931,1003
Alvaro_Uribe_,115.816,519
Amanda_Beard_,116.503,537
Amanda_Bynes_,87.4848,53
Amanda_Coetzer_,140.529,1247
Amber_Tamblyn_,131.551,984
Amelia_Vega_,104.652,258
Amelie_Mauresmo_,145.066,1348
Amer_al-Saadi_,114.053,473
Amram_Mitzna_,126.958,827
Ana_Guevara_,131.938,1004
Ana_Palacio_,101.262,201
Anastasia_Myskina_,121.882,683
Anders_Ebbeson_,118.317,582
Anders_Fogh_Rasmussen_,124.877,770
Andre_Agassi_,124.792,767
Andrei_Mikhnevich_,132.006,1007
Andrew_Bunner_,111.778,405
Andrew_Cuomo_,98.5885,167
Andrew_Niccol_,128.939,895
Andrew_Weissmann_,160.883,1585
Andy_Hebb_,110.021,372
Andy_Roddick_,131.026,970
